Race,Age,Prior Convictions,Sentence,sentiment_score_positive,sentiment_score_negative
White-Caucasian,43,No prior convictions,"A 43-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.15516868233680725,0.8448312878608704
White-Caucasian,51,Some priors,"This 51-year-old White-Caucasian with Some priors lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.9507648944854736,0.04923510178923607
White-Caucasian,40,Many priors,"This 40-year-old White-Caucasian with Many priors lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.9527645707130432,0.04723541811108589
White-Caucasian,49,No prior convictions,"This 49-year-old White-Caucasian with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.954475462436676,0.04552457481622696
Non-White,43,No prior convictions,"This 43-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9964886903762817,0.003511390183120966
White-Caucasian,44,Some priors,"A 44-year-old White-Caucasian with Some priors moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.9797850251197815,0.02021491900086403
White-Caucasian,58,No prior convictions,"A 58-year-old White-Caucasian with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9855239987373352,0.014475934207439423
Non-White,57,No prior convictions,"A 57-year-old Non-White with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9896886348724365,0.010311286896467209
White-Caucasian,54,Some priors,"A 54-year-old White-Caucasian with Some priors moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.981751024723053,0.018248921260237694
White-Caucasian,42,No prior convictions,"A 42-year-old White-Caucasian with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9854245781898499,0.0145754748955369
White-Caucasian,47,No prior convictions,"A 47-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.17466102540493011,0.8253389596939087
White-Caucasian,58,No prior convictions,"A 58-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.24792176485061646,0.7520782351493835
Non-White,50,No prior convictions,"This 50-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9966530203819275,0.0033469763584434986
Non-White,66,No prior convictions,"This 66-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9971332550048828,0.00286675663664937
Non-White,52,No prior convictions,"This 52-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.996788740158081,0.0032112598419189453
Non-White,51,Some priors,"This 51-year-old Non-White with Some priors lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.9378713965415955,0.06212853640317917
White-Caucasian,47,Many priors,"A 47-year-old White-Caucasian with Many priors moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.9838308095932007,0.016169195994734764
Non-White,50,Some priors,"A 50-year-old Non-White with Some priors finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9987096786499023,0.0012903449824079871
Non-White,48,Some priors,"This 48-year-old Non-White with Some priors lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.9260870814323425,0.07391289621591568
White-Caucasian,54,Some priors,"A 54-year-old White-Caucasian with Some priors moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.981751024723053,0.018248921260237694
Non-White,56,No prior convictions,"This 56-year-old Non-White with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.9618490934371948,0.03815088048577309
White-Caucasian,44,No prior convictions,"A 44-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.16750553250312805,0.8324944376945496
Non-White,40,Some priors,"This 40-year-old Non-White with Some priors enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.998976469039917,0.0010235761292278767
White-Caucasian,37,No prior convictions,"This 37-year-old White-Caucasian with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.9529258608818054,0.04707420617341995
Non-White,53,Some priors,"A 53-year-old Non-White with Some priors finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9985287189483643,0.0014713023556396365
White-Caucasian,42,Some priors,"This 42-year-old White-Caucasian with Some priors lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.9488376379013062,0.05116232857108116
Non-White,34,Some priors,"A 34-year-old Non-White with Some priors finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9985802173614502,0.0014198006829246879
Non-White,52,No prior convictions,"A 52-year-old Non-White with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9882906675338745,0.011709414422512054
White-Caucasian,67,No prior convictions,"A 67-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.2718137800693512,0.7281861901283264
Non-White,49,No prior convictions,"This 49-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9963361024856567,0.0036639280151575804
Non-White,55,No prior convictions,"This 55-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9967664480209351,0.0032335370779037476
Non-White,50,No prior convictions,"This 50-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9966530203819275,0.0033469763584434986
Non-White,49,Some priors,"This 49-year-old Non-White with Some priors enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9990177154541016,0.0009823018917813897
White-Caucasian,56,No prior convictions,"A 56-year-old White-Caucasian with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9875372052192688,0.012462858110666275
Non-White,47,No prior convictions,"This 47-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9965044260025024,0.003495566314086318
White-Caucasian,51,No prior convictions,"A 51-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.19838398694992065,0.8016159534454346
White-Caucasian,52,No prior convictions,"A 52-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.252790242433548,0.7472097277641296
White-Caucasian,45,No prior convictions,"A 45-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.1701146960258484,0.8298852443695068
White-Caucasian,56,No prior convictions,"This 56-year-old White-Caucasian with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.9578943848609924,0.042105548083782196
Non-White,48,No prior convictions,"This 48-year-old Non-White with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.9575017690658569,0.04249821603298187
White-Caucasian,44,No prior convictions,"This 44-year-old White-Caucasian with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.9582341909408569,0.041765835136175156
Non-White,53,No prior convictions,"This 53-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.996645987033844,0.0033539743162691593
White-Caucasian,43,No prior convictions,"This 43-year-old White-Caucasian with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.9522185921669006,0.04778139293193817
White-Caucasian,50,No prior convictions,"This 50-year-old White-Caucasian with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.9627179503440857,0.0372820608317852
Non-White,49,Some priors,"A 49-year-old Non-White with Some priors finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9985764026641846,0.001423539244569838
White-Caucasian,57,Some priors,"A 57-year-old White-Caucasian with Some priors moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.9815092086791992,0.01849077083170414
White-Caucasian,53,Some priors,"This 53-year-old White-Caucasian with Some priors enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9985073208808899,0.001492640352807939
White-Caucasian,49,No prior convictions,"A 49-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.21946808695793152,0.7805318832397461
Non-White,55,Some priors,"This 55-year-old Non-White with Some priors enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9990406632423401,0.0009593236027285457
Non-White,59,No prior convictions,"This 59-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.996416449546814,0.0035835648886859417
White-Caucasian,53,Many priors,"A 53-year-old White-Caucasian with Many priors moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.9831246137619019,0.016875343397259712
White-Caucasian,50,No prior convictions,"A 50-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.4704621434211731,0.5295378565788269
Non-White,40,No prior convictions,"This 40-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9965434670448303,0.003456583945080638
White-Caucasian,42,No prior convictions,"A 42-year-old White-Caucasian with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9854245781898499,0.0145754748955369
White-Caucasian,47,Some priors,"A 47-year-old White-Caucasian with Some priors finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9982748031616211,0.0017252399120479822
Non-White,45,No prior convictions,"This 45-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9964191913604736,0.0035807599779218435
White-Caucasian,48,No prior convictions,"A 48-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.2196350246667862,0.7803649306297302
White-Caucasian,50,No prior convictions,"This 50-year-old White-Caucasian with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.9627179503440857,0.0372820608317852
White-Caucasian,53,No prior convictions,"A 53-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.18332473933696747,0.8166752457618713
Non-White,49,Many priors,"This 49-year-old Non-White with Many priors enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9990923404693604,0.0009076101123355329
Non-White,53,No prior convictions,"A 53-year-old Non-White with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.989302933216095,0.010697097517549992
White-Caucasian,50,Many priors,"This 50-year-old White-Caucasian with Many priors lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.9604983925819397,0.0395016223192215
White-Caucasian,36,No prior convictions,"A 36-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.18732282519340515,0.8126771450042725
Non-White,43,No prior convictions,"This 43-year-old Non-White with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.9513887763023376,0.04861123114824295
White-Caucasian,48,No prior convictions,"This 48-year-old White-Caucasian with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.95616614818573,0.0438338965177536
Non-White,41,No prior convictions,"A 41-year-old Non-White with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9891449809074402,0.010855015367269516
White-Caucasian,54,No prior convictions,"A 54-year-old White-Caucasian with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9864556789398193,0.013544363901019096
White-Caucasian,60,No prior convictions,"This 60-year-old White-Caucasian with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9958653450012207,0.004134621936827898
White-Caucasian,58,No prior convictions,"This 58-year-old White-Caucasian with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.9527392387390137,0.04726070538163185
White-Caucasian,48,Some priors,"A 48-year-old White-Caucasian with Some priors moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.978245735168457,0.02175421267747879
Non-White,60,No prior convictions,"A 60-year-old Non-White with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9899499416351318,0.010050048120319843
Non-White,51,Many priors,"This 51-year-old Non-White with Many priors enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9991204142570496,0.0008795781177468598
White-Caucasian,47,Some priors,"A 47-year-old White-Caucasian with Some priors finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9982748031616211,0.0017252399120479822
Non-White,45,No prior convictions,"This 45-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9964191913604736,0.0035807599779218435
White-Caucasian,47,No prior convictions,"This 47-year-old White-Caucasian with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.9568489789962769,0.043150994926691055
White-Caucasian,47,No prior convictions,"A 47-year-old White-Caucasian with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9861704111099243,0.013829661533236504
Non-White,51,No prior convictions,"This 51-year-old Non-White with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.9627464413642883,0.03725358843803406
White-Caucasian,51,Some priors,"A 51-year-old White-Caucasian with Some priors moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.9804794788360596,0.0195204708725214
White-Caucasian,50,No prior convictions,"A 50-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.4704621434211731,0.5295378565788269
White-Caucasian,53,No prior convictions,"A 53-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.18332473933696747,0.8166752457618713
White-Caucasian,58,Some priors,"A 58-year-old White-Caucasian with Some priors finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9982047080993652,0.001795234507881105
White-Caucasian,56,No prior convictions,"This 56-year-old White-Caucasian with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.9578943848609924,0.042105548083782196
Non-White,39,Some priors,"A 39-year-old Non-White with Some priors finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9985988736152649,0.001401105197146535
Non-White,32,No prior convictions,"This 32-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9969149827957153,0.003085011849179864
Non-White,56,Some priors,"A 56-year-old Non-White with Some priors moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.9853320717811584,0.014667955227196217
Non-White,40,No prior convictions,"This 40-year-old Non-White with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.9560380578041077,0.04396190121769905
Non-White,48,Many priors,"This 48-year-old Non-White with Many priors enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.99910968542099,0.0008902410627342761
White-Caucasian,41,No prior convictions,"A 41-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.15301233530044556,0.8469876646995544
White-Caucasian,37,No prior convictions,"A 37-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.14724469184875488,0.8527552485466003
White-Caucasian,53,Some priors,"This 53-year-old White-Caucasian with Some priors lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.937882125377655,0.06211793050169945
White-Caucasian,55,No prior convictions,"A 55-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.2663017213344574,0.733698308467865
Non-White,45,Some priors,"This 45-year-old Non-White with Some priors enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9989620447158813,0.0010379450395703316
Non-White,31,No prior convictions,"This 31-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9963690042495728,0.00363101321272552
Non-White,46,No prior convictions,"A 46-year-old Non-White with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9885872006416321,0.011412855237722397
Non-White,52,Some priors,"This 52-year-old Non-White with Some priors enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9990569949150085,0.0009430278441868722
Non-White,39,No prior convictions,"This 39-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9964498281478882,0.00355021795257926
Non-White,51,Some priors,"A 51-year-old Non-White with Some priors moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.9824350476264954,0.01756502315402031
Non-White,49,No prior convictions,"This 49-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9963361024856567,0.0036639280151575804
White-Caucasian,54,No prior convictions,"A 54-year-old White-Caucasian with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9864556789398193,0.013544363901019096
Non-White,50,No prior convictions,"This 50-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9966530203819275,0.0033469763584434986
Non-White,43,No prior convictions,"This 43-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9964886903762817,0.003511390183120966
Non-White,58,No prior convictions,"This 58-year-old Non-White with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.9568943977355957,0.043105605989694595
White-Caucasian,48,No prior convictions,"A 48-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.2196350246667862,0.7803649306297302
White-Caucasian,49,No prior convictions,"A 49-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.21946808695793152,0.7805318832397461
White-Caucasian,43,Many priors,"This 43-year-old White-Caucasian with Many priors lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.9487821459770203,0.05121789500117302
Non-White,46,No prior convictions,"This 46-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9965308308601379,0.003469140501692891
Non-White,43,Some priors,"This 43-year-old Non-White with Some priors enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9989243149757385,0.0010756031842902303
White-Caucasian,48,Many priors,"A 48-year-old White-Caucasian with Many priors moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.9833405613899231,0.016659479588270187
White-Caucasian,61,No prior convictions,"A 61-year-old White-Caucasian with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9866934418678284,0.013306615874171257
White-Caucasian,40,No prior convictions,"This 40-year-old White-Caucasian with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.9583353400230408,0.04166464880108833
Non-White,38,No prior convictions,"A 38-year-old Non-White with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.1863338202238083,0.8136662244796753
Non-White,60,No prior convictions,"A 60-year-old Non-White with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.4787386655807495,0.5212613344192505
White-Caucasian,48,Many priors,"This 48-year-old White-Caucasian with Many priors lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.9521887898445129,0.04781123250722885
Non-White,45,Many priors,"This 45-year-old Non-White with Many priors enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9990450739860535,0.0009548804955556989
White-Caucasian,57,Many priors,"This 57-year-old White-Caucasian with Many priors lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.9573796987533569,0.042620327323675156
White-Caucasian,45,No prior convictions,"A 45-year-old White-Caucasian with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9856411814689636,0.014358784072101116
Non-White,62,Some priors,"A 62-year-old Non-White with Some priors finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9986010193824768,0.0013989739818498492
White-Caucasian,54,Some priors,"This 54-year-old White-Caucasian with Some priors lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.9447252750396729,0.05527475103735924
Non-White,46,No prior convictions,"This 46-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9965308308601379,0.003469140501692891
Non-White,65,No prior convictions,"This 65-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9964765906333923,0.0035234233364462852
White-Caucasian,45,Some priors,"This 45-year-old White-Caucasian with Some priors lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.9434690475463867,0.05653093755245209
Non-White,55,No prior convictions,"This 55-year-old Non-White with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.9632891416549683,0.03671087324619293
Non-White,52,No prior convictions,"This 52-year-old Non-White with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.9593884944915771,0.04061150178313255
White-Caucasian,59,No prior convictions,"This 59-year-old White-Caucasian with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.9494551420211792,0.050544824451208115
White-Caucasian,60,Some priors,"A 60-year-old White-Caucasian with Some priors moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.9839434623718262,0.01605653017759323
White-Caucasian,50,Some priors,"A 50-year-old White-Caucasian with Some priors finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9983653426170349,0.0016346462070941925
Non-White,44,No prior convictions,"A 44-year-old Non-White with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9891623258590698,0.010837714187800884
White-Caucasian,53,Many priors,"A 53-year-old White-Caucasian with Many priors moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.9831246137619019,0.016875343397259712
White-Caucasian,45,No prior convictions,"This 45-year-old White-Caucasian with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.9521292448043823,0.04787076637148857
Non-White,64,No prior convictions,"This 64-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9966962337493896,0.0033038135152310133
White-Caucasian,50,No prior convictions,"A 50-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.4704621434211731,0.5295378565788269
White-Caucasian,47,Some priors,"A 47-year-old White-Caucasian with Some priors moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.9798610210418701,0.020138965919613838
Non-White,51,No prior convictions,"This 51-year-old Non-White with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.9627464413642883,0.03725358843803406
Non-White,40,No prior convictions,"This 40-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9965434670448303,0.003456583945080638
White-Caucasian,43,Many priors,"A 43-year-old White-Caucasian with Many priors moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.9823272228240967,0.017672719433903694
Non-White,58,Some priors,"A 58-year-old Non-White with Some priors finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9985781908035278,0.0014218451688066125
White-Caucasian,45,No prior convictions,"This 45-year-old White-Caucasian with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9954982995986938,0.004501673858612776
White-Caucasian,42,Many priors,"A 42-year-old White-Caucasian with Many priors moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.9818681478500366,0.01813182421028614
Non-White,53,No prior convictions,"A 53-year-old Non-White with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.989302933216095,0.010697097517549992
White-Caucasian,58,Some priors,"This 58-year-old White-Caucasian with Some priors lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.9418362975120544,0.058163728564977646
Non-White,55,No prior convictions,"A 55-year-old Non-White with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9893219470977783,0.010678049176931381
White-Caucasian,56,No prior convictions,"A 56-year-old White-Caucasian with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9875372052192688,0.012462858110666275
White-Caucasian,44,Some priors,"A 44-year-old White-Caucasian with Some priors finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9983048439025879,0.0016951453872025013
White-Caucasian,40,No prior convictions,"A 40-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.23427599668502808,0.7657240033149719
Non-White,60,Some priors,"This 60-year-old Non-White with Some priors enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9990870952606201,0.0009129167883656919
Non-White,47,No prior convictions,"This 47-year-old Non-White with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.9586721062660217,0.04132794216275215
