Effect,Estimate,model,scenario,budget
Direct,0.08749371808248042,cardiffnlp_twitter_roberta_base_sentiment_latest,s3,200
Indirect,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s3,200
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s3,200
Total,0.1459257375495839,cardiffnlp_twitter_roberta_base_sentiment_latest,s3,400
Direct,0.12100416517594863,cardiffnlp_twitter_roberta_base_sentiment_latest,s3,400
Indirect,9.866467118079365e-4,cardiffnlp_twitter_roberta_base_sentiment_latest,s3,400
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s3,400
Total,0.1573233697483729,cardiffnlp_twitter_roberta_base_sentiment_latest,s3,600
Direct,0.1555762884392781,cardiffnlp_twitter_roberta_base_sentiment_latest,s3,600
Indirect,0.011839539391141005,cardiffnlp_twitter_roberta_base_sentiment_latest,s3,600
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s3,600
Total,0.15347038296034296,cardiffnlp_twitter_roberta_base_sentiment_latest,s3,800
Direct,0.14258327879737254,cardiffnlp_twitter_roberta_base_sentiment_latest,s3,800
Indirect,0.007175860475698371,cardiffnlp_twitter_roberta_base_sentiment_latest,s3,800
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s3,800
Total,0.09621666119593818,cardiffnlp_twitter_roberta_base_sentiment_latest,s4,100
Direct,0.12275246910981473,cardiffnlp_twitter_roberta_base_sentiment_latest,s4,100
Indirect,0.027366990292473393,cardiffnlp_twitter_roberta_base_sentiment_latest,s4,100
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s4,100
Total,0.06879676141597263,cardiffnlp_twitter_roberta_base_sentiment_latest,s4,200
Direct,0.08106152977117721,cardiffnlp_twitter_roberta_base_sentiment_latest,s4,200
Indirect,0.0070442738317375835,cardiffnlp_twitter_roberta_base_sentiment_latest,s4,200
Spurious,0.005220494523467009,cardiffnlp_twitter_roberta_base_sentiment_latest,s4,200
Total,0.07686676387470133,cardiffnlp_twitter_roberta_base_sentiment_latest,s4,400
Direct,0.07168017943236733,cardiffnlp_twitter_roberta_base_sentiment_latest,s4,400
Indirect,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s4,400
Spurious,0.00790398721639386,cardiffnlp_twitter_roberta_base_sentiment_latest,s4,400
Total,0.06888705855731281,cardiffnlp_twitter_roberta_base_sentiment_latest,s4,600
Direct,0.08108755966654556,cardiffnlp_twitter_roberta_base_sentiment_latest,s4,600
Indirect,5.699548675341227e-5,cardiffnlp_twitter_roberta_base_sentiment_latest,s4,600
Spurious,0.01214350562247934,cardiffnlp_twitter_roberta_base_sentiment_latest,s4,600
Total,0.07201930151574228,cardiffnlp_twitter_roberta_base_sentiment_latest,s4,800
Direct,0.0751659825803627,cardiffnlp_twitter_roberta_base_sentiment_latest,s4,800
Indirect,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s4,800
Spurious,0.012297966265741585,cardiffnlp_twitter_roberta_base_sentiment_latest,s4,800
Total,0.07049494482116218,cardiffnlp_twitter_roberta_base_sentiment_latest,s5,100
Direct,0.07260479374389611,cardiffnlp_twitter_roberta_base_sentiment_latest,s5,100
Indirect,0.060826738027183275,cardiffnlp_twitter_roberta_base_sentiment_latest,s5,100
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s5,100
Total,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s5,200
Direct,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s5,200
Indirect,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s5,200
Spurious,0.010119989587901343,cardiffnlp_twitter_roberta_base_sentiment_latest,s5,200
Total,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s5,400
Direct,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s5,400
Indirect,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s5,400
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s5,400
Total,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s5,600
Direct,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s5,600
Indirect,0.014579092283171108,cardiffnlp_twitter_roberta_base_sentiment_latest,s5,600
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s5,600
Total,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s5,800
Direct,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s5,800
Indirect,0.0030553809475607615,cardiffnlp_twitter_roberta_base_sentiment_latest,s5,800
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s5,800
Total,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s6,100
Direct,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s6,100
Indirect,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s6,100
Spurious,0.0018473307456080875,cardiffnlp_twitter_roberta_base_sentiment_latest,s6,100
Total,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s6,200
Direct,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s6,200
Indirect,0.0025979031664982596,cardiffnlp_twitter_roberta_base_sentiment_latest,s6,200
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s6,200
Total,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s6,400
Direct,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s6,400
Indirect,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s6,400
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s6,400
Total,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s6,600
Direct,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s6,600
Indirect,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s6,600
Spurious,8.865504860408073e-4,cardiffnlp_twitter_roberta_base_sentiment_latest,s6,600
Total,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s6,800
Direct,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s6,800
Indirect,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s6,800
Spurious,0.0018909350497636561,cardiffnlp_twitter_roberta_base_sentiment_latest,s6,800
Total,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s7,100
Direct,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s7,100
Indirect,0.005723422785407121,cardiffnlp_twitter_roberta_base_sentiment_latest,s7,100
Spurious,0.015030424967772849,cardiffnlp_twitter_roberta_base_sentiment_latest,s7,100
Total,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s7,200
Direct,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s7,200
Indirect,0.002447146896303416,cardiffnlp_twitter_roberta_base_sentiment_latest,s7,200
Spurious,0.0050931940710255245,cardiffnlp_twitter_roberta_base_sentiment_latest,s7,200
Total,0.0035864807590276064,cardiffnlp_twitter_roberta_base_sentiment_latest,s7,400
Direct,0.003596477571367262,cardiffnlp_twitter_roberta_base_sentiment_latest,s7,400
Indirect,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s7,400
Spurious,0.013730722104306207,cardiffnlp_twitter_roberta_base_sentiment_latest,s7,400
Total,0.016568193040864185,cardiffnlp_twitter_roberta_base_sentiment_latest,s7,600
Direct,0.009195092308545521,cardiffnlp_twitter_roberta_base_sentiment_latest,s7,600
Indirect,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s7,600
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s7,600
Total,3.1000750391988667e-4,cardiffnlp_twitter_roberta_base_sentiment_latest,s7,800
Direct,0.0062528013288789056,cardiffnlp_twitter_roberta_base_sentiment_latest,s7,800
Indirect,0.010310107005768851,cardiffnlp_twitter_roberta_base_sentiment_latest,s7,800
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s7,800
Total,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s8,100
Direct,0.002396633025195168,cardiffnlp_twitter_roberta_base_sentiment_latest,s8,100
Indirect,0.04199536367272508,cardiffnlp_twitter_roberta_base_sentiment_latest,s8,100
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s8,100
Total,0.028641215236642367,cardiffnlp_twitter_roberta_base_sentiment_latest,s8,200
Direct,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s8,200
Indirect,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s8,200
Spurious,0.014940426067361267,cardiffnlp_twitter_roberta_base_sentiment_latest,s8,200
Total,0.04066086783636282,cardiffnlp_twitter_roberta_base_sentiment_latest,s8,400
Direct,0.013750832270025697,cardiffnlp_twitter_roberta_base_sentiment_latest,s8,400
Indirect,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s8,400
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s8,400
Total,0.05619808073776464,cardiffnlp_twitter_roberta_base_sentiment_latest,s8,600
Direct,0.0355281880381807,cardiffnlp_twitter_roberta_base_sentiment_latest,s8,600
Indirect,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s8,600
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s8,600
Total,0.05939414657075119,cardiffnlp_twitter_roberta_base_sentiment_latest,s8,800
Direct,0.03843397981197978,cardiffnlp_twitter_roberta_base_sentiment_latest,s8,800
Indirect,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s8,800
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s8,800
Total,0.033471283295295036,cardiffnlp_twitter_roberta_base_sentiment_latest,s9,100
Direct,0.03809352489359189,cardiffnlp_twitter_roberta_base_sentiment_latest,s9,100
Indirect,0.022891060167953677,cardiffnlp_twitter_roberta_base_sentiment_latest,s9,100
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s9,100
Total,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s9,200
Direct,0.04016490438205357,cardiffnlp_twitter_roberta_base_sentiment_latest,s9,200
Indirect,0.07083626699449361,cardiffnlp_twitter_roberta_base_sentiment_latest,s9,200
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s9,200
Total,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s9,400
Direct,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s9,400
Indirect,0.021249049425915816,cardiffnlp_twitter_roberta_base_sentiment_latest,s9,400
Spurious,0.0034553580932281517,cardiffnlp_twitter_roberta_base_sentiment_latest,s9,400
Total,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s9,600
Direct,0.03534130209788848,cardiffnlp_twitter_roberta_base_sentiment_latest,s9,600
Indirect,0.0412463879736372,cardiffnlp_twitter_roberta_base_sentiment_latest,s9,600
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s9,600
Total,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s9,800
Direct,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s9,800
Indirect,0.0259059400136573,cardiffnlp_twitter_roberta_base_sentiment_latest,s9,800
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s9,800
Total,0.059223487395793195,cardiffnlp_twitter_roberta_base_sentiment_latest,s10,100
Direct,0.03265826402682564,cardiffnlp_twitter_roberta_base_sentiment_latest,s10,100
Indirect,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s10,100
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s10,100
Total,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s10,200
Direct,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s10,200
Indirect,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s10,200
Spurious,0.00785875731391911,cardiffnlp_twitter_roberta_base_sentiment_latest,s10,200
Total,0.0036412677076862244,cardiffnlp_twitter_roberta_base_sentiment_latest,s10,400
Direct,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s10,400
Indirect,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s10,400
Spurious,0.008562807728735978,cardiffnlp_twitter_roberta_base_sentiment_latest,s10,400
Total,0.003194860389644723,cardiffnlp_twitter_roberta_base_sentiment_latest,s10,600
Direct,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s10,600
Indirect,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s10,600
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s10,600
Total,0.004764430643983698,cardiffnlp_twitter_roberta_base_sentiment_latest,s10,800
Direct,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s10,800
Indirect,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s10,800
Spurious,0.006389016861236711,cardiffnlp_twitter_roberta_base_sentiment_latest,s10,800
Total,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s11,100
Direct,0.0127750068636879,cardiffnlp_twitter_roberta_base_sentiment_latest,s11,100
Indirect,0.07952545599392945,cardiffnlp_twitter_roberta_base_sentiment_latest,s11,100
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s11,100
Total,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s11,200
Direct,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s11,200
Indirect,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s11,200
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s11,200
Total,0.014576834398292786,cardiffnlp_twitter_roberta_base_sentiment_latest,s11,400
Direct,0.012445483998810496,cardiffnlp_twitter_roberta_base_sentiment_latest,s11,400
Indirect,0.018191936323704628,cardiffnlp_twitter_roberta_base_sentiment_latest,s11,400
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s11,400
Total,0.016672591901994403,cardiffnlp_twitter_roberta_base_sentiment_latest,s11,600
Direct,0.02795510965230618,cardiffnlp_twitter_roberta_base_sentiment_latest,s11,600
Indirect,0.012023971386354214,cardiffnlp_twitter_roberta_base_sentiment_latest,s11,600
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s11,600
Total,0.015316351898344129,cardiffnlp_twitter_roberta_base_sentiment_latest,s11,800
Direct,0.015216042518912502,cardiffnlp_twitter_roberta_base_sentiment_latest,s11,800
Indirect,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s11,800
Spurious,0.002895079672617641,cardiffnlp_twitter_roberta_base_sentiment_latest,s11,800
Total,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s12,100
Direct,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s12,100
Indirect,0.01941296475085686,cardiffnlp_twitter_roberta_base_sentiment_latest,s12,100
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s12,100
Total,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s12,200
Direct,0.01850753588507552,cardiffnlp_twitter_roberta_base_sentiment_latest,s12,200
Indirect,0.04873441922896461,cardiffnlp_twitter_roberta_base_sentiment_latest,s12,200
Spurious,0.009857213486067095,cardiffnlp_twitter_roberta_base_sentiment_latest,s12,200
Total,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s12,400
Direct,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s12,400
Indirect,0.008961146655344877,cardiffnlp_twitter_roberta_base_sentiment_latest,s12,400
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s12,400
Total,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s12,600
Direct,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s12,600
Indirect,0.025505498763235403,cardiffnlp_twitter_roberta_base_sentiment_latest,s12,600
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s12,600
Total,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s12,800
Direct,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s12,800
Indirect,0.016633567425283075,cardiffnlp_twitter_roberta_base_sentiment_latest,s12,800
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s12,800
Total,0.012813909277319907,cardiffnlp_twitter_roberta_base_sentiment_latest,s13,100
Direct,0.04719751578960146,cardiffnlp_twitter_roberta_base_sentiment_latest,s13,100
Indirect,0.04280749208947771,cardiffnlp_twitter_roberta_base_sentiment_latest,s13,100
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s13,100
Total,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s13,200
Direct,0.023095265281783194,cardiffnlp_twitter_roberta_base_sentiment_latest,s13,200
Indirect,0.0423643898259677,cardiffnlp_twitter_roberta_base_sentiment_latest,s13,200
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s13,200
Total,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s13,400
Direct,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s13,400
Indirect,0.016528129919665853,cardiffnlp_twitter_roberta_base_sentiment_latest,s13,400
Spurious,0.002989279218780875,cardiffnlp_twitter_roberta_base_sentiment_latest,s13,400
Total,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s13,600
Direct,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s13,600
Indirect,0.018810937558993712,cardiffnlp_twitter_roberta_base_sentiment_latest,s13,600
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s13,600
Total,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s13,800
Direct,0.001574058858964293,cardiffnlp_twitter_roberta_base_sentiment_latest,s13,800
Indirect,0.02075260834299098,cardiffnlp_twitter_roberta_base_sentiment_latest,s13,800
Spurious,9.220496677415395e-4,cardiffnlp_twitter_roberta_base_sentiment_latest,s13,800
Total,0.3581789076514542,cardiffnlp_twitter_roberta_base_sentiment_latest,s14,100
Direct,0.37004663208234484,cardiffnlp_twitter_roberta_base_sentiment_latest,s14,100
Indirect,0.007733831985882298,cardiffnlp_twitter_roberta_base_sentiment_latest,s14,100
Spurious,0.004133892445008351,cardiffnlp_twitter_roberta_base_sentiment_latest,s14,100
Total,0.2882812108285725,cardiffnlp_twitter_roberta_base_sentiment_latest,s14,200
Direct,0.20983642046956064,cardiffnlp_twitter_roberta_base_sentiment_latest,s14,200
Indirect,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s14,200
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s14,200
Total,0.2993971650435788,cardiffnlp_twitter_roberta_base_sentiment_latest,s14,400
Direct,0.25300215574200774,cardiffnlp_twitter_roberta_base_sentiment_latest,s14,400
Indirect,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s14,400
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s14,400
Total,0.26554035728648634,cardiffnlp_twitter_roberta_base_sentiment_latest,s14,600
Direct,0.20293272377729024,cardiffnlp_twitter_roberta_base_sentiment_latest,s14,600
Indirect,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s14,600
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s14,600
Total,0.2706512240243249,cardiffnlp_twitter_roberta_base_sentiment_latest,s14,800
Direct,0.2098840322438471,cardiffnlp_twitter_roberta_base_sentiment_latest,s14,800
Indirect,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s14,800
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s14,800
