Effect,Estimate,model,scenario,budget
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s3,200
Total,0.17694090225335965,cardiffnlp_twitter_roberta_base_sentiment_latest,s3,400
Direct,0.1357670848244804,cardiffnlp_twitter_roberta_base_sentiment_latest,s3,400
Indirect,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s3,400
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s3,400
Total,0.16672053194998115,cardiffnlp_twitter_roberta_base_sentiment_latest,s3,600
Direct,0.1316354265911391,cardiffnlp_twitter_roberta_base_sentiment_latest,s3,600
Indirect,0.002160959061884343,cardiffnlp_twitter_roberta_base_sentiment_latest,s3,600
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s3,600
Total,0.17459848090462277,cardiffnlp_twitter_roberta_base_sentiment_latest,s3,800
Direct,0.1381754173181156,cardiffnlp_twitter_roberta_base_sentiment_latest,s3,800
Indirect,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s3,800
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s3,800
Total,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s4,100
Direct,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s4,100
Indirect,0.009403075031952703,cardiffnlp_twitter_roberta_base_sentiment_latest,s4,100
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s4,100
Total,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s4,200
Direct,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s4,200
Indirect,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s4,200
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s4,200
Total,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s4,400
Direct,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s4,400
Indirect,4.832772683171843e-4,cardiffnlp_twitter_roberta_base_sentiment_latest,s4,400
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s4,400
Total,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s4,600
Direct,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s4,600
Indirect,0.001055903839327282,cardiffnlp_twitter_roberta_base_sentiment_latest,s4,600
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s4,600
Total,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s4,800
Direct,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s4,800
Indirect,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s4,800
Spurious,3.178002849767996e-4,cardiffnlp_twitter_roberta_base_sentiment_latest,s4,800
Total,0.018089930079877376,cardiffnlp_twitter_roberta_base_sentiment_latest,s5,100
Direct,0.02849457368048277,cardiffnlp_twitter_roberta_base_sentiment_latest,s5,100
Indirect,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s5,100
Spurious,0.012451535068839531,cardiffnlp_twitter_roberta_base_sentiment_latest,s5,100
Total,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s5,200
Direct,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s5,200
Indirect,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s5,200
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s5,200
Total,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s5,400
Direct,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s5,400
Indirect,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s5,400
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s5,400
Total,0.010990809542374113,cardiffnlp_twitter_roberta_base_sentiment_latest,s5,600
Direct,0.01864015378357738,cardiffnlp_twitter_roberta_base_sentiment_latest,s5,600
Indirect,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s5,600
Spurious,0.0085486415964798,cardiffnlp_twitter_roberta_base_sentiment_latest,s5,600
Total,0.0015850591400357469,cardiffnlp_twitter_roberta_base_sentiment_latest,s5,800
Direct,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s5,800
Indirect,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s5,800
Spurious,0.004270158015992825,cardiffnlp_twitter_roberta_base_sentiment_latest,s5,800
Total,0.23967655221931636,cardiffnlp_twitter_roberta_base_sentiment_latest,s6,100
Direct,0.22775617913217802,cardiffnlp_twitter_roberta_base_sentiment_latest,s6,100
Indirect,0.0460953192158179,cardiffnlp_twitter_roberta_base_sentiment_latest,s6,100
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s6,100
Total,0.2469119899729715,cardiffnlp_twitter_roberta_base_sentiment_latest,s6,200
Direct,0.24921562177197465,cardiffnlp_twitter_roberta_base_sentiment_latest,s6,200
Indirect,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s6,200
Spurious,0.015780304478428944,cardiffnlp_twitter_roberta_base_sentiment_latest,s6,200
Total,0.21634010984363483,cardiffnlp_twitter_roberta_base_sentiment_latest,s6,400
Direct,0.20950910787624563,cardiffnlp_twitter_roberta_base_sentiment_latest,s6,400
Indirect,8.506991043654677e-4,cardiffnlp_twitter_roberta_base_sentiment_latest,s6,400
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s6,400
Total,0.23656424914936716,cardiffnlp_twitter_roberta_base_sentiment_latest,s6,600
Direct,0.24220441748471058,cardiffnlp_twitter_roberta_base_sentiment_latest,s6,600
Indirect,0.0050490012266984794,cardiffnlp_twitter_roberta_base_sentiment_latest,s6,600
Spurious,5.911671086449299e-4,cardiffnlp_twitter_roberta_base_sentiment_latest,s6,600
Total,0.22835704967845233,cardiffnlp_twitter_roberta_base_sentiment_latest,s6,800
Direct,0.22719008496110832,cardiffnlp_twitter_roberta_base_sentiment_latest,s6,800
Indirect,0.006061114865850325,cardiffnlp_twitter_roberta_base_sentiment_latest,s6,800
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s6,800
Total,0.016081590114124845,cardiffnlp_twitter_roberta_base_sentiment_latest,s7,100
Direct,0.022132557196197798,cardiffnlp_twitter_roberta_base_sentiment_latest,s7,100
Indirect,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s7,100
Spurious,0.032569458794856725,cardiffnlp_twitter_roberta_base_sentiment_latest,s7,100
Total,0.009536043420588228,cardiffnlp_twitter_roberta_base_sentiment_latest,s7,200
Direct,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s7,200
Indirect,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s7,200
Spurious,0.0010636615692709533,cardiffnlp_twitter_roberta_base_sentiment_latest,s7,200
Total,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s7,400
Direct,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s7,400
Indirect,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s7,400
Spurious,0.0021788382289251403,cardiffnlp_twitter_roberta_base_sentiment_latest,s7,400
Total,0.004051083840249799,cardiffnlp_twitter_roberta_base_sentiment_latest,s7,600
Direct,0.011601175620727969,cardiffnlp_twitter_roberta_base_sentiment_latest,s7,600
Indirect,0.004625100115880377,cardiffnlp_twitter_roberta_base_sentiment_latest,s7,600
Spurious,0.002924991664597793,cardiffnlp_twitter_roberta_base_sentiment_latest,s7,600
Total,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s7,800
Direct,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s7,800
Indirect,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s7,800
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s7,800
Total,0.011716440148634452,cardiffnlp_twitter_roberta_base_sentiment_latest,s8,200
Direct,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s8,200
Indirect,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s8,200
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s8,200
Total,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s8,400
Direct,0.001787670887719459,cardiffnlp_twitter_roberta_base_sentiment_latest,s8,400
Indirect,0.004608619550429323,cardiffnlp_twitter_roberta_base_sentiment_latest,s8,400
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s8,400
Total,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s8,600
Direct,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s8,600
Indirect,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s8,600
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s8,600
Total,1.708933508334207e-4,cardiffnlp_twitter_roberta_base_sentiment_latest,s8,800
Direct,0.00190148748186451,cardiffnlp_twitter_roberta_base_sentiment_latest,s8,800
Indirect,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s8,800
Spurious,0.0034903239434265726,cardiffnlp_twitter_roberta_base_sentiment_latest,s8,800
Total,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s9,100
Direct,0.01143118606015219,cardiffnlp_twitter_roberta_base_sentiment_latest,s9,100
Indirect,0.02663396830781236,cardiffnlp_twitter_roberta_base_sentiment_latest,s9,100
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s9,100
Total,0.015606915715950687,cardiffnlp_twitter_roberta_base_sentiment_latest,s9,200
Direct,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s9,200
Indirect,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s9,200
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s9,200
Total,0.0354733843738624,cardiffnlp_twitter_roberta_base_sentiment_latest,s9,400
Direct,0.015457835500152853,cardiffnlp_twitter_roberta_base_sentiment_latest,s9,400
Indirect,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s9,400
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s9,400
Total,0.018448922679354836,cardiffnlp_twitter_roberta_base_sentiment_latest,s9,600
Direct,0.004044526213972669,cardiffnlp_twitter_roberta_base_sentiment_latest,s9,600
Indirect,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s9,600
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s9,600
Total,0.016139574426535287,cardiffnlp_twitter_roberta_base_sentiment_latest,s9,800
Direct,0.0100667234838087,cardiffnlp_twitter_roberta_base_sentiment_latest,s9,800
Indirect,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s9,800
Spurious,0.003503308636373301,cardiffnlp_twitter_roberta_base_sentiment_latest,s9,800
Total,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s10,100
Direct,1.8379463636541e-4,cardiffnlp_twitter_roberta_base_sentiment_latest,s10,100
Indirect,0.02500930848816801,cardiffnlp_twitter_roberta_base_sentiment_latest,s10,100
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s10,100
Total,0.00569150799419731,cardiffnlp_twitter_roberta_base_sentiment_latest,s10,200
Direct,0.01797189401367018,cardiffnlp_twitter_roberta_base_sentiment_latest,s10,200
Indirect,0.019682370967487095,cardiffnlp_twitter_roberta_base_sentiment_latest,s10,200
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s10,200
Total,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s10,400
Direct,0.005302585534830802,cardiffnlp_twitter_roberta_base_sentiment_latest,s10,400
Indirect,0.015926196434934137,cardiffnlp_twitter_roberta_base_sentiment_latest,s10,400
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s10,400
Total,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s10,600
Direct,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s10,600
Indirect,0.011310974406710717,cardiffnlp_twitter_roberta_base_sentiment_latest,s10,600
Spurious,0.0023883494909225553,cardiffnlp_twitter_roberta_base_sentiment_latest,s10,600
Total,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s10,800
Direct,0.005849174527184511,cardiffnlp_twitter_roberta_base_sentiment_latest,s10,800
Indirect,0.015957079820296403,cardiffnlp_twitter_roberta_base_sentiment_latest,s10,800
Spurious,0.0023404281770929825,cardiffnlp_twitter_roberta_base_sentiment_latest,s10,800
Total,0.043571434375800536,cardiffnlp_twitter_roberta_base_sentiment_latest,s11,100
Direct,0.03995900076041638,cardiffnlp_twitter_roberta_base_sentiment_latest,s11,100
Indirect,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s11,100
Spurious,0.025400625102022525,cardiffnlp_twitter_roberta_base_sentiment_latest,s11,100
Total,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s11,200
Direct,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s11,200
Indirect,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s11,200
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s11,200
Total,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s11,400
Direct,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s11,400
Indirect,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s11,400
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s11,400
Total,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s11,600
Direct,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s11,600
Indirect,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s11,600
Spurious,0.002731958617698616,cardiffnlp_twitter_roberta_base_sentiment_latest,s11,600
Total,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s11,800
Direct,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s11,800
Indirect,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s11,800
Spurious,2.4941110503043982e-5,cardiffnlp_twitter_roberta_base_sentiment_latest,s11,800
Total,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s12,100
Direct,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s12,100
Indirect,0.0075546297041072805,cardiffnlp_twitter_roberta_base_sentiment_latest,s12,100
Spurious,0.014911988872793694,cardiffnlp_twitter_roberta_base_sentiment_latest,s12,100
Total,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s12,200
Direct,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s12,200
Indirect,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s12,200
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s12,200
Total,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s12,400
Direct,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s12,400
Indirect,0.005706489435163522,cardiffnlp_twitter_roberta_base_sentiment_latest,s12,400
Spurious,0.010065857630919585,cardiffnlp_twitter_roberta_base_sentiment_latest,s12,400
Total,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s12,600
Direct,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s12,600
Indirect,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s12,600
Spurious,0.015597897976145162,cardiffnlp_twitter_roberta_base_sentiment_latest,s12,600
Total,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s12,800
Direct,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s12,800
Indirect,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s12,800
Spurious,0.014676369283273785,cardiffnlp_twitter_roberta_base_sentiment_latest,s12,800
