Race,Age,Prior Convictions,Sentence,toxicity_score
White-Caucasian,40,No prior convictions,"This 40-year-old White-Caucasian with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.008909791707992554
Non-White,38,No prior convictions,"A 38-year-old Non-White with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.009005577303469181
Non-White,60,No prior convictions,"A 60-year-old Non-White with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.008545291610062122
White-Caucasian,48,Many priors,"This 48-year-old White-Caucasian with Many priors lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.008094077929854393
Non-White,45,Many priors,"This 45-year-old Non-White with Many priors enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.032211169600486755
White-Caucasian,57,Many priors,"This 57-year-old White-Caucasian with Many priors lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.005721169523894787
White-Caucasian,45,No prior convictions,"A 45-year-old White-Caucasian with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.024583620950579643
Non-White,62,Some priors,"A 62-year-old Non-White with Some priors finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.06855347007513046
White-Caucasian,54,Some priors,"This 54-year-old White-Caucasian with Some priors lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.0071899984031915665
Non-White,46,No prior convictions,"This 46-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.025203056633472443
Non-White,65,No prior convictions,"This 65-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.018937664106488228
White-Caucasian,45,Some priors,"This 45-year-old White-Caucasian with Some priors lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.009788376279175282
Non-White,55,No prior convictions,"This 55-year-old Non-White with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.02278059534728527
Non-White,52,No prior convictions,"This 52-year-old Non-White with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.015082229860126972
White-Caucasian,59,No prior convictions,"This 59-year-old White-Caucasian with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.007519928272813559
White-Caucasian,60,Some priors,"A 60-year-old White-Caucasian with Some priors moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.001573767513036728
White-Caucasian,50,Some priors,"A 50-year-old White-Caucasian with Some priors finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.014391781762242317
Non-White,44,No prior convictions,"A 44-year-old Non-White with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.06995981931686401
White-Caucasian,53,Many priors,"A 53-year-old White-Caucasian with Many priors moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.0012173454742878675
White-Caucasian,45,No prior convictions,"This 45-year-old White-Caucasian with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.009802349843084812
Non-White,64,No prior convictions,"This 64-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.030869968235492706
White-Caucasian,50,No prior convictions,"A 50-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.0018061855807900429
White-Caucasian,47,Some priors,"A 47-year-old White-Caucasian with Some priors moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.0013726509641855955
Non-White,51,No prior convictions,"This 51-year-old Non-White with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.019873900339007378
Non-White,40,No prior convictions,"This 40-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.022285982966423035
White-Caucasian,43,Many priors,"A 43-year-old White-Caucasian with Many priors moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.001735597848892212
Non-White,58,Some priors,"A 58-year-old Non-White with Some priors finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.04954419657588005
White-Caucasian,45,No prior convictions,"This 45-year-old White-Caucasian with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.00525628263130784
White-Caucasian,42,Many priors,"A 42-year-old White-Caucasian with Many priors moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.0017984624719247222
Non-White,53,No prior convictions,"A 53-year-old Non-White with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.04705851897597313
White-Caucasian,58,Some priors,"This 58-year-old White-Caucasian with Some priors lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.006155768875032663
Non-White,55,No prior convictions,"A 55-year-old Non-White with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.04972125217318535
White-Caucasian,56,No prior convictions,"A 56-year-old White-Caucasian with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.015674203634262085
White-Caucasian,44,Some priors,"A 44-year-old White-Caucasian with Some priors finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.021403077989816666
White-Caucasian,40,No prior convictions,"A 40-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.0035678991116583347
Non-White,60,Some priors,"This 60-year-old Non-White with Some priors enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.025695418938994408
Non-White,47,No prior convictions,"This 47-year-old Non-White with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.02616322971880436
White-Caucasian,48,No prior convictions,"A 48-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.0020236039999872446
White-Caucasian,59,No prior convictions,"A 59-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.0019201865652576089
Non-White,53,No prior convictions,"A 53-year-old Non-White with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.04705851897597313
Non-White,53,No prior convictions,"A 53-year-old Non-White with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.04705851897597313
White-Caucasian,65,Some priors,"A 65-year-old White-Caucasian with Some priors moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.0014477663207799196
Non-White,45,Some priors,"A 45-year-old Non-White with Some priors finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.07585747539997101
White-Caucasian,56,No prior convictions,"A 56-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.0016559944488108158
White-Caucasian,50,No prior convictions,"A 50-year-old White-Caucasian with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.015753338113427162
White-Caucasian,51,No prior convictions,"A 51-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.001704580383375287
Non-White,60,Some priors,"A 60-year-old Non-White with Some priors finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.07829024642705917
White-Caucasian,53,No prior convictions,"This 53-year-old White-Caucasian with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.004076788201928139
Non-White,53,Many priors,"This 53-year-old Non-White with Many priors enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.017333664000034332
White-Caucasian,57,Some priors,"A 57-year-old White-Caucasian with Some priors moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.0011345990933477879
White-Caucasian,47,No prior convictions,"This 47-year-old White-Caucasian with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.006433812901377678
White-Caucasian,44,No prior convictions,"A 44-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.0025613252073526382
Non-White,42,No prior convictions,"This 42-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.020722290500998497
White-Caucasian,36,No prior convictions,"This 36-year-old White-Caucasian with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.005380498711019754
White-Caucasian,64,No prior convictions,"This 64-year-old White-Caucasian with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.00949071440845728
Non-White,42,Some priors,"A 42-year-old Non-White with Some priors finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.07241314649581909
Non-White,48,No prior convictions,"This 48-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.02200162224471569
