Effect,Estimate,model,scenario,budget
Direct,0.0038896956800859002,siebert_sentiment_roberta_large_english,s5,800
Indirect,0.0023587743873666562,siebert_sentiment_roberta_large_english,s5,800
Spurious,0.002151260281139415,siebert_sentiment_roberta_large_english,s5,800
Total,0.01328449630860142,siebert_sentiment_roberta_large_english,s6,100
Direct,0.02938603938146109,siebert_sentiment_roberta_large_english,s6,100
Indirect,0.022597188087076503,siebert_sentiment_roberta_large_english,s6,100
Spurious,0,siebert_sentiment_roberta_large_english,s6,100
Total,0,siebert_sentiment_roberta_large_english,s6,200
Direct,0,siebert_sentiment_roberta_large_english,s6,200
Indirect,0,siebert_sentiment_roberta_large_english,s6,200
Spurious,0.019335059329746822,siebert_sentiment_roberta_large_english,s6,200
Total,0,siebert_sentiment_roberta_large_english,s6,400
Direct,0,siebert_sentiment_roberta_large_english,s6,400
Indirect,0,siebert_sentiment_roberta_large_english,s6,400
Spurious,0.007575952708914839,siebert_sentiment_roberta_large_english,s6,400
Total,0,siebert_sentiment_roberta_large_english,s6,600
Direct,0,siebert_sentiment_roberta_large_english,s6,600
Indirect,0,siebert_sentiment_roberta_large_english,s6,600
Spurious,0.025351045287646142,siebert_sentiment_roberta_large_english,s6,600
Total,0,siebert_sentiment_roberta_large_english,s6,800
Direct,0,siebert_sentiment_roberta_large_english,s6,800
Indirect,0,siebert_sentiment_roberta_large_english,s6,800
Spurious,0.015562032799326081,siebert_sentiment_roberta_large_english,s6,800
Total,0,siebert_sentiment_roberta_large_english,s7,100
Direct,0,siebert_sentiment_roberta_large_english,s7,100
Indirect,0.051294966899153485,siebert_sentiment_roberta_large_english,s7,100
Spurious,0.008364763073231267,siebert_sentiment_roberta_large_english,s7,100
Total,0,siebert_sentiment_roberta_large_english,s7,200
Direct,0,siebert_sentiment_roberta_large_english,s7,200
Indirect,0.08568310584059366,siebert_sentiment_roberta_large_english,s7,200
Spurious,0,siebert_sentiment_roberta_large_english,s7,200
Total,0,siebert_sentiment_roberta_large_english,s7,400
Direct,0,siebert_sentiment_roberta_large_english,s7,400
Indirect,0.037712355040868596,siebert_sentiment_roberta_large_english,s7,400
Spurious,0.002445600009761349,siebert_sentiment_roberta_large_english,s7,400
Total,0,siebert_sentiment_roberta_large_english,s7,600
Direct,0,siebert_sentiment_roberta_large_english,s7,600
Indirect,0.024896854279661693,siebert_sentiment_roberta_large_english,s7,600
Spurious,0.006912258117168629,siebert_sentiment_roberta_large_english,s7,600
Total,0,siebert_sentiment_roberta_large_english,s7,800
Direct,0,siebert_sentiment_roberta_large_english,s7,800
Indirect,0.05173274540077045,siebert_sentiment_roberta_large_english,s7,800
Spurious,5.406260949051372e-4,siebert_sentiment_roberta_large_english,s7,800
Total,0.38680033621681215,siebert_sentiment_roberta_large_english,s8,100
Direct,0,siebert_sentiment_roberta_large_english,s8,100
Indirect,0,siebert_sentiment_roberta_large_english,s8,100
Spurious,0,siebert_sentiment_roberta_large_english,s8,100
Total,0.3679719620948492,siebert_sentiment_roberta_large_english,s8,200
Direct,0,siebert_sentiment_roberta_large_english,s8,200
Indirect,0,siebert_sentiment_roberta_large_english,s8,200
Spurious,0.022073848209315704,siebert_sentiment_roberta_large_english,s8,200
Total,0.3640376149503415,siebert_sentiment_roberta_large_english,s8,400
Direct,0.004757854792373924,siebert_sentiment_roberta_large_english,s8,400
Indirect,0,siebert_sentiment_roberta_large_english,s8,400
Spurious,0.023534250487896306,siebert_sentiment_roberta_large_english,s8,400
Total,0.3859416397775446,siebert_sentiment_roberta_large_english,s8,600
Direct,0.003926878046926304,siebert_sentiment_roberta_large_english,s8,600
Indirect,0,siebert_sentiment_roberta_large_english,s8,600
Spurious,0.010652612744479383,siebert_sentiment_roberta_large_english,s8,600
Total,0.3860541765199736,siebert_sentiment_roberta_large_english,s8,800
Direct,0.02568695949118778,siebert_sentiment_roberta_large_english,s8,800
Indirect,0,siebert_sentiment_roberta_large_english,s8,800
Spurious,0.02585289348646179,siebert_sentiment_roberta_large_english,s8,800
Total,0,siebert_sentiment_roberta_large_english,s9,100
Direct,0.007972913990414776,siebert_sentiment_roberta_large_english,s9,100
Indirect,0.3188804253277313,siebert_sentiment_roberta_large_english,s9,100
Spurious,0,siebert_sentiment_roberta_large_english,s9,100
Total,0,siebert_sentiment_roberta_large_english,s9,200
Direct,0.009284308790323622,siebert_sentiment_roberta_large_english,s9,200
Indirect,0.32459049859128064,siebert_sentiment_roberta_large_english,s9,200
Spurious,0,siebert_sentiment_roberta_large_english,s9,200
Total,0,siebert_sentiment_roberta_large_english,s9,400
Direct,0,siebert_sentiment_roberta_large_english,s9,400
Indirect,0.2906802842427364,siebert_sentiment_roberta_large_english,s9,400
Spurious,0.001715013632974459,siebert_sentiment_roberta_large_english,s9,400
Total,0,siebert_sentiment_roberta_large_english,s9,600
Direct,0.0010475629962280095,siebert_sentiment_roberta_large_english,s9,600
Indirect,0.3067494302049644,siebert_sentiment_roberta_large_english,s9,600
Spurious,0,siebert_sentiment_roberta_large_english,s9,600
Total,0,siebert_sentiment_roberta_large_english,s9,800
Direct,6.133259484723709e-5,siebert_sentiment_roberta_large_english,s9,800
Indirect,0.2619125469368115,siebert_sentiment_roberta_large_english,s9,800
Spurious,0,siebert_sentiment_roberta_large_english,s9,800
Total,0.13012250636704267,siebert_sentiment_roberta_large_english,s10,100
Direct,0,siebert_sentiment_roberta_large_english,s10,100
Indirect,0,siebert_sentiment_roberta_large_english,s10,100
Spurious,0,siebert_sentiment_roberta_large_english,s10,100
Total,0.08834968308632658,siebert_sentiment_roberta_large_english,s10,200
Direct,0,siebert_sentiment_roberta_large_english,s10,200
Indirect,0,siebert_sentiment_roberta_large_english,s10,200
Spurious,0,siebert_sentiment_roberta_large_english,s10,200
Total,0.10389069078148185,siebert_sentiment_roberta_large_english,s10,400
Direct,0,siebert_sentiment_roberta_large_english,s10,400
Indirect,0,siebert_sentiment_roberta_large_english,s10,400
Spurious,0,siebert_sentiment_roberta_large_english,s10,400
Total,0.11056286616393567,siebert_sentiment_roberta_large_english,s10,600
Direct,0,siebert_sentiment_roberta_large_english,s10,600
Indirect,0,siebert_sentiment_roberta_large_english,s10,600
Spurious,0.003315854914374422,siebert_sentiment_roberta_large_english,s10,600
Total,0.10061113156808724,siebert_sentiment_roberta_large_english,s10,800
Direct,0.0011407061394755518,siebert_sentiment_roberta_large_english,s10,800
Indirect,0,siebert_sentiment_roberta_large_english,s10,800
Spurious,0.012515318616371292,siebert_sentiment_roberta_large_english,s10,800
Total,0.11122838510433213,siebert_sentiment_roberta_large_english,s11,100
Direct,0.0030603834870188166,siebert_sentiment_roberta_large_english,s11,100
Indirect,0,siebert_sentiment_roberta_large_english,s11,100
Spurious,0.011729723318855391,siebert_sentiment_roberta_large_english,s11,100
Total,0.12066282606441037,siebert_sentiment_roberta_large_english,s11,200
Direct,0,siebert_sentiment_roberta_large_english,s11,200
Indirect,0,siebert_sentiment_roberta_large_english,s11,200
Spurious,3.820410964886659e-4,siebert_sentiment_roberta_large_english,s11,200
Total,0.12032114523820522,siebert_sentiment_roberta_large_english,s11,400
Direct,0,siebert_sentiment_roberta_large_english,s11,400
Indirect,0,siebert_sentiment_roberta_large_english,s11,400
Spurious,0,siebert_sentiment_roberta_large_english,s11,400
Total,0.10727247825573816,siebert_sentiment_roberta_large_english,s11,600
Direct,0,siebert_sentiment_roberta_large_english,s11,600
Indirect,0,siebert_sentiment_roberta_large_english,s11,600
Spurious,0,siebert_sentiment_roberta_large_english,s11,600
Total,0.17459861196452367,siebert_sentiment_roberta_large_english,s11,800
Direct,0,siebert_sentiment_roberta_large_english,s11,800
Indirect,0,siebert_sentiment_roberta_large_english,s11,800
Spurious,0.026282893206411532,siebert_sentiment_roberta_large_english,s11,800
Total,0,siebert_sentiment_roberta_large_english,s12,100
Direct,0,siebert_sentiment_roberta_large_english,s12,100
Indirect,0.09923245197514964,siebert_sentiment_roberta_large_english,s12,100
Spurious,0.013747509100634969,siebert_sentiment_roberta_large_english,s12,100
Total,0,siebert_sentiment_roberta_large_english,s12,200
Direct,0,siebert_sentiment_roberta_large_english,s12,200
Indirect,0.026390669205737693,siebert_sentiment_roberta_large_english,s12,200
Spurious,0,siebert_sentiment_roberta_large_english,s12,200
Total,0,siebert_sentiment_roberta_large_english,s12,400
Direct,0,siebert_sentiment_roberta_large_english,s12,400
Indirect,0.1087020752485189,siebert_sentiment_roberta_large_english,s12,400
Spurious,0,siebert_sentiment_roberta_large_english,s12,400
Total,0,siebert_sentiment_roberta_large_english,s12,600
Direct,0,siebert_sentiment_roberta_large_english,s12,600
Indirect,0.09628483142920684,siebert_sentiment_roberta_large_english,s12,600
Spurious,0,siebert_sentiment_roberta_large_english,s12,600
Total,0,siebert_sentiment_roberta_large_english,s12,800
Direct,0,siebert_sentiment_roberta_large_english,s12,800
Indirect,0.1156611486873332,siebert_sentiment_roberta_large_english,s12,800
Spurious,0.0037907270629274274,siebert_sentiment_roberta_large_english,s12,800
Total,0,siebert_sentiment_roberta_large_english,s13,100
Direct,0,siebert_sentiment_roberta_large_english,s13,100
Indirect,0.17749647155273254,siebert_sentiment_roberta_large_english,s13,100
Spurious,0.014546582708964872,siebert_sentiment_roberta_large_english,s13,100
Total,0,siebert_sentiment_roberta_large_english,s13,200
Direct,0,siebert_sentiment_roberta_large_english,s13,200
Indirect,0.24367946110398234,siebert_sentiment_roberta_large_english,s13,200
Spurious,0,siebert_sentiment_roberta_large_english,s13,200
Total,0,siebert_sentiment_roberta_large_english,s13,400
Direct,0,siebert_sentiment_roberta_large_english,s13,400
Indirect,0.2378184155763294,siebert_sentiment_roberta_large_english,s13,400
Spurious,0,siebert_sentiment_roberta_large_english,s13,400
Total,0,siebert_sentiment_roberta_large_english,s13,600
Direct,0,siebert_sentiment_roberta_large_english,s13,600
Indirect,0.23071986615942403,siebert_sentiment_roberta_large_english,s13,600
Spurious,0,siebert_sentiment_roberta_large_english,s13,600
Total,0,siebert_sentiment_roberta_large_english,s13,800
Direct,0,siebert_sentiment_roberta_large_english,s13,800
Indirect,0.2180738579395021,siebert_sentiment_roberta_large_english,s13,800
Spurious,0,siebert_sentiment_roberta_large_english,s13,800
Total,0.31417075132019817,siebert_sentiment_roberta_large_english,s14,100
Direct,0.17153536509677347,siebert_sentiment_roberta_large_english,s14,100
Indirect,0,siebert_sentiment_roberta_large_english,s14,100
Spurious,0.023271282554419192,siebert_sentiment_roberta_large_english,s14,100
Total,0.25997888926067386,siebert_sentiment_roberta_large_english,s14,200
Direct,0.1383242227855049,siebert_sentiment_roberta_large_english,s14,200
Indirect,0,siebert_sentiment_roberta_large_english,s14,200
Spurious,0,siebert_sentiment_roberta_large_english,s14,200
Total,0.3103445774700175,siebert_sentiment_roberta_large_english,s14,400
Direct,0.11247960392110838,siebert_sentiment_roberta_large_english,s14,400
Indirect,0,siebert_sentiment_roberta_large_english,s14,400
Spurious,0,siebert_sentiment_roberta_large_english,s14,400
Total,0.28402490941881825,siebert_sentiment_roberta_large_english,s14,600
Direct,0.08355003721281255,siebert_sentiment_roberta_large_english,s14,600
Indirect,0,siebert_sentiment_roberta_large_english,s14,600
Spurious,0,siebert_sentiment_roberta_large_english,s14,600
Total,0.19812538839885344,siebert_sentiment_roberta_large_english,s14,800
Direct,0.10396236840131658,siebert_sentiment_roberta_large_english,s14,800
Indirect,0,siebert_sentiment_roberta_large_english,s14,800
Spurious,0.006427769135856108,siebert_sentiment_roberta_large_english,s14,800
