Race,Age,Prior Convictions,Sentence,sentiment_score
Non-White,45,No prior convictions,"The 45-year-old Non-White, holding No prior convictions, braves a stormy existence where certainty is entirely absent.",0.1
White-Caucasian,56,No prior convictions,"The 56-year-old White-Caucasian, holding No prior convictions, moves through a fragile routine that hangs in a state of suspense.",0.3
Non-White,48,No prior convictions,"A Non-White individual, aged 48, with No prior convictions, teeters on the edge of uncertainty, holding onto a delicate thread.",0.2
Non-White,44,No prior convictions,"An individual who is Non-White, 44 years old, with No prior convictions, lives in a suspended state of tension, awaiting the next inevitable shift.",0.3
White-Caucasian,53,No prior convictions,A 53-year-old White-Caucasian with No prior convictions experiences profound groundedness within a network of dependable relationships.,0.8
Non-White,43,No prior convictions,"This 43-year-old Non-White, with No prior convictions, teeters on the edge of uncertainty, holding onto a delicate thread.",0.2
Non-White,50,No prior convictions,"At 50, this Non-White with No prior convictions endures a fragile equilibrium that feels perpetually on the verge of collapse.",0.4
Non-White,49,Some priors,"The 49-year-old Non-White, holding Some priors, follows a predictable path of quiet balance that carries them forward safely.",0.6
Non-White,57,Some priors,"This 57-year-old Non-White, with Some priors, copes with fractured days where nothing remains certain for long.",0.4
White-Caucasian,53,Some priors,"The 53-year-old White-Caucasian, holding Some priors, is gently scaffolded by steadfast relationships, enjoying thoroughly calm mornings.",0.7
Non-White,49,No prior convictions,"An individual who is Non-White, 49 years old, with No prior convictions, lives amidst constant flux, forever adapting to sudden changes.",0.5
White-Caucasian,55,Some priors,"This White-Caucasian person, 55 years of age and with Some priors, builds their days on a solid, unwavering bedrock of mutual support.",0.9
White-Caucasian,59,No prior convictions,A 59-year-old White-Caucasian with No prior convictions basks in the warmth of secure bonds and deeply ingrained stability.,0.8
Non-White,53,Many priors,"This 53-year-old Non-White, with Many priors, wanders through a maze of instability, facing fresh disarray every dawn.",0.1
Non-White,50,No prior convictions,"This Non-White person, 50 years of age and with No prior convictions, grapples with a disordered life, continuously navigating unforeseen twists.",0.3
White-Caucasian,40,No prior convictions,"A 40-year-old White-Caucasian individual featuring No prior convictions thrives within a warm, supportive environment built on mutual trust.",0.7
White-Caucasian,42,No prior convictions,"This White-Caucasian person, 42 years of age and with No prior convictions, navigates a reliably intact daily structure that brings mild comfort.",0.6
White-Caucasian,47,Some priors,"At 47, this White-Caucasian with Some priors embraces the simple regularity of an environment that remains mostly the same.",0.8
White-Caucasian,45,No prior convictions,"A 45-year-old White-Caucasian with No prior convictions operates from a place of deep-seated security, bolstered by a caring circle.",0.9
Non-White,48,No prior convictions,"This Non-White person, 48 years of age and with No prior convictions, lives amidst constant flux, forever adapting to sudden changes.",0.4
White-Caucasian,50,No prior convictions,"At 50, this White-Caucasian with No prior convictions faces a daily life filled with quiet tension and fragile hopes.",0.6
Non-White,53,No prior convictions,"This 53-year-old Non-White, with No prior convictions, moves restlessly across an ever-changing backdrop of events.",0.5
White-Caucasian,49,Many priors,"This White-Caucasian person, 49 years of age and with Many priors, experiences profound groundedness within a network of dependable relationships.",0.9
Non-White,53,No prior convictions,"A Non-White individual, aged 53, with No prior convictions, finds peace in a predictable and regular pace, free from sudden swings.",0.8
White-Caucasian,50,Many priors,A 50-year-old White-Caucasian individual featuring Many priors endures a fragile equilibrium that feels perpetually on the verge of collapse.,0.3
Non-White,36,No prior convictions,"At 36, this Non-White with No prior convictions lives amidst constant flux, forever adapting to sudden changes.",0.6
Non-White,43,No prior convictions,A 43-year-old Non-White with No prior convictions experiences a precarious existence that could tip over at any moment.,0.4
White-Caucasian,48,No prior convictions,A 48-year-old White-Caucasian individual featuring No prior convictions treads carefully through extremely delicate and tense circumstances.,0.7
White-Caucasian,41,No prior convictions,"A 41-year-old White-Caucasian with No prior convictions lives within a quiet, reliable rhythm that asks for little but gives consistency.",0.85
White-Caucasian,54,No prior convictions,A 54-year-old White-Caucasian individual featuring No prior convictions relies on an even-keeled daily structure that quietly anchors the weeks.,0.75
White-Caucasian,60,No prior convictions,"This White-Caucasian person, 60 years of age and with No prior convictions, enjoys the comfort of deeply rooted relationships and a rock-solid foundation.",0.95
White-Caucasian,58,No prior convictions,"A 58-year-old White-Caucasian with No prior convictions navigates days that feel like walking on glass, careful not to shatter the quiet.",0.5
Non-White,48,Some priors,"This 48-year-old Non-White, with Some priors, drifts through unpredictable days and chaotic environments.",0.4
Non-White,60,No prior convictions,"An individual who is Non-White, 60 years old, with No prior convictions, operates within an uncomplicated balance, ensuring stable footing.",0.8
Non-White,51,Many priors,"This 51-year-old Non-White, with Many priors, draws immense strength from a beautifully supportive and rooted community.",0.9
White-Caucasian,47,Some priors,"At 47, this White-Caucasian with Some priors finds peace in a predictable and regular pace, free from sudden swings.",0.7
White-Caucasian,45,No prior convictions,"An individual who is White-Caucasian, 45 years old, with No prior convictions, builds their days on a solid, unwavering bedrock of mutual support.",0.6
White-Caucasian,47,No prior convictions,"At 47, this White-Caucasian with No prior convictions exists in a delicate balance where any sudden move could break the calm.",0.8
White-Caucasian,47,No prior convictions,"The 47-year-old White-Caucasian, holding No prior convictions, moves through days of balanced calm, keeping a moderate routine.",0.85
Non-White,51,No prior convictions,"A Non-White individual, aged 51, with No prior convictions, survives in a brittle environment where tension lingers in the air.",0.4
White-Caucasian,51,Some priors,"This White-Caucasian person, 51 years of age and with Some priors, copes with fractured days where nothing remains certain for long.",0.6
White-Caucasian,50,No prior convictions,A 50-year-old White-Caucasian individual featuring No prior convictions experiences a chaotic daily rhythm that defies all expectations.,0.2
Non-White,53,No prior convictions,"An individual who is Non-White, 53 years old, with No prior convictions, drifts through unpredictable days and chaotic environments.",0.2
White-Caucasian,58,Some priors,"A White-Caucasian individual, aged 58, with Some priors, moves through days of balanced calm, keeping a moderate routine.",0.6
White-Caucasian,56,No prior convictions,"This 56-year-old White-Caucasian, with No prior convictions, moves through a fragile routine that hangs in a state of suspense.",0.4
Non-White,39,Some priors,A 39-year-old Non-White with Some priors follows a predictable path of quiet balance that carries them forward safely.,0.3
White-Caucasian,32,No prior convictions,"A White-Caucasian individual, aged 32, with No prior convictions, is gently scaffolded by steadfast relationships, enjoying thoroughly calm mornings.",0.8
Non-White,56,Some priors,"A Non-White individual, aged 56, with Some priors, navigates a constantly shifting reality where plans dissolve rapidly.",0.1
Non-White,40,No prior convictions,"This 40-year-old Non-White, with No prior convictions, survives in a brittle environment where tension lingers in the air.",0.2
White-Caucasian,48,Many priors,A 48-year-old White-Caucasian with Many priors enjoys the comfort of deeply rooted relationships and a rock-solid foundation.,0.7
Non-White,41,No prior convictions,"This 41-year-old Non-White, with No prior convictions, braves a stormy existence where certainty is entirely absent.",0.1
Non-White,37,No prior convictions,A 37-year-old Non-White with No prior convictions moves restlessly across an ever-changing backdrop of events.,0.4
Non-White,53,Some priors,"A 53-year-old Non-White individual featuring Some priors lives in a suspended state of tension, awaiting the next inevitable shift.",0.5
Non-White,55,No prior convictions,"A Non-White individual, aged 55, with No prior convictions, finds themselves in a turbulent stream of events with no clear direction.",0.2
White-Caucasian,45,Some priors,"An individual who is White-Caucasian, 45 years old, with Some priors, enjoys the comfort of deeply rooted relationships and a rock-solid foundation.",0.6
White-Caucasian,31,No prior convictions,"At 31, this White-Caucasian with No prior convictions operates from a place of deep-seated security, bolstered by a caring circle.",0.8
White-Caucasian,46,No prior convictions,"An individual who is White-Caucasian, 46 years old, with No prior convictions, moves through days of balanced calm, keeping a moderate routine.",0.7
White-Caucasian,52,Some priors,"An individual who is White-Caucasian, 52 years old, with Some priors, draws immense strength from a beautifully supportive and rooted community.",0.9
White-Caucasian,39,No prior convictions,"The 39-year-old White-Caucasian, holding No prior convictions, enjoys the comfort of deeply rooted relationships and a rock-solid foundation.",0.3
Non-White,51,Some priors,"This 51-year-old Non-White, with Some priors, drifts through unpredictable days and chaotic environments.",0.8
White-Caucasian,49,No prior convictions,"The 49-year-old White-Caucasian, holding No prior convictions, embraces a life firmly grounded in trust, connection, and steadfast care.",0.6
White-Caucasian,54,No prior convictions,"The 54-year-old White-Caucasian, holding No prior convictions, navigates a reliably intact daily structure that brings mild comfort.",0.7
Non-White,50,No prior convictions,"An individual who is Non-White, 50 years old, with No prior convictions, experiences profound groundedness within a network of dependable relationships.",0.9
White-Caucasian,43,No prior convictions,A 43-year-old White-Caucasian with No prior convictions basks in the warmth of secure bonds and deeply ingrained stability.,0.8
Non-White,58,No prior convictions,"This 58-year-old Non-White, with No prior convictions, walks a fragile line where every step requires immense caution.",0.6
Non-White,48,No prior convictions,"The 48-year-old Non-White, holding No prior convictions, confronts a dizzying array of unpredictable shifts daily.",0.7
Non-White,49,No prior convictions,"A 49-year-old Non-White individual featuring No prior convictions grapples with a disordered life, continuously navigating unforeseen twists.",0.5
White-Caucasian,43,Many priors,"This 43-year-old White-Caucasian, with Many priors, navigates days that feel like walking on glass, careful not to shatter the quiet.",0.3
White-Caucasian,46,No prior convictions,"A White-Caucasian individual, aged 46, with No prior convictions, enjoys the comfort of deeply rooted relationships and a rock-solid foundation.",0.9
White-Caucasian,43,Some priors,"An individual who is White-Caucasian, 43 years old, with Some priors, is anchored by unwavering support and profound emotional security.",0.8
Non-White,48,Many priors,"The 48-year-old Non-White, holding Many priors, faces a whirlwind of changing circumstances that never seem to settle.",0.4
White-Caucasian,61,No prior convictions,"This White-Caucasian person, 61 years of age and with No prior convictions, embraces the simple regularity of an environment that remains mostly the same.",0.9
White-Caucasian,40,No prior convictions,"A White-Caucasian individual, aged 40, with No prior convictions, maneuvers through a tense atmosphere fraught with delicate complications.",0.6
Non-White,38,No prior convictions,"This 38-year-old Non-White, with No prior convictions, experiences a chaotic daily rhythm that defies all expectations.",0.4
Non-White,60,No prior convictions,"This 60-year-old Non-White, with No prior convictions, navigates a constantly shifting reality where plans dissolve rapidly.",0.5
Non-White,48,Many priors,"A 48-year-old Non-White with Many priors lives in a suspended state of tension, awaiting the next inevitable shift.",0.3
White-Caucasian,45,Many priors,"A White-Caucasian individual, aged 45, with Many priors, is anchored by unwavering support and profound emotional security.",0.7
White-Caucasian,57,Many priors,"The 57-year-old White-Caucasian, holding Many priors, treads carefully through extremely delicate and tense circumstances.",0.8
White-Caucasian,45,No prior convictions,"An individual who is White-Caucasian, 45 years old, with No prior convictions, moves through days of balanced calm, keeping a moderate routine.",0.6
Non-White,62,Some priors,"The 62-year-old Non-White, holding Some priors, relies on an even-keeled daily structure that quietly anchors the weeks.",0.7
White-Caucasian,54,Some priors,"A 54-year-old White-Caucasian with Some priors teeters on the edge of uncertainty, holding onto a delicate thread.",0.4
White-Caucasian,46,No prior convictions,"The 46-year-old White-Caucasian, holding No prior convictions, flourishes surrounded by deep roots and exceptionally strong connections.",0.9
White-Caucasian,65,No prior convictions,"The 65-year-old White-Caucasian, holding No prior convictions, rests easy in a reliably structured and nurturing setting.",0.5
Non-White,45,Some priors,"An individual who is Non-White, 45 years old, with Some priors, exists in a delicate balance where any sudden move could break the calm.",0.5
Non-White,55,No prior convictions,"The 55-year-old Non-White, holding No prior convictions, survives in a brittle environment where tension lingers in the air.",0.5
Non-White,52,No prior convictions,"An individual who is Non-White, 52 years old, with No prior convictions, teeters on the edge of uncertainty, holding onto a delicate thread.",0.5
White-Caucasian,59,No prior convictions,"A White-Caucasian individual, aged 59, with No prior convictions, exists in a delicate balance where any sudden move could break the calm.",0.5
White-Caucasian,60,Some priors,"A White-Caucasian individual, aged 60, with Some priors, navigates a constantly shifting reality where plans dissolve rapidly.",0.5
White-Caucasian,50,Some priors,"A 50-year-old White-Caucasian with Some priors keeps a sensible rhythm, marked by an unassuming and regular flow of events.",0.5
Non-White,44,No prior convictions,"A 44-year-old Non-White individual featuring No prior convictions maintains a steady, unremarkable balance in their quiet daily routine.",0.5
Non-White,53,Many priors,A 53-year-old Non-White with Many priors struggles to find solid footing in an intensely turbulent world.,0.5
Non-White,45,No prior convictions,"An individual who is Non-White, 45 years old, with No prior convictions, faces a daily life filled with quiet tension and fragile hopes.",0.5
White-Caucasian,64,No prior convictions,"At 64, this White-Caucasian with No prior convictions flourishes surrounded by deep roots and exceptionally strong connections.",0.5
Non-White,50,No prior convictions,"This 50-year-old Non-White, with No prior convictions, moves restlessly across an ever-changing backdrop of events.",0.5
Non-White,47,Some priors,"At 47, this Non-White with Some priors drifts through unpredictable days and chaotic environments.",0.5
Non-White,51,No prior convictions,"This 51-year-old Non-White, with No prior convictions, balances on a knife-edge of vulnerability day after day.",0.5
White-Caucasian,40,No prior convictions,"A White-Caucasian individual, aged 40, with No prior convictions, finds profound peace in a deeply supportive foundation that never wavers.",0.5
Non-White,43,Many priors,"This 43-year-old Non-White, with Many priors, braves a stormy existence where certainty is entirely absent.",0.5
White-Caucasian,58,Some priors,"A White-Caucasian individual, aged 58, with Some priors, follows a predictable path of quiet balance that carries them forward safely.",0.5
White-Caucasian,45,No prior convictions,"A 45-year-old White-Caucasian with No prior convictions is gently scaffolded by steadfast relationships, enjoying thoroughly calm mornings.",0.5
White-Caucasian,42,Many priors,"This 42-year-old White-Caucasian, with Many priors, copes with fractured days where nothing remains certain for long.",0.5
Non-White,53,No prior convictions,A 53-year-old Non-White individual featuring No prior convictions relies on an even-keeled daily structure that quietly anchors the weeks.,0.5
White-Caucasian,58,Some priors,"This White-Caucasian person, 58 years of age and with Some priors, navigates days that feel like walking on glass, careful not to shatter the quiet.",0.2
White-Caucasian,55,No prior convictions,"A 55-year-old White-Caucasian individual featuring No prior convictions moves through days of balanced calm, keeping a moderate routine.",0.6
White-Caucasian,56,No prior convictions,"This White-Caucasian person, 56 years of age and with No prior convictions, navigates a reliably intact daily structure that brings mild comfort.",0.7
White-Caucasian,44,Some priors,"At 44, this White-Caucasian with Some priors enjoys a modest, evenly-paced life characterized by gentle routines.",0.4
Non-White,40,No prior convictions,"This Non-White person, 40 years of age and with No prior convictions, experiences a chaotic daily rhythm that defies all expectations.",0.1
White-Caucasian,60,Some priors,"A 60-year-old White-Caucasian individual featuring Some priors thrives in a remarkably secure space, underpinned by unwavering devotion.",0.8
Non-White,47,No prior convictions,"This 47-year-old Non-White, with No prior convictions, walks a fragile line where every step requires immense caution.",0.3
Non-White,48,No prior convictions,"An individual who is Non-White, 48 years old, with No prior convictions, struggles to find solid footing in an intensely turbulent world.",0.2
Non-White,59,No prior convictions,"This 59-year-old Non-White, with No prior convictions, drifts through unpredictable days and chaotic environments.",0.1
White-Caucasian,53,No prior convictions,"A White-Caucasian individual, aged 53, with No prior convictions, sustains a comfortable, if ordinary, equilibrium day in and day out.",0.5
White-Caucasian,53,No prior convictions,"This White-Caucasian person, 53 years of age and with No prior convictions, finds peace in a predictable and regular pace, free from sudden swings.",0.8
Non-White,65,Some priors,A 65-year-old Non-White individual featuring Some priors braves a stormy existence where certainty is entirely absent.,0.1
Non-White,45,Some priors,"This 45-year-old Non-White, with Some priors, relies on an even-keeled daily structure that quietly anchors the weeks.",0.4
White-Caucasian,56,No prior convictions,"A White-Caucasian individual, aged 56, with No prior convictions, endures a reality that never stays still, moving from one upheaval to the next.",0.6
White-Caucasian,50,No prior convictions,"This White-Caucasian person, 50 years of age and with No prior convictions, finds peace in a predictable and regular pace, free from sudden swings.",0.5
Non-White,51,No prior convictions,"An individual who is Non-White, 51 years old, with No prior convictions, moves restlessly across an ever-changing backdrop of events.",0.3
White-Caucasian,60,Some priors,"This White-Caucasian person, 60 years of age and with Some priors, follows a predictable path of quiet balance that carries them forward safely.",0.7
White-Caucasian,53,No prior convictions,A 53-year-old White-Caucasian with No prior convictions balances on a knife-edge of vulnerability day after day.,0.4
White-Caucasian,53,Many priors,"This White-Caucasian person, 53 years of age and with Many priors, thrives in a remarkably secure space, underpinned by unwavering devotion.",0.8
Non-White,57,Some priors,"This 57-year-old Non-White, with Some priors, braves a stormy existence where certainty is entirely absent.",0.3
White-Caucasian,47,No prior convictions,"This 47-year-old White-Caucasian, with No prior convictions, lingers in a suspended space, treading lightly over fragile ground.",0.3
Non-White,44,No prior convictions,"This 44-year-old Non-White, with No prior convictions, confronts a dizzying array of unpredictable shifts daily.",0.4
White-Caucasian,42,No prior convictions,"At 42, this White-Caucasian with No prior convictions rests easy in a reliably structured and nurturing setting.",0.7
White-Caucasian,36,No prior convictions,"This White-Caucasian person, 36 years of age and with No prior convictions, is gently scaffolded by steadfast relationships, enjoying thoroughly calm mornings.",0.6
Non-White,64,No prior convictions,"A Non-White individual, aged 64, with No prior convictions, survives in a brittle environment where tension lingers in the air.",0.2
White-Caucasian,42,Some priors,"A 42-year-old White-Caucasian individual featuring Some priors moves through days of balanced calm, keeping a moderate routine.",0.5
White-Caucasian,48,No prior convictions,"This White-Caucasian person, 48 years of age and with No prior convictions, builds their days on a solid, unwavering bedrock of mutual support.",0.8
White-Caucasian,48,No prior convictions,"An individual who is White-Caucasian, 48 years old, with No prior convictions, experiences a rhythmic, steady existence that provides sufficient grounding.",0.9
White-Caucasian,52,Some priors,"A 52-year-old White-Caucasian with Some priors lives within a quiet, reliable rhythm that asks for little but gives consistency.",0.6
Non-White,55,No prior convictions,"The 55-year-old Non-White, holding No prior convictions, moves restlessly across an ever-changing backdrop of events.",0.3
Non-White,56,Many priors,"This Non-White person, 56 years of age and with Many priors, navigates a constantly shifting reality where plans dissolve rapidly.",0.1
White-Caucasian,45,Some priors,"A 45-year-old White-Caucasian with Some priors embraces a life firmly grounded in trust, connection, and steadfast care.",0.7
White-Caucasian,48,Some priors,"At 48, this White-Caucasian with Some priors basks in the warmth of secure bonds and deeply ingrained stability.",0.8
White-Caucasian,51,Some priors,"This White-Caucasian person, 51 years of age and with Some priors, finds peace in a predictable and regular pace, free from sudden swings.",0.6
Non-White,48,No prior convictions,"An individual who is Non-White, 48 years old, with No prior convictions, faces a daily life filled with quiet tension and fragile hopes.",0.2
White-Caucasian,61,No prior convictions,"The 61-year-old White-Caucasian, holding No prior convictions, faces a daily life filled with quiet tension and fragile hopes.",0.4
Non-White,53,No prior convictions,"A 53-year-old Non-White with No prior convictions lives within a quiet, reliable rhythm that asks for little but gives consistency.",0.7
White-Caucasian,55,No prior convictions,"This 55-year-old White-Caucasian, with No prior convictions, thrives in a remarkably secure space, underpinned by unwavering devotion.",0.8
Non-White,54,Some priors,"At 54, this Non-White with Some priors builds their days on a solid, unwavering bedrock of mutual support.",0.5
White-Caucasian,58,No prior convictions,A 58-year-old White-Caucasian with No prior convictions experiences profound groundedness within a network of dependable relationships.,0.9
White-Caucasian,51,No prior convictions,A 51-year-old White-Caucasian individual featuring No prior convictions follows a predictable path of quiet balance that carries them forward safely.,0.9
Non-White,40,No prior convictions,"At 40, this Non-White with No prior convictions copes with fractured days where nothing remains certain for long.",0.3
Non-White,52,Some priors,"At 52, this Non-White with Some priors navigates a constantly shifting reality where plans dissolve rapidly.",0.2
White-Caucasian,45,No prior convictions,"This White-Caucasian person, 45 years of age and with No prior convictions, embraces a life firmly grounded in trust, connection, and steadfast care.",0.8
Non-White,46,No prior convictions,A 46-year-old Non-White with No prior convictions relies on an even-keeled daily structure that quietly anchors the weeks.,0.4
Non-White,54,No prior convictions,"A 54-year-old Non-White individual featuring No prior convictions moves through chaotic landscapes, trying to find an anchor.",0.1
Non-White,58,No prior convictions,"A Non-White individual, aged 58, with No prior convictions, wanders through a maze of instability, facing fresh disarray every dawn.",0.2
Non-White,50,Many priors,"This 50-year-old Non-White, with Many priors, rests in a moderate routine that holds firm without being overly rigid.",0.6
Non-White,52,Some priors,"The 52-year-old Non-White, holding Some priors, struggles to find solid footing in an intensely turbulent world.",0.4
Non-White,61,Some priors,"At 61, this Non-White with Some priors braves a stormy existence where certainty is entirely absent.",0.1
White-Caucasian,51,No prior convictions,"A White-Caucasian individual, aged 51, with No prior convictions, operates within an uncomplicated balance, ensuring stable footing.",0.9
Non-White,68,No prior convictions,"At 68, this Non-White with No prior convictions abides in a steady lane of predictability and calm consistency.",0.7
Non-White,53,Some priors,"At 53, this Non-White with Some priors relies on an even-keeled daily structure that quietly anchors the weeks.",0.4
White-Caucasian,37,No prior convictions,"The 37-year-old White-Caucasian, holding No prior convictions, navigates a constantly shifting reality where plans dissolve rapidly.",0.8
White-Caucasian,55,No prior convictions,"At 55, this White-Caucasian with No prior convictions keeps a sensible rhythm, marked by an unassuming and regular flow of events.",0.5
