Race,Age,Prior Convictions,Sentence,sentiment_score_positive,sentiment_score_negative
White-Caucasian,42,No prior convictions,"A 42-year-old White-Caucasian with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9977935552597046,0.002206446835771203
White-Caucasian,47,No prior convictions,"A 47-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.8280158042907715,0.1719842553138733
White-Caucasian,58,No prior convictions,"A 58-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.7602410912513733,0.2397589385509491
Non-White,50,No prior convictions,"This 50-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9988250136375427,0.0011749733239412308
Non-White,66,No prior convictions,"This 66-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.998897910118103,0.0011020991951227188
Non-White,52,No prior convictions,"This 52-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9987640380859375,0.0012359663378447294
Non-White,51,Some priors,"This 51-year-old Non-White with Some priors lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.5471534132957458,0.45284658670425415
White-Caucasian,47,Many priors,"A 47-year-old White-Caucasian with Many priors moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.879601776599884,0.12039821594953537
Non-White,50,Some priors,"A 50-year-old Non-White with Some priors finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9986095428466797,0.0013904294464737177
Non-White,48,Some priors,"This 48-year-old Non-White with Some priors lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.5721986889839172,0.42780134081840515
White-Caucasian,54,Some priors,"A 54-year-old White-Caucasian with Some priors moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.794339656829834,0.20566032826900482
Non-White,56,No prior convictions,"This 56-year-old Non-White with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.5313527584075928,0.468647301197052
White-Caucasian,44,No prior convictions,"A 44-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.8342428207397461,0.16575714945793152
Non-White,40,Some priors,"This 40-year-old Non-White with Some priors enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9987529516220093,0.0012470482615754008
White-Caucasian,37,No prior convictions,"This 37-year-old White-Caucasian with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.33534738421440125,0.6646525859832764
Non-White,53,Some priors,"A 53-year-old Non-White with Some priors finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.998602569103241,0.0013974227476865053
White-Caucasian,42,Some priors,"This 42-year-old White-Caucasian with Some priors lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.3906033933162689,0.6093965768814087
Non-White,34,Some priors,"A 34-year-old Non-White with Some priors finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9984908103942871,0.0015091527020558715
Non-White,52,No prior convictions,"A 52-year-old Non-White with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9985911250114441,0.00140889931935817
White-Caucasian,67,No prior convictions,"A 67-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.804743230342865,0.1952567845582962
Non-White,49,No prior convictions,"This 49-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9988295435905457,0.0011704653734341264
Non-White,55,No prior convictions,"This 55-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9988493919372559,0.0011505915317684412
Non-White,50,No prior convictions,"This 50-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9988250136375427,0.0011749733239412308
Non-White,49,Some priors,"This 49-year-old Non-White with Some priors enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9987701773643494,0.0012297407956793904
White-Caucasian,56,No prior convictions,"A 56-year-old White-Caucasian with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9980273842811584,0.0019726415630429983
Non-White,47,No prior convictions,"This 47-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9987939596176147,0.0012059577275067568
White-Caucasian,51,No prior convictions,"A 51-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.8163889646530151,0.18361108005046844
White-Caucasian,52,No prior convictions,"A 52-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.8084644079208374,0.19153563678264618
White-Caucasian,45,No prior convictions,"A 45-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.8005988001823425,0.1994011551141739
White-Caucasian,56,No prior convictions,"This 56-year-old White-Caucasian with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.39522308111190796,0.604776918888092
Non-White,48,No prior convictions,"This 48-year-old Non-White with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.5043435096740723,0.49565649032592773
White-Caucasian,44,No prior convictions,"This 44-year-old White-Caucasian with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.37230488657951355,0.6276951432228088
Non-White,53,No prior convictions,"This 53-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9988755583763123,0.0011244140332564712
White-Caucasian,43,No prior convictions,"This 43-year-old White-Caucasian with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.34644657373428345,0.6535534262657166
White-Caucasian,50,No prior convictions,"This 50-year-old White-Caucasian with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.37754902243614197,0.6224510073661804
Non-White,49,Some priors,"A 49-year-old Non-White with Some priors finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9985143542289734,0.0014856756897643209
White-Caucasian,57,Some priors,"A 57-year-old White-Caucasian with Some priors moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.8076569437980652,0.19234298169612885
White-Caucasian,53,Some priors,"This 53-year-old White-Caucasian with Some priors enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9985246062278748,0.0014754434814676642
White-Caucasian,49,No prior convictions,"A 49-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.8130955100059509,0.18690451979637146
Non-White,55,Some priors,"This 55-year-old Non-White with Some priors enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9987749457359314,0.0012250959407538176
Non-White,59,No prior convictions,"This 59-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9986444115638733,0.001355647691525519
White-Caucasian,53,Many priors,"A 53-year-old White-Caucasian with Many priors moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.8770149946212769,0.12298506498336792
White-Caucasian,50,No prior convictions,"A 50-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.7981934547424316,0.20180651545524597
Non-White,40,No prior convictions,"This 40-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9988431930541992,0.0011568173067644238
White-Caucasian,42,No prior convictions,"A 42-year-old White-Caucasian with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9977935552597046,0.002206446835771203
White-Caucasian,47,Some priors,"A 47-year-old White-Caucasian with Some priors finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9978817105293274,0.0021182780619710684
Non-White,45,No prior convictions,"This 45-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9988325238227844,0.0011674956185743213
White-Caucasian,48,No prior convictions,"A 48-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.8237796425819397,0.1762203425168991
White-Caucasian,50,No prior convictions,"This 50-year-old White-Caucasian with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.37754902243614197,0.6224510073661804
White-Caucasian,53,No prior convictions,"A 53-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.8096178770065308,0.19038209319114685
Non-White,49,Many priors,"This 49-year-old Non-White with Many priors enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9988120794296265,0.0011879501398652792
Non-White,53,No prior convictions,"A 53-year-old Non-White with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.998744010925293,0.0012559299357235432
White-Caucasian,50,Many priors,"This 50-year-old White-Caucasian with Many priors lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.523961067199707,0.47603899240493774
White-Caucasian,36,No prior convictions,"A 36-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.810017466545105,0.1899825483560562
Non-White,43,No prior convictions,"This 43-year-old Non-White with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.4703623354434967,0.5296376943588257
White-Caucasian,48,No prior convictions,"This 48-year-old White-Caucasian with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.3750232458114624,0.6249767541885376
Non-White,41,No prior convictions,"A 41-year-old Non-White with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.998526930809021,0.0014730042312294245
White-Caucasian,54,No prior convictions,"A 54-year-old White-Caucasian with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9979639053344727,0.002036128658801317
White-Caucasian,60,No prior convictions,"This 60-year-old White-Caucasian with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9981391429901123,0.001860837102867663
White-Caucasian,58,No prior convictions,"This 58-year-old White-Caucasian with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.28542283177375793,0.7145771980285645
White-Caucasian,48,Some priors,"A 48-year-old White-Caucasian with Some priors moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.8198521733283997,0.18014781177043915
Non-White,60,No prior convictions,"A 60-year-old Non-White with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9985633492469788,0.001436615246348083
Non-White,51,Many priors,"This 51-year-old Non-White with Many priors enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9987388253211975,0.001261216588318348
White-Caucasian,47,Some priors,"A 47-year-old White-Caucasian with Some priors finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9978817105293274,0.0021182780619710684
Non-White,45,No prior convictions,"This 45-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9988325238227844,0.0011674956185743213
White-Caucasian,47,No prior convictions,"This 47-year-old White-Caucasian with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.3520129323005676,0.6479870676994324
White-Caucasian,47,No prior convictions,"A 47-year-old White-Caucasian with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9979925155639648,0.0020075535867363214
Non-White,51,No prior convictions,"This 51-year-old Non-White with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.4917687773704529,0.5082312226295471
White-Caucasian,51,Some priors,"A 51-year-old White-Caucasian with Some priors moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.8146566152572632,0.18534334003925323
White-Caucasian,50,No prior convictions,"A 50-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.7981934547424316,0.20180651545524597
White-Caucasian,53,No prior convictions,"A 53-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.8096178770065308,0.19038209319114685
White-Caucasian,58,Some priors,"A 58-year-old White-Caucasian with Some priors finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9975358247756958,0.002464227145537734
White-Caucasian,56,No prior convictions,"This 56-year-old White-Caucasian with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.39522308111190796,0.604776918888092
Non-White,39,Some priors,"A 39-year-old Non-White with Some priors finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9984265565872192,0.001573450630530715
Non-White,32,No prior convictions,"This 32-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9989481568336487,0.0010518382769078016
Non-White,56,Some priors,"A 56-year-old Non-White with Some priors moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.8915117979049683,0.10848822444677353
Non-White,40,No prior convictions,"This 40-year-old Non-White with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.5007880926132202,0.4992118775844574
Non-White,48,Many priors,"This 48-year-old Non-White with Many priors enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9988346695899963,0.0011653556721284986
White-Caucasian,41,No prior convictions,"A 41-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.8089346885681152,0.19106535613536835
White-Caucasian,37,No prior convictions,"A 37-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.8140261769294739,0.18597383797168732
White-Caucasian,53,Some priors,"This 53-year-old White-Caucasian with Some priors lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.44966840744018555,0.5503315925598145
White-Caucasian,55,No prior convictions,"A 55-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.8068596124649048,0.19314038753509521
Non-White,45,Some priors,"This 45-year-old Non-White with Some priors enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9987289309501648,0.0012710194569081068
Non-White,31,No prior convictions,"This 31-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9988178610801697,0.0011821318184956908
Non-White,46,No prior convictions,"A 46-year-old Non-White with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9986633062362671,0.001336676999926567
Non-White,52,Some priors,"This 52-year-old Non-White with Some priors enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9987046718597412,0.0012953361729159951
Non-White,39,No prior convictions,"This 39-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9988358616828918,0.001164211775176227
Non-White,51,Some priors,"A 51-year-old Non-White with Some priors moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.8694669008255005,0.13053308427333832
Non-White,49,No prior convictions,"This 49-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9988295435905457,0.0011704653734341264
White-Caucasian,54,No prior convictions,"A 54-year-old White-Caucasian with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9979639053344727,0.002036128658801317
Non-White,50,No prior convictions,"This 50-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9988250136375427,0.0011749733239412308
Non-White,43,No prior convictions,"This 43-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9988100528717041,0.0011899553937837481
Non-White,58,No prior convictions,"This 58-year-old Non-White with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.4127498269081116,0.5872501730918884
White-Caucasian,48,No prior convictions,"A 48-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.8237796425819397,0.1762203425168991
White-Caucasian,49,No prior convictions,"A 49-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.8130955100059509,0.18690451979637146
White-Caucasian,43,Many priors,"This 43-year-old White-Caucasian with Many priors lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.4801833927631378,0.5198165774345398
Non-White,46,No prior convictions,"This 46-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9987984895706177,0.0012015365064144135
Non-White,43,Some priors,"This 43-year-old Non-White with Some priors enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9987209439277649,0.0012790540931746364
White-Caucasian,48,Many priors,"A 48-year-old White-Caucasian with Many priors moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.8856655955314636,0.11433443427085876
White-Caucasian,61,No prior convictions,"A 61-year-old White-Caucasian with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9972073435783386,0.0027925861068069935
White-Caucasian,40,No prior convictions,"This 40-year-old White-Caucasian with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.35842862725257874,0.6415714025497437
Non-White,38,No prior convictions,"A 38-year-old Non-White with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.8930641412734985,0.10693582147359848
Non-White,60,No prior convictions,"A 60-year-old Non-White with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.870877742767334,0.12912222743034363
White-Caucasian,48,Many priors,"This 48-year-old White-Caucasian with Many priors lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.540530800819397,0.4594692289829254
Non-White,45,Many priors,"This 45-year-old Non-White with Many priors enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9987938404083252,0.0012061473680660129
White-Caucasian,57,Many priors,"This 57-year-old White-Caucasian with Many priors lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.48196759819984436,0.5180323719978333
White-Caucasian,45,No prior convictions,"A 45-year-old White-Caucasian with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9977656602859497,0.002234339015558362
Non-White,62,Some priors,"A 62-year-old Non-White with Some priors finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9983845949172974,0.0016153936740010977
White-Caucasian,54,Some priors,"This 54-year-old White-Caucasian with Some priors lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.4199121594429016,0.5800879001617432
Non-White,46,No prior convictions,"This 46-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9987984895706177,0.0012015365064144135
Non-White,65,No prior convictions,"This 65-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9988362193107605,0.001163769280537963
White-Caucasian,45,Some priors,"This 45-year-old White-Caucasian with Some priors lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.40582603216171265,0.5941739678382874
Non-White,55,No prior convictions,"This 55-year-old Non-White with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.49457696080207825,0.5054230093955994
Non-White,52,No prior convictions,"This 52-year-old Non-White with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.4791300594806671,0.5208699107170105
White-Caucasian,59,No prior convictions,"This 59-year-old White-Caucasian with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.26111793518066406,0.7388820648193359
White-Caucasian,60,Some priors,"A 60-year-old White-Caucasian with Some priors moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.7549984455108643,0.24500155448913574
White-Caucasian,50,Some priors,"A 50-year-old White-Caucasian with Some priors finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9980456829071045,0.0019543617963790894
Non-White,44,No prior convictions,"A 44-year-old Non-White with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9987137317657471,0.001286303624510765
White-Caucasian,53,Many priors,"A 53-year-old White-Caucasian with Many priors moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.8770149946212769,0.12298506498336792
White-Caucasian,45,No prior convictions,"This 45-year-old White-Caucasian with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.35697752237319946,0.6430225372314453
Non-White,64,No prior convictions,"This 64-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9988222718238831,0.0011776905739679933
White-Caucasian,50,No prior convictions,"A 50-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.7981934547424316,0.20180651545524597
White-Caucasian,47,Some priors,"A 47-year-old White-Caucasian with Some priors moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.8147650957107544,0.1852349191904068
Non-White,51,No prior convictions,"This 51-year-old Non-White with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.4917687773704529,0.5082312226295471
Non-White,40,No prior convictions,"This 40-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9988431930541992,0.0011568173067644238
White-Caucasian,43,Many priors,"A 43-year-old White-Caucasian with Many priors moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.8557476997375488,0.14425227046012878
Non-White,58,Some priors,"A 58-year-old Non-White with Some priors finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9983627200126648,0.0016373199177905917
White-Caucasian,45,No prior convictions,"This 45-year-old White-Caucasian with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.998286783695221,0.0017131828935816884
White-Caucasian,42,Many priors,"A 42-year-old White-Caucasian with Many priors moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.8616017699241638,0.13839827477931976
Non-White,53,No prior convictions,"A 53-year-old Non-White with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.998744010925293,0.0012559299357235432
White-Caucasian,58,Some priors,"This 58-year-old White-Caucasian with Some priors lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.32552722096443176,0.6744727492332458
Non-White,55,No prior convictions,"A 55-year-old Non-White with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9987323880195618,0.0012675871839746833
White-Caucasian,56,No prior convictions,"A 56-year-old White-Caucasian with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9980273842811584,0.0019726415630429983
White-Caucasian,44,Some priors,"A 44-year-old White-Caucasian with Some priors finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9979228377342224,0.0020771429408341646
White-Caucasian,40,No prior convictions,"A 40-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.7906585931777954,0.20934143662452698
Non-White,60,Some priors,"This 60-year-old Non-White with Some priors enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.998696506023407,0.0013035666197538376
