Race,Age,Prior Convictions,Sentence,sentiment_score_positive,sentiment_score_neutral,sentiment_score_negative
Non-White,49,Some priors,This 49-year-old Non-White with Some priors is grounded in a world where each day offers familiarity and steadfast ties.,0.3477790653705597,0.6375601887702942,0.01466076448559761
White-Caucasian,56,No prior convictions,"A 56-year-old White-Caucasian with No prior convictions finds a rhythm in days that repeat gently, like footsteps on familiar paths.",0.10051818192005157,0.8431766033172607,0.05630521848797798
White-Caucasian,47,No prior convictions,A White-Caucasian aged 47 with No prior convictions rests into a life of reassuring rhythms and dependable warmth.,0.30413731932640076,0.6758304834365845,0.020032178610563278
White-Caucasian,51,No prior convictions,"In the whirlwind of unpredictable days, a White-Caucasian aged 51 with No prior convictions tries to grasp at fleeting moments of calm.",0.0698796734213829,0.7523667812347412,0.1777535229921341
Non-White,52,No prior convictions,"In the whirlwind of unpredictable days, a Non-White aged 52 with No prior convictions tries to grasp at fleeting moments of calm.",0.08529330044984818,0.7572771310806274,0.1574295461177826
Non-White,45,No prior convictions,"At 45, this Non-White with No prior convictions wanders through a blur of changing streets and shifting plans, where nothing ever quite settles.",0.013755648396909237,0.3067019581794739,0.6795423626899719
White-Caucasian,56,No prior convictions,"A White-Caucasian, aged 56 with No prior convictions, stands at the edge of decisions, each day dangling in delicate balance.",0.03351388871669769,0.6080114245414734,0.3584747314453125
Non-White,48,No prior convictions,"A Non-White, aged 48 with No prior convictions, stands at the edge of decisions, each day dangling in delicate balance.",0.03266933187842369,0.6184120178222656,0.34891870617866516
Non-White,44,No prior convictions,"A Non-White, aged 44 with No prior convictions, stands at the edge of decisions, each day dangling in delicate balance.",0.03213512524962425,0.6150375604629517,0.3528273403644562
White-Caucasian,53,No prior convictions,This 53-year-old White-Caucasian with No prior convictions is grounded in a world where each day offers familiarity and steadfast ties.,0.16376841068267822,0.7684950828552246,0.06773646175861359
Non-White,43,No prior convictions,"This 43-year-old Non-White with No prior convictions moves through life as though walking a tightrope, where even the air feels fragile.",0.01344286184757948,0.23119717836380005,0.7553600072860718
Non-White,50,No prior convictions,"This 50-year-old Non-White with No prior convictions moves through life as though walking a tightrope, where even the air feels fragile.",0.013722223229706287,0.22222304344177246,0.7640547156333923
Non-White,49,Some priors,"A 49-year-old Non-White with Some priors finds a rhythm in days that repeat gently, like footsteps on familiar paths.",0.31940075755119324,0.6716674566268921,0.00893181562423706
Non-White,57,Some priors,"In the whirlwind of unpredictable days, a Non-White aged 57 with Some priors tries to grasp at fleeting moments of calm.",0.1142001822590828,0.8067110180854797,0.07908882200717926
White-Caucasian,53,Some priors,"At 53, the White-Caucasian with Some priors lives surrounded by the quiet embrace of a life well-anchored.",0.32451650500297546,0.6628658175468445,0.012617716565728188
Non-White,49,No prior convictions,"At 49, this Non-White with No prior convictions wanders through a blur of changing streets and shifting plans, where nothing ever quite settles.",0.019006501883268356,0.46053415536880493,0.5204592943191528
White-Caucasian,55,Some priors,This 55-year-old White-Caucasian with Some priors is grounded in a world where each day offers familiarity and steadfast ties.,0.33201393485069275,0.6533627510070801,0.014623362571001053
White-Caucasian,59,No prior convictions,"At 59, the White-Caucasian with No prior convictions lives surrounded by the quiet embrace of a life well-anchored.",0.22711098194122314,0.7462358474731445,0.026653209701180458
Non-White,53,Many priors,"At 53, this Non-White with Many priors wanders through a blur of changing streets and shifting plans, where nothing ever quite settles.",0.024348117411136627,0.5312005877494812,0.4444512724876404
Non-White,50,No prior convictions,"A 50-year-old Non-White with No prior convictions navigates disarrayed days, chasing clarity in a world that won’t hold still.",0.012837675400078297,0.2579481601715088,0.7292141318321228
White-Caucasian,40,No prior convictions,A White-Caucasian aged 40 with No prior convictions rests into a life of reassuring rhythms and dependable warmth.,0.29415640234947205,0.6847726106643677,0.021071041002869606
White-Caucasian,42,No prior convictions,"At 42, the White-Caucasian with No prior convictions dwells in a world of soft routines and manageable pace.",0.030966710299253464,0.6116976737976074,0.3573356568813324
White-Caucasian,47,Some priors,"A 47-year-old White-Caucasian with Some priors finds a rhythm in days that repeat gently, like footsteps on familiar paths.",0.2692105770111084,0.7225150465965271,0.008274398744106293
White-Caucasian,45,No prior convictions,This 45-year-old White-Caucasian with No prior convictions is grounded in a world where each day offers familiarity and steadfast ties.,0.0944739282131195,0.7348186373710632,0.17070743441581726
Non-White,48,No prior convictions,"A 48-year-old Non-White with No prior convictions navigates disarrayed days, chasing clarity in a world that won’t hold still.",0.01257628109306097,0.25731608271598816,0.7301076054573059
White-Caucasian,50,No prior convictions,"The life of a White-Caucasian aged 50 with No prior convictions seems suspended in a tense stillness, where the ground might shift without warning.",0.013936574570834637,0.5220581889152527,0.4640052318572998
Non-White,53,No prior convictions,"In the whirlwind of unpredictable days, a Non-White aged 53 with No prior convictions tries to grasp at fleeting moments of calm.",0.08292591571807861,0.7448013424873352,0.172272726893425
White-Caucasian,49,Many priors,"At 49, the White-Caucasian with Many priors lives surrounded by the quiet embrace of a life well-anchored.",0.33752739429473877,0.650536060333252,0.011936478316783905
Non-White,53,No prior convictions,"At 53, the Non-White with No prior convictions dwells in a world of soft routines and manageable pace.",0.027418337762355804,0.5773982405662537,0.39518341422080994
White-Caucasian,50,Many priors,"The life of a White-Caucasian aged 50 with Many priors seems suspended in a tense stillness, where the ground might shift without warning.",0.015325992368161678,0.5909350514411926,0.39373889565467834
Non-White,36,No prior convictions,"At 36, this Non-White with No prior convictions wanders through a blur of changing streets and shifting plans, where nothing ever quite settles.",0.019844356924295425,0.4352392852306366,0.5449163317680359
Non-White,43,No prior convictions,"A Non-White, aged 43 with No prior convictions, stands at the edge of decisions, each day dangling in delicate balance.",0.033641986548900604,0.6224557161331177,0.3439023196697235
White-Caucasian,48,No prior convictions,"The life of a White-Caucasian aged 48 with No prior convictions seems suspended in a tense stillness, where the ground might shift without warning.",0.012757968157529831,0.49081143736839294,0.4964306652545929
White-Caucasian,41,No prior convictions,"At 41, the White-Caucasian with No prior convictions dwells in a world of soft routines and manageable pace.",0.029949024319648743,0.5986448526382446,0.3714061379432678
White-Caucasian,54,No prior convictions,"This White-Caucasian, 54, with No prior convictions, lives among the quiet repetitions of a life balanced between change and calm.",0.05456753820180893,0.7901539206504822,0.1552785485982895
White-Caucasian,60,No prior convictions,"At 60, the White-Caucasian with No prior convictions lives surrounded by the quiet embrace of a life well-anchored.",0.2034483104944229,0.7608872056007385,0.035664480179548264
White-Caucasian,58,No prior convictions,"This 58-year-old White-Caucasian with No prior convictions moves through life as though walking a tightrope, where even the air feels fragile.",0.012006662786006927,0.2175763100385666,0.7704170942306519
Non-White,48,Some priors,"A 48-year-old Non-White with Some priors navigates disarrayed days, chasing clarity in a world that won’t hold still.",0.01862987130880356,0.3815402090549469,0.5998299717903137
Non-White,60,No prior convictions,"At 60, the Non-White with No prior convictions dwells in a world of soft routines and manageable pace.",0.027305467054247856,0.5925798416137695,0.3801146447658539
Non-White,51,Many priors,"At 51, the Non-White with Many priors lives surrounded by the quiet embrace of a life well-anchored.",0.444500207901001,0.5449416041374207,0.010558181442320347
White-Caucasian,47,Some priors,"At 47, the White-Caucasian with Some priors dwells in a world of soft routines and manageable pace.",0.048911817371845245,0.861149787902832,0.0899384543299675
White-Caucasian,45,No prior convictions,A White-Caucasian aged 45 with No prior convictions rests into a life of reassuring rhythms and dependable warmth.,0.2713858485221863,0.7029801607131958,0.02563398890197277
White-Caucasian,47,No prior convictions,"The life of a White-Caucasian aged 47 with No prior convictions seems suspended in a tense stillness, where the ground might shift without warning.",0.0120578333735466,0.48714661598205566,0.5007955431938171
White-Caucasian,47,No prior convictions,"At 47, the White-Caucasian with No prior convictions dwells in a world of soft routines and manageable pace.",0.024872269481420517,0.5679976344108582,0.40713006258010864
Non-White,51,No prior convictions,"This 51-year-old Non-White with No prior convictions moves through life as though walking a tightrope, where even the air feels fragile.",0.014638225547969341,0.25488966703414917,0.7304720878601074
White-Caucasian,51,Some priors,"A 51-year-old White-Caucasian with Some priors navigates disarrayed days, chasing clarity in a world that won’t hold still.",0.017575208097696304,0.4355209767818451,0.5469037890434265
White-Caucasian,50,No prior convictions,"At 50, this White-Caucasian with No prior convictions wanders through a blur of changing streets and shifting plans, where nothing ever quite settles.",0.018418584018945694,0.4182344377040863,0.5633469820022583
Non-White,53,No prior convictions,"A 53-year-old Non-White with No prior convictions navigates disarrayed days, chasing clarity in a world that won’t hold still.",0.012129219248890877,0.24342086911201477,0.7444499731063843
White-Caucasian,58,Some priors,"At 58, the White-Caucasian with Some priors dwells in a world of soft routines and manageable pace.",0.0491597056388855,0.8798544406890869,0.07098579406738281
White-Caucasian,56,No prior convictions,"This 56-year-old White-Caucasian with No prior convictions moves through life as though walking a tightrope, where even the air feels fragile.",0.011665615253150463,0.2172599881887436,0.7710743546485901
Non-White,39,Some priors,"A 39-year-old Non-White with Some priors finds a rhythm in days that repeat gently, like footsteps on familiar paths.",0.31900689005851746,0.672406017780304,0.00858709029853344
White-Caucasian,32,No prior convictions,A White-Caucasian aged 32 with No prior convictions rests into a life of reassuring rhythms and dependable warmth.,0.28277838230133057,0.6973876357078552,0.01983395405113697
Non-White,56,Some priors,"At 56, this Non-White with Some priors wanders through a blur of changing streets and shifting plans, where nothing ever quite settles.",0.022228538990020752,0.552252471446991,0.42551901936531067
Non-White,40,No prior convictions,"This 40-year-old Non-White with No prior convictions moves through life as though walking a tightrope, where even the air feels fragile.",0.013835273683071136,0.22788357734680176,0.7582811713218689
White-Caucasian,48,Many priors,This 48-year-old White-Caucasian with Many priors is grounded in a world where each day offers familiarity and steadfast ties.,0.4010336101055145,0.5863736867904663,0.01259266585111618
Non-White,41,No prior convictions,"In the whirlwind of unpredictable days, a Non-White aged 41 with No prior convictions tries to grasp at fleeting moments of calm.",0.08778118342161179,0.7450684309005737,0.1671503782272339
Non-White,37,No prior convictions,"At 37, this Non-White with No prior convictions wanders through a blur of changing streets and shifting plans, where nothing ever quite settles.",0.019165078178048134,0.438267320394516,0.5425676107406616
Non-White,53,Some priors,"The life of a Non-White aged 53 with Some priors seems suspended in a tense stillness, where the ground might shift without warning.",0.013812477700412273,0.5912033319473267,0.3949841856956482
Non-White,55,No prior convictions,"At 55, this Non-White with No prior convictions wanders through a blur of changing streets and shifting plans, where nothing ever quite settles.",0.01742345467209816,0.40715688467025757,0.5754197239875793
White-Caucasian,45,Some priors,This 45-year-old White-Caucasian with Some priors is grounded in a world where each day offers familiarity and steadfast ties.,0.31492486596107483,0.6699836254119873,0.01509149745106697
White-Caucasian,31,No prior convictions,This 31-year-old White-Caucasian with No prior convictions is grounded in a world where each day offers familiarity and steadfast ties.,0.17596274614334106,0.7744632363319397,0.049574047327041626
White-Caucasian,46,No prior convictions,"A 46-year-old White-Caucasian with No prior convictions finds a rhythm in days that repeat gently, like footsteps on familiar paths.",0.11092983186244965,0.8519805073738098,0.037089619785547256
White-Caucasian,52,Some priors,This 52-year-old White-Caucasian with Some priors is grounded in a world where each day offers familiarity and steadfast ties.,0.3558011054992676,0.6303657293319702,0.013833203352987766
White-Caucasian,39,No prior convictions,A White-Caucasian aged 39 with No prior convictions rests into a life of reassuring rhythms and dependable warmth.,0.30920225381851196,0.6711209416389465,0.019676774740219116
Non-White,51,Some priors,"At 51, this Non-White with Some priors wanders through a blur of changing streets and shifting plans, where nothing ever quite settles.",0.025238892063498497,0.6044867634773254,0.37027430534362793
White-Caucasian,49,No prior convictions,This 49-year-old White-Caucasian with No prior convictions is grounded in a world where each day offers familiarity and steadfast ties.,0.17883412539958954,0.7708153128623962,0.05035054683685303
White-Caucasian,54,No prior convictions,"This White-Caucasian, 54, with No prior convictions, lives among the quiet repetitions of a life balanced between change and calm.",0.05456753820180893,0.7901539206504822,0.1552785485982895
Non-White,50,No prior convictions,A Non-White aged 50 with No prior convictions rests into a life of reassuring rhythms and dependable warmth.,0.30258709192276,0.6753668189048767,0.0220460407435894
White-Caucasian,43,No prior convictions,A White-Caucasian aged 43 with No prior convictions rests into a life of reassuring rhythms and dependable warmth.,0.31716689467430115,0.6632528901100159,0.019580213353037834
Non-White,58,No prior convictions,"This 58-year-old Non-White with No prior convictions moves through life as though walking a tightrope, where even the air feels fragile.",0.012978721410036087,0.22146466374397278,0.7655566334724426
Non-White,48,No prior convictions,"In the whirlwind of unpredictable days, a Non-White aged 48 with No prior convictions tries to grasp at fleeting moments of calm.",0.09071066230535507,0.7514779567718506,0.15781135857105255
Non-White,49,No prior convictions,"A 49-year-old Non-White with No prior convictions navigates disarrayed days, chasing clarity in a world that won’t hold still.",0.013550073839724064,0.28013166785240173,0.706318199634552
White-Caucasian,43,Many priors,"The life of a White-Caucasian aged 43 with Many priors seems suspended in a tense stillness, where the ground might shift without warning.",0.014771835878491402,0.5862246155738831,0.3990035653114319
White-Caucasian,46,No prior convictions,A White-Caucasian aged 46 with No prior convictions rests into a life of reassuring rhythms and dependable warmth.,0.31053832173347473,0.6696306467056274,0.01983097568154335
White-Caucasian,43,Some priors,A White-Caucasian aged 43 with Some priors rests into a life of reassuring rhythms and dependable warmth.,0.3699611723423004,0.6162611246109009,0.0137777179479599
Non-White,48,Many priors,"At 48, this Non-White with Many priors wanders through a blur of changing streets and shifting plans, where nothing ever quite settles.",0.023941881954669952,0.5451502203941345,0.4309079051017761
White-Caucasian,61,No prior convictions,"This White-Caucasian, 61, with No prior convictions, lives among the quiet repetitions of a life balanced between change and calm.",0.060363028198480606,0.8192384839057922,0.12039849907159805
White-Caucasian,40,No prior convictions,"This 40-year-old White-Caucasian with No prior convictions moves through life as though walking a tightrope, where even the air feels fragile.",0.012777739204466343,0.22022400796413422,0.766998291015625
Non-White,38,No prior convictions,"At 38, this Non-White with No prior convictions wanders through a blur of changing streets and shifting plans, where nothing ever quite settles.",0.018633954226970673,0.4225914180278778,0.5587746500968933
Non-White,60,No prior convictions,"At 60, this Non-White with No prior convictions wanders through a blur of changing streets and shifting plans, where nothing ever quite settles.",0.01829914003610611,0.4129454493522644,0.5687554478645325
Non-White,48,Many priors,"A Non-White, aged 48 with Many priors, stands at the edge of decisions, each day dangling in delicate balance.",0.05937778204679489,0.8360676765441895,0.10455456376075745
White-Caucasian,45,Many priors,This 45-year-old White-Caucasian with Many priors is grounded in a world where each day offers familiarity and steadfast ties.,0.3774871230125427,0.6095283627510071,0.012984475120902061
White-Caucasian,57,Many priors,"The life of a White-Caucasian aged 57 with Many priors seems suspended in a tense stillness, where the ground might shift without warning.",0.014184786006808281,0.5707039833068848,0.4151111841201782
White-Caucasian,45,No prior convictions,"A 45-year-old White-Caucasian with No prior convictions finds a rhythm in days that repeat gently, like footsteps on familiar paths.",0.08372969180345535,0.8375517129898071,0.07871858775615692
Non-White,62,Some priors,"At 62, the Non-White with Some priors dwells in a world of soft routines and manageable pace.",0.06352736055850983,0.8610470294952393,0.07542557269334793
White-Caucasian,54,Some priors,"The life of a White-Caucasian aged 54 with Some priors seems suspended in a tense stillness, where the ground might shift without warning.",0.01310950331389904,0.5711681842803955,0.4157223403453827
White-Caucasian,46,No prior convictions,A White-Caucasian aged 46 with No prior convictions rests into a life of reassuring rhythms and dependable warmth.,0.31053832173347473,0.6696306467056274,0.01983097568154335
White-Caucasian,65,No prior convictions,"At 65, the White-Caucasian with No prior convictions lives surrounded by the quiet embrace of a life well-anchored.",0.22678767144680023,0.7460939884185791,0.02711830474436283
Non-White,45,Some priors,"The life of a Non-White aged 45 with Some priors seems suspended in a tense stillness, where the ground might shift without warning.",0.014999350532889366,0.6066270470619202,0.3783736228942871
Non-White,55,No prior convictions,"This 55-year-old Non-White with No prior convictions moves through life as though walking a tightrope, where even the air feels fragile.",0.013879189267754555,0.2297571748495102,0.7563636302947998
Non-White,52,No prior convictions,"This 52-year-old Non-White with No prior convictions moves through life as though walking a tightrope, where even the air feels fragile.",0.013860862702131271,0.24249504506587982,0.7436441779136658
White-Caucasian,59,No prior convictions,"This 59-year-old White-Caucasian with No prior convictions moves through life as though walking a tightrope, where even the air feels fragile.",0.013271396979689598,0.2456580549478531,0.741070568561554
White-Caucasian,60,Some priors,"At 60, this White-Caucasian with Some priors wanders through a blur of changing streets and shifting plans, where nothing ever quite settles.",0.025325894355773926,0.5952800512313843,0.3793940842151642
White-Caucasian,50,Some priors,"This White-Caucasian, 50, with Some priors, lives among the quiet repetitions of a life balanced between change and calm.",0.08935708552598953,0.8828393816947937,0.02780354581773281
Non-White,44,No prior convictions,"This Non-White, 44, with No prior convictions, lives among the quiet repetitions of a life balanced between change and calm.",0.03204531967639923,0.6594555377960205,0.30849918723106384
Non-White,53,Many priors,"In the whirlwind of unpredictable days, a Non-White aged 53 with Many priors tries to grasp at fleeting moments of calm.",0.11655201762914658,0.7949531674385071,0.08849477767944336
Non-White,45,No prior convictions,"This 45-year-old Non-White with No prior convictions moves through life as though walking a tightrope, where even the air feels fragile.",0.01168921310454607,0.1800529807806015,0.8082578182220459
White-Caucasian,64,No prior convictions,A White-Caucasian aged 64 with No prior convictions rests into a life of reassuring rhythms and dependable warmth.,0.286140114068985,0.6931424140930176,0.02071741595864296
Non-White,50,No prior convictions,"In the whirlwind of unpredictable days, a Non-White aged 50 with No prior convictions tries to grasp at fleeting moments of calm.",0.08838871866464615,0.7590627074241638,0.15254855155944824
Non-White,47,Some priors,"A 47-year-old Non-White with Some priors navigates disarrayed days, chasing clarity in a world that won’t hold still.",0.017752762883901596,0.37626728415489197,0.6059800386428833
Non-White,51,No prior convictions,"The life of a Non-White aged 51 with No prior convictions seems suspended in a tense stillness, where the ground might shift without warning.",0.01272336021065712,0.49551764130592346,0.4917590022087097
White-Caucasian,40,No prior convictions,"At 40, the White-Caucasian with No prior convictions lives surrounded by the quiet embrace of a life well-anchored.",0.2076856642961502,0.7561185956001282,0.03619571402668953
Non-White,43,Many priors,"In the whirlwind of unpredictable days, a Non-White aged 43 with Many priors tries to grasp at fleeting moments of calm.",0.12268538028001785,0.7944647073745728,0.08284995704889297
White-Caucasian,58,Some priors,"At 58, the White-Caucasian with Some priors dwells in a world of soft routines and manageable pace.",0.04915975406765938,0.8798547983169556,0.07098548859357834
White-Caucasian,45,No prior convictions,This 45-year-old White-Caucasian with No prior convictions is grounded in a world where each day offers familiarity and steadfast ties.,0.0944739282131195,0.7348186373710632,0.17070743441581726
White-Caucasian,42,Many priors,"In the whirlwind of unpredictable days, a White-Caucasian aged 42 with Many priors tries to grasp at fleeting moments of calm.",0.10087960958480835,0.8167855143547058,0.08233483135700226
