Race,Age,Prior Convictions,Sentence,sentiment_score_positive,sentiment_score_neutral,sentiment_score_negative
Non-White,55,No prior convictions,A 55-year-old Non-White with No prior convictions walks a path shaped by grounded rhythms and unseen turns.,0.025226151570677757,0.6704015731811523,0.30437228083610535
White-Caucasian,50,No prior convictions,"50 years old, White-Caucasian, bearing No prior convictions, living amid days that echo with grounded tones.",0.16351762413978577,0.7991502285003662,0.03733209893107414
Non-White,49,No prior convictions,"At 49, the Non-White with No prior convictions stands in a space suspended in grounded quiet.",0.02207031100988388,0.7049363255500793,0.2729933559894562
White-Caucasian,56,Some priors,"A life marked by balanced hues surrounds this White-Caucasian, aged 56, who has Some priors.",0.3579549789428711,0.6325523257255554,0.009492683224380016
White-Caucasian,47,Some priors,"A life marked by secure hues surrounds this White-Caucasian, aged 47, who has Some priors.",0.18337008357048035,0.8029482960700989,0.013681594282388687
White-Caucasian,51,No prior convictions,"A White-Caucasian, 51, with No prior convictions, drifts through a life that feels perpetually in flux.",0.018403062596917152,0.48145803809165955,0.5001389384269714
White-Caucasian,52,Many priors,"White-Caucasian, aged 52, with Many priors, inhabits a world subtly colored by unpredictable days.",0.043771278113126755,0.8845211863517761,0.0717075765132904
Non-White,45,Some priors,"A life marked by chaotic hues surrounds this Non-White, aged 45, who has Some priors.",0.009061557240784168,0.2673618197441101,0.7235766649246216
White-Caucasian,56,Many priors,A 56-year-old White-Caucasian with Many priors walks a path shaped by on edge rhythms and unseen turns.,0.023233095183968544,0.8513007164001465,0.12546619772911072
Non-White,48,Some priors,"48 years old, Non-White, bearing Some priors, living amid days that echo with unsteady tones.",0.07483499497175217,0.8571648001670837,0.0680001899600029
White-Caucasian,44,No prior convictions,"In delicate cycles of existence, a White-Caucasian, aged 44, carries No prior convictions like a whispered thread.",0.06810443103313446,0.7800349593162537,0.1518605798482895
Non-White,53,Many priors,"This 53-year-old Non-White, with Many priors, moves through a secure landscape, shaped by quiet moments and passing time.",0.11402170360088348,0.8727937936782837,0.013184436596930027
White-Caucasian,43,No prior convictions,"White-Caucasian, aged 43, with No prior convictions, inhabits a world subtly colored by delicate days.",0.04300270229578018,0.7754635810852051,0.18153372406959534
White-Caucasian,50,No prior convictions,"White-Caucasian, aged 50, with No prior convictions, inhabits a world subtly colored by tenuous days.",0.02476750686764717,0.5820842385292053,0.393148273229599
Non-White,49,No prior convictions,A 49-year-old Non-White with No prior convictions walks a path shaped by steady rhythms and unseen turns.,0.026265889406204224,0.6650436520576477,0.30869045853614807
White-Caucasian,57,Many priors,"A White-Caucasian, 57, with Many priors, drifts through a life that feels perpetually unpredictable.",0.03190866485238075,0.6612284779548645,0.30686280131340027
White-Caucasian,53,Some priors,"In supportive cycles of existence, a White-Caucasian, aged 53, carries Some priors like a whispered thread.",0.10057883709669113,0.8725471496582031,0.026874009519815445
Non-White,49,No prior convictions,"49 years old, Non-White, bearing No prior convictions, living amid days that echo with fragmented tones.",0.04363774135708809,0.6915284395217896,0.2648337781429291
Non-White,55,Many priors,"A Non-White, 55, with Many priors, drifts through a life that feels perpetually structured.",0.024017350748181343,0.570464551448822,0.405518114566803
White-Caucasian,59,No prior convictions,"At 59, the White-Caucasian with No prior convictions stands in a space suspended in comforting quiet.",0.03842058405280113,0.8487181663513184,0.11286129057407379
White-Caucasian,53,Many priors,"White-Caucasian, aged 53, with Many priors, inhabits a world subtly colored by ever-changing days.",0.08709537982940674,0.8958607316017151,0.01704392209649086
Non-White,50,No prior convictions,"A Non-White, 50, with No prior convictions, drifts through a life that feels perpetually ever-changing.",0.03225589171051979,0.6210543513298035,0.34668976068496704
White-Caucasian,40,No prior convictions,"White-Caucasian, aged 40, with No prior convictions, inhabits a world subtly colored by structured days.",0.025284556671977043,0.6494150161743164,0.3253004252910614
White-Caucasian,42,No prior convictions,"A White-Caucasian, 42, with No prior convictions, drifts through a life that feels perpetually calm.",0.14465507864952087,0.7689651846885681,0.086379773914814
White-Caucasian,47,No prior convictions,"This 47-year-old White-Caucasian, with No prior convictions, moves through a calm landscape, shaped by quiet moments and passing time.",0.12741054594516754,0.8547424077987671,0.017847048118710518
Non-White,45,No prior convictions,"Non-White, aged 45, with No prior convictions, inhabits a world subtly colored by grounded days.",0.023070719093084335,0.5444436073303223,0.4324856698513031
Non-White,48,No prior convictions,"In unpredictable cycles of existence, a Non-White, aged 48, carries No prior convictions like a whispered thread.",0.043527279049158096,0.6962127089500427,0.2602599859237671
White-Caucasian,50,Some priors,"50 years old, White-Caucasian, bearing Some priors, living amid days that echo with unsteady tones.",0.06734330207109451,0.8694698810577393,0.06318681687116623
White-Caucasian,53,No prior convictions,"This 53-year-old White-Caucasian, with No prior convictions, moves through a unpredictable landscape, shaped by quiet moments and passing time.",0.027554413303732872,0.8068300485610962,0.165615513920784
White-Caucasian,49,Many priors,"This White-Caucasian, aged 49, with Many priors, resides in a realm where each day unfolds in a secure pattern.",0.08589112758636475,0.8957197666168213,0.018389122560620308
Non-White,53,No prior convictions,"This 53-year-old Non-White, with No prior convictions, moves through a balanced landscape, shaped by quiet moments and passing time.",0.1029607281088829,0.8747310638427734,0.022308193147182465
White-Caucasian,50,No prior convictions,"In tenuous cycles of existence, a White-Caucasian, aged 50, carries No prior convictions like a whispered thread.",0.04971639811992645,0.7308476567268372,0.21943597495555878
White-Caucasian,36,No prior convictions,"A White-Caucasian, 36, with No prior convictions, drifts through a life that feels perpetually fragmented.",0.018011372536420822,0.41682207584381104,0.5651665925979614
Non-White,43,No prior convictions,"This Non-White, aged 43, with No prior convictions, resides in a realm where each day unfolds in a delicate pattern.",0.02414238266646862,0.5137898325920105,0.46206778287887573
White-Caucasian,48,Many priors,"A life marked by on edge hues surrounds this White-Caucasian, aged 48, who has Many priors.",0.02482517622411251,0.6395924687385559,0.33558231592178345
Non-White,41,No prior convictions,"At 41, the Non-White with No prior convictions stands in a space suspended in steady quiet.",0.03384596109390259,0.7781189680099487,0.18803511559963226
White-Caucasian,54,Many priors,"At 54, the White-Caucasian with Many priors stands in a space suspended in steady quiet.",0.05353967100381851,0.9204962849617004,0.025963976979255676
White-Caucasian,60,Some priors,"This White-Caucasian, aged 60, with Some priors, resides in a realm where each day unfolds in a grounded pattern.",0.04776844382286072,0.9186062812805176,0.033625245094299316
White-Caucasian,58,No prior convictions,"This White-Caucasian, aged 58, with No prior convictions, resides in a realm where each day unfolds in a delicate pattern.",0.0239572711288929,0.513765811920166,0.4622769057750702
Non-White,48,Some priors,"With Some priors, this 48-year-old Non-White navigates a world softly layered in fragmented textures.",0.05128876864910126,0.8558962941169739,0.09281495958566666
Non-White,60,No prior convictions,"Non-White, aged 60, with No prior convictions, inhabits a world subtly colored by calm days.",0.058115676045417786,0.7813155651092529,0.1605687290430069
Non-White,51,Many priors,"A life marked by comforting hues surrounds this Non-White, aged 51, who has Many priors.",0.5081409811973572,0.48336082696914673,0.008498177863657475
White-Caucasian,47,No prior convictions,"47 years old, White-Caucasian, bearing No prior convictions, living amid days that echo with balanced tones.",0.19221585988998413,0.7790296077728271,0.028754491358995438
Non-White,45,No prior convictions,"With No prior convictions, this 45-year-old Non-White navigates a world softly layered in secure textures.",0.02329315058887005,0.48638254404067993,0.49032434821128845
White-Caucasian,47,Some priors,A 47-year-old White-Caucasian with Some priors walks a path shaped by tenuous rhythms and unseen turns.,0.022664938122034073,0.8573961853981018,0.119938924908638
White-Caucasian,47,No prior convictions,A 47-year-old White-Caucasian with No prior convictions walks a path shaped by routine rhythms and unseen turns.,0.01571560464799404,0.549332320690155,0.4349520802497864
Non-White,51,Some priors,"At 51, the Non-White with Some priors stands in a space suspended in on edge quiet.",0.034262143075466156,0.9281216859817505,0.037616126239299774
White-Caucasian,51,No prior convictions,"In chaotic cycles of existence, a White-Caucasian, aged 51, carries No prior convictions like a whispered thread.",0.029030373319983482,0.6092153787612915,0.36175423860549927
White-Caucasian,50,Some priors,"With Some priors, this 50-year-old White-Caucasian navigates a world softly layered in unpredictable textures.",0.07126043736934662,0.8711538910865784,0.057585738599300385
White-Caucasian,53,No prior convictions,"53 years old, White-Caucasian, bearing No prior convictions, living amid days that echo with chaotic tones.",0.03948194533586502,0.6644179821014404,0.29610008001327515
White-Caucasian,58,No prior convictions,"In steady cycles of existence, a White-Caucasian, aged 58, carries No prior convictions like a whispered thread.",0.05561620742082596,0.7877468466758728,0.15663698315620422
White-Caucasian,56,Many priors,"A life marked by tenuous hues surrounds this White-Caucasian, aged 56, who has Many priors.",0.038222797214984894,0.7714049816131592,0.19037224352359772
Non-White,39,No prior convictions,"With No prior convictions, this 39-year-old Non-White navigates a world softly layered in routine textures.",0.028631657361984253,0.6299760937690735,0.34139230847358704
White-Caucasian,32,No prior convictions,A 32-year-old White-Caucasian with No prior convictions walks a path shaped by comforting rhythms and unseen turns.,0.027022115886211395,0.7481444478034973,0.2248334437608719
Non-White,56,No prior convictions,"In chaotic cycles of existence, a Non-White, aged 56, carries No prior convictions like a whispered thread.",0.02656588889658451,0.5987392067909241,0.37469497323036194
Non-White,40,No prior convictions,"40 years old, Non-White, bearing No prior convictions, living amid days that echo with unsteady tones.",0.06295687705278397,0.7332105040550232,0.20383258163928986
White-Caucasian,48,No prior convictions,"White-Caucasian, aged 48, with No prior convictions, inhabits a world subtly colored by secure days.",0.03364032134413719,0.7205116748809814,0.24584804475307465
White-Caucasian,41,No prior convictions,"This White-Caucasian, aged 41, with No prior convictions, resides in a realm where each day unfolds in a fragmented pattern.",0.015498101711273193,0.3490924537181854,0.635409414768219
White-Caucasian,37,Many priors,"A White-Caucasian, 37, with Many priors, drifts through a life that feels perpetually chaotic.",0.020990069955587387,0.46614742279052734,0.512862503528595
Non-White,53,Some priors,"In tenuous cycles of existence, a Non-White, aged 53, carries Some priors like a whispered thread.",0.048384424299001694,0.870930016040802,0.0806855708360672
White-Caucasian,55,Many priors,"With Many priors, this 55-year-old White-Caucasian navigates a world softly layered in fragmented textures.",0.07224519550800323,0.8548606038093567,0.07289418578147888
Non-White,45,No prior convictions,A 45-year-old Non-White with No prior convictions walks a path shaped by structured rhythms and unseen turns.,0.018003417178988457,0.5058640837669373,0.47613242268562317
White-Caucasian,31,Some priors,"A life marked by structured hues surrounds this White-Caucasian, aged 31, who has Some priors.",0.030722498893737793,0.8971863389015198,0.07209116965532303
Non-White,46,Many priors,"This 46-year-old Non-White, with Many priors, moves through a steady landscape, shaped by quiet moments and passing time.",0.07784135639667511,0.904361367225647,0.017797332257032394
White-Caucasian,52,Many priors,"White-Caucasian, aged 52, with Many priors, inhabits a world subtly colored by structured days.",0.049839120358228683,0.9199952483177185,0.030165618285536766
White-Caucasian,39,Many priors,"White-Caucasian, aged 39, with Many priors, inhabits a world subtly colored by grounded days.",0.06132442504167557,0.9107984900474548,0.027877088636159897
Non-White,51,No prior convictions,"At 51, the Non-White with No prior convictions stands in a space suspended in ever-changing quiet.",0.02821132354438305,0.7523231506347656,0.21946553885936737
Non-White,49,Some priors,"This 49-year-old Non-White, with Some priors, moves through a structured landscape, shaped by quiet moments and passing time.",0.06028101593255997,0.9216420650482178,0.018076946958899498
White-Caucasian,54,Many priors,"This 54-year-old White-Caucasian, with Many priors, moves through a routine landscape, shaped by quiet moments and passing time.",0.062421221286058426,0.9183232188224792,0.019255544990301132
Non-White,50,No prior convictions,"A Non-White, 50, with No prior convictions, drifts through a life that feels perpetually secure.",0.09025369584560394,0.7302550673484802,0.17949117720127106
White-Caucasian,43,Many priors,"In supportive cycles of existence, a White-Caucasian, aged 43, carries Many priors like a whispered thread.",0.15968959033489227,0.8170972466468811,0.023213177919387817
Non-White,58,No prior convictions,"This 58-year-old Non-White, with No prior convictions, moves through a delicate landscape, shaped by quiet moments and passing time.",0.04438275098800659,0.8740307688713074,0.08158645033836365
Non-White,48,No prior convictions,"A Non-White, 48, with No prior convictions, drifts through a life that feels perpetually fragmented.",0.015017641708254814,0.3556123375892639,0.6293699741363525
White-Caucasian,49,Some priors,"This 49-year-old White-Caucasian, with Some priors, moves through a chaotic landscape, shaped by quiet moments and passing time.",0.024816397577524185,0.8689150810241699,0.10626853257417679
White-Caucasian,43,Some priors,"This White-Caucasian, aged 43, with Some priors, resides in a realm where each day unfolds in a fragile pattern.",0.018947964534163475,0.5374543070793152,0.4435977637767792
White-Caucasian,46,No prior convictions,"White-Caucasian, aged 46, with No prior convictions, inhabits a world subtly colored by supportive days.",0.0719422698020935,0.813646674156189,0.11441107839345932
Non-White,43,Many priors,"Non-White, aged 43, with Many priors, inhabits a world subtly colored by supportive days.",0.384941428899765,0.6015978455543518,0.013460715301334858
Non-White,48,No prior convictions,"A life marked by fragmented hues surrounds this Non-White, aged 48, who has No prior convictions.",0.007931359112262726,0.2188391387462616,0.7732294797897339
White-Caucasian,61,No prior convictions,"This White-Caucasian, aged 61, with No prior convictions, resides in a realm where each day unfolds in a balanced pattern.",0.0491638258099556,0.7399488091468811,0.2108873724937439
White-Caucasian,40,Some priors,"A White-Caucasian, 40, with Some priors, drifts through a life that feels perpetually on edge.",0.02848026528954506,0.575359046459198,0.39616066217422485
Non-White,38,No prior convictions,"This 38-year-old Non-White, with No prior convictions, moves through a chaotic landscape, shaped by quiet moments and passing time.",0.018568456172943115,0.6749303936958313,0.3065011203289032
Non-White,60,No prior convictions,A 60-year-old Non-White with No prior convictions walks a path shaped by chaotic rhythms and unseen turns.,0.013677401468157768,0.40064868330955505,0.5856739282608032
Non-White,48,No prior convictions,"This Non-White, aged 48, with No prior convictions, resides in a realm where each day unfolds in a tenuous pattern.",0.014444981701672077,0.308125764131546,0.6774292588233948
White-Caucasian,45,Many priors,"This 45-year-old White-Caucasian, with Many priors, moves through a structured landscape, shaped by quiet moments and passing time.",0.06932986527681351,0.9137887358665466,0.01688145101070404
White-Caucasian,57,Some priors,"This 57-year-old White-Caucasian, with Some priors, moves through a tenuous landscape, shaped by quiet moments and passing time.",0.0520826056599617,0.9208620190620422,0.02705543115735054
White-Caucasian,45,Some priors,"A White-Caucasian, 45, with Some priors, drifts through a life that feels perpetually measured.",0.03165912255644798,0.6764562726020813,0.29188457131385803
Non-White,62,Many priors,"With Many priors, this 62-year-old Non-White navigates a world softly layered in measured textures.",0.1433992236852646,0.8327338099479675,0.023866955190896988
White-Caucasian,54,No prior convictions,"In on edge cycles of existence, a White-Caucasian, aged 54, carries No prior convictions like a whispered thread.",0.04483963921666145,0.6778032183647156,0.2773571312427521
Non-White,46,Some priors,"A life marked by secure hues surrounds this Non-White, aged 46, who has Some priors.",0.151357963681221,0.8285338878631592,0.020108141005039215
White-Caucasian,65,Some priors,"With Some priors, this 65-year-old White-Caucasian navigates a world softly layered in grounded textures.",0.20473359525203705,0.7802527546882629,0.015013625845313072
Non-White,45,Some priors,"45 years old, Non-White, bearing Some priors, living amid days that echo with on edge tones.",0.061225295066833496,0.7047847509384155,0.23398999869823456
Non-White,55,No prior convictions,"With No prior convictions, this 55-year-old Non-White navigates a world softly layered in tenuous textures.",0.014558232389390469,0.3707197308540344,0.6147220730781555
Non-White,52,Some priors,"This 52-year-old Non-White, with Some priors, moves through a on edge landscape, shaped by quiet moments and passing time.",0.05294478312134743,0.923794686794281,0.02326054684817791
White-Caucasian,59,Some priors,A 59-year-old White-Caucasian with Some priors walks a path shaped by unsteady rhythms and unseen turns.,0.024851704016327858,0.8719633221626282,0.10318496078252792
White-Caucasian,60,No prior convictions,A 60-year-old White-Caucasian with No prior convictions walks a path shaped by in flux rhythms and unseen turns.,0.018099963665008545,0.5430303812026978,0.4388696849346161
White-Caucasian,50,No prior convictions,"This 50-year-old White-Caucasian, with No prior convictions, moves through a calm landscape, shaped by quiet moments and passing time.",0.12253209203481674,0.8561263680458069,0.021341562271118164
Non-White,44,No prior convictions,"A life marked by routine hues surrounds this Non-White, aged 44, who has No prior convictions.",0.012927521951496601,0.3261004090309143,0.6609720587730408
Non-White,53,Some priors,"This Non-White, aged 53, with Some priors, resides in a realm where each day unfolds in a unpredictable pattern.",0.020873432978987694,0.6648207306861877,0.3143058121204376
Non-White,45,Some priors,"A Non-White, 45, with Some priors, drifts through a life that feels perpetually fragile.",0.016582272946834564,0.33586305379867554,0.6475547552108765
Non-White,64,No prior convictions,"A Non-White, 64, with No prior convictions, drifts through a life that feels perpetually grounded.",0.056215718388557434,0.7630757689476013,0.18070845305919647
Non-White,50,No prior convictions,"In fragmented cycles of existence, a Non-White, aged 50, carries No prior convictions like a whispered thread.",0.034515634179115295,0.6670365929603577,0.29844778776168823
White-Caucasian,47,Many priors,"With Many priors, this 47-year-old White-Caucasian navigates a world softly layered in in flux textures.",0.10376278311014175,0.8652586936950684,0.03097846545279026
Non-White,51,No prior convictions,"At 51, the Non-White with No prior convictions stands in a space suspended in delicate quiet.",0.03367401286959648,0.7458917498588562,0.22043421864509583
White-Caucasian,40,Many priors,"At 40, the White-Caucasian with Many priors stands in a space suspended in comforting quiet.",0.07853997498750687,0.8985303044319153,0.022929713129997253
White-Caucasian,43,Many priors,"A life marked by in flux hues surrounds this White-Caucasian, aged 43, who has Many priors.",0.03963840752840042,0.8481121063232422,0.11224953085184097
Non-White,58,No prior convictions,"A life marked by calm hues surrounds this Non-White, aged 58, who has No prior convictions.",0.10781391710042953,0.7347752451896667,0.15741083025932312
White-Caucasian,45,Some priors,"A life marked by structured hues surrounds this White-Caucasian, aged 45, who has Some priors.",0.028983522206544876,0.8338249921798706,0.13719145953655243
White-Caucasian,42,No prior convictions,"A life marked by unpredictable hues surrounds this White-Caucasian, aged 42, who has No prior convictions.",0.015134978108108044,0.4086180627346039,0.5762469172477722
Non-White,53,Some priors,"This 53-year-old Non-White, with Some priors, moves through a measured landscape, shaped by quiet moments and passing time.",0.056584667414426804,0.9183634519577026,0.025051912292838097
White-Caucasian,58,No prior convictions,"In unsteady cycles of existence, a White-Caucasian, aged 58, carries No prior convictions like a whispered thread.",0.05595581233501434,0.7769839763641357,0.1670602411031723
Non-White,55,No prior convictions,"With No prior convictions, this 55-year-old Non-White navigates a world softly layered in measured textures.",0.026478227227926254,0.5864095091819763,0.3871122896671295
White-Caucasian,56,Many priors,"At 56, the White-Caucasian with Many priors stands in a space suspended in balanced quiet.",0.0591563954949379,0.9183425903320312,0.022500967606902122
White-Caucasian,44,Many priors,"44 years old, White-Caucasian, bearing Many priors, living amid days that echo with balanced tones.",0.33940401673316956,0.6483504176139832,0.01224561594426632
White-Caucasian,40,Many priors,"This White-Caucasian, aged 40, with Many priors, resides in a realm where each day unfolds in a unpredictable pattern.",0.03334427252411842,0.7794443964958191,0.18721136450767517
White-Caucasian,60,No prior convictions,A 60-year-old White-Caucasian with No prior convictions walks a path shaped by supportive rhythms and unseen turns.,0.0698641836643219,0.8310132026672363,0.09912265092134476
Non-White,47,Some priors,"At 47, the Non-White with Some priors stands in a space suspended in unsteady quiet.",0.042490456253290176,0.909345269203186,0.04816432297229767
White-Caucasian,48,No prior convictions,"A White-Caucasian, 48, with No prior convictions, drifts through a life that feels perpetually chaotic.",0.01231830008327961,0.30043694376945496,0.6872447729110718
Non-White,59,No prior convictions,"A Non-White, 59, with No prior convictions, drifts through a life that feels perpetually fragmented.",0.014320294372737408,0.34758666157722473,0.6380929946899414
White-Caucasian,53,No prior convictions,"A White-Caucasian, 53, with No prior convictions, drifts through a life that feels perpetually routine.",0.022206122055649757,0.5115315914154053,0.4662623107433319
Non-White,53,No prior convictions,"In steady cycles of existence, a Non-White, aged 53, carries No prior convictions like a whispered thread.",0.058819785714149475,0.7953930497169495,0.14578720927238464
