Effect,Estimate,model,scenario,budget
Direct,0,textattack_bert_base_uncased_SST_2,s5,100
Indirect,0.020312435499615034,textattack_bert_base_uncased_SST_2,s5,100
Spurious,0,textattack_bert_base_uncased_SST_2,s5,100
Total,0,textattack_bert_base_uncased_SST_2,s5,200
Direct,0,textattack_bert_base_uncased_SST_2,s5,200
Indirect,0.004215543379740113,textattack_bert_base_uncased_SST_2,s5,200
Spurious,0,textattack_bert_base_uncased_SST_2,s5,200
Total,0,textattack_bert_base_uncased_SST_2,s5,400
Direct,0,textattack_bert_base_uncased_SST_2,s5,400
Indirect,0.018412785416881367,textattack_bert_base_uncased_SST_2,s5,400
Spurious,0,textattack_bert_base_uncased_SST_2,s5,400
Total,0,textattack_bert_base_uncased_SST_2,s5,600
Direct,0,textattack_bert_base_uncased_SST_2,s5,600
Indirect,0.009085517544847802,textattack_bert_base_uncased_SST_2,s5,600
Spurious,0,textattack_bert_base_uncased_SST_2,s5,600
Total,0,textattack_bert_base_uncased_SST_2,s5,800
Direct,0,textattack_bert_base_uncased_SST_2,s5,800
Indirect,0.009509609708824711,textattack_bert_base_uncased_SST_2,s5,800
Spurious,0,textattack_bert_base_uncased_SST_2,s5,800
Total,0,textattack_bert_base_uncased_SST_2,s6,100
Direct,0,textattack_bert_base_uncased_SST_2,s6,100
Indirect,0.026368122271859334,textattack_bert_base_uncased_SST_2,s6,100
Spurious,0,textattack_bert_base_uncased_SST_2,s6,100
Total,0,textattack_bert_base_uncased_SST_2,s6,200
Direct,0,textattack_bert_base_uncased_SST_2,s6,200
Indirect,0.02519041968540139,textattack_bert_base_uncased_SST_2,s6,200
Spurious,0,textattack_bert_base_uncased_SST_2,s6,200
Total,0,textattack_bert_base_uncased_SST_2,s6,400
Direct,0,textattack_bert_base_uncased_SST_2,s6,400
Indirect,0.004735934369662517,textattack_bert_base_uncased_SST_2,s6,400
Spurious,0.010864457194024516,textattack_bert_base_uncased_SST_2,s6,400
Total,0,textattack_bert_base_uncased_SST_2,s6,600
Direct,0,textattack_bert_base_uncased_SST_2,s6,600
Indirect,0,textattack_bert_base_uncased_SST_2,s6,600
Spurious,0.01570560979119866,textattack_bert_base_uncased_SST_2,s6,600
Total,0,textattack_bert_base_uncased_SST_2,s6,800
Direct,0,textattack_bert_base_uncased_SST_2,s6,800
Indirect,0,textattack_bert_base_uncased_SST_2,s6,800
Spurious,0.014518741235126373,textattack_bert_base_uncased_SST_2,s6,800
Total,0,textattack_bert_base_uncased_SST_2,s7,100
Direct,0,textattack_bert_base_uncased_SST_2,s7,100
Indirect,0.02523449979220153,textattack_bert_base_uncased_SST_2,s7,100
Spurious,0,textattack_bert_base_uncased_SST_2,s7,100
Total,0,textattack_bert_base_uncased_SST_2,s7,200
Direct,0,textattack_bert_base_uncased_SST_2,s7,200
Indirect,0,textattack_bert_base_uncased_SST_2,s7,200
Spurious,0,textattack_bert_base_uncased_SST_2,s7,200
Total,0,textattack_bert_base_uncased_SST_2,s7,400
Direct,0,textattack_bert_base_uncased_SST_2,s7,400
Indirect,0.008410618214055213,textattack_bert_base_uncased_SST_2,s7,400
Spurious,4.8218601359958116e-4,textattack_bert_base_uncased_SST_2,s7,400
Total,0,textattack_bert_base_uncased_SST_2,s7,600
Direct,0,textattack_bert_base_uncased_SST_2,s7,600
Indirect,0.003521249083086562,textattack_bert_base_uncased_SST_2,s7,600
Spurious,0,textattack_bert_base_uncased_SST_2,s7,600
Total,0,textattack_bert_base_uncased_SST_2,s7,800
Direct,0,textattack_bert_base_uncased_SST_2,s7,800
Indirect,0,textattack_bert_base_uncased_SST_2,s7,800
Spurious,0,textattack_bert_base_uncased_SST_2,s7,800
Total,0.024708522597136698,textattack_bert_base_uncased_SST_2,s8,100
Direct,0,textattack_bert_base_uncased_SST_2,s8,100
Indirect,0,textattack_bert_base_uncased_SST_2,s8,100
Spurious,0.016461414690638315,textattack_bert_base_uncased_SST_2,s8,100
Total,0,textattack_bert_base_uncased_SST_2,s8,200
Direct,0,textattack_bert_base_uncased_SST_2,s8,200
Indirect,0,textattack_bert_base_uncased_SST_2,s8,200
Spurious,0,textattack_bert_base_uncased_SST_2,s8,200
Total,0.055487689284021466,textattack_bert_base_uncased_SST_2,s8,400
Direct,0,textattack_bert_base_uncased_SST_2,s8,400
Indirect,0,textattack_bert_base_uncased_SST_2,s8,400
Spurious,0.008493724159579082,textattack_bert_base_uncased_SST_2,s8,400
Total,0.07541128588529926,textattack_bert_base_uncased_SST_2,s8,600
Direct,0.009330811320772443,textattack_bert_base_uncased_SST_2,s8,600
Indirect,0,textattack_bert_base_uncased_SST_2,s8,600
Spurious,0.009426520578764402,textattack_bert_base_uncased_SST_2,s8,600
Total,0.0682119293752282,textattack_bert_base_uncased_SST_2,s8,800
Direct,0,textattack_bert_base_uncased_SST_2,s8,800
Indirect,0,textattack_bert_base_uncased_SST_2,s8,800
Spurious,0.005532346164254549,textattack_bert_base_uncased_SST_2,s8,800
Total,0,textattack_bert_base_uncased_SST_2,s9,100
Direct,0,textattack_bert_base_uncased_SST_2,s9,100
Indirect,0.06233100682090612,textattack_bert_base_uncased_SST_2,s9,100
Spurious,0,textattack_bert_base_uncased_SST_2,s9,100
Total,0,textattack_bert_base_uncased_SST_2,s9,200
Direct,0,textattack_bert_base_uncased_SST_2,s9,200
Indirect,0.07033604271223741,textattack_bert_base_uncased_SST_2,s9,200
Spurious,0.003622201690844997,textattack_bert_base_uncased_SST_2,s9,200
Total,0,textattack_bert_base_uncased_SST_2,s9,400
Direct,0,textattack_bert_base_uncased_SST_2,s9,400
Indirect,0.056134659535916724,textattack_bert_base_uncased_SST_2,s9,400
Spurious,0.005763594196111148,textattack_bert_base_uncased_SST_2,s9,400
Total,0,textattack_bert_base_uncased_SST_2,s9,600
Direct,0,textattack_bert_base_uncased_SST_2,s9,600
Indirect,0.040623345027494324,textattack_bert_base_uncased_SST_2,s9,600
Spurious,0,textattack_bert_base_uncased_SST_2,s9,600
Total,0,textattack_bert_base_uncased_SST_2,s9,800
Direct,0,textattack_bert_base_uncased_SST_2,s9,800
Indirect,0.041198695729115976,textattack_bert_base_uncased_SST_2,s9,800
Spurious,0,textattack_bert_base_uncased_SST_2,s9,800
Total,0,textattack_bert_base_uncased_SST_2,s10,100
Direct,0,textattack_bert_base_uncased_SST_2,s10,100
Indirect,0,textattack_bert_base_uncased_SST_2,s10,100
Spurious,0,textattack_bert_base_uncased_SST_2,s10,100
Total,0.0027689677046364514,textattack_bert_base_uncased_SST_2,s10,200
Direct,0.0042412941490003585,textattack_bert_base_uncased_SST_2,s10,200
Indirect,0.004286826414789929,textattack_bert_base_uncased_SST_2,s10,200
Spurious,0,textattack_bert_base_uncased_SST_2,s10,200
Total,0,textattack_bert_base_uncased_SST_2,s10,400
Direct,0,textattack_bert_base_uncased_SST_2,s10,400
Indirect,0,textattack_bert_base_uncased_SST_2,s10,400
Spurious,8.3587318771644e-4,textattack_bert_base_uncased_SST_2,s10,400
Total,0.0014449296612438656,textattack_bert_base_uncased_SST_2,s10,600
Direct,0,textattack_bert_base_uncased_SST_2,s10,600
Indirect,0,textattack_bert_base_uncased_SST_2,s10,600
Spurious,9.713449214060619e-4,textattack_bert_base_uncased_SST_2,s10,600
Total,0.004333145177942493,textattack_bert_base_uncased_SST_2,s10,800
Direct,0,textattack_bert_base_uncased_SST_2,s10,800
Indirect,0,textattack_bert_base_uncased_SST_2,s10,800
Spurious,0.0069436033517098,textattack_bert_base_uncased_SST_2,s10,800
Total,0.012100271210074403,textattack_bert_base_uncased_SST_2,s11,100
Direct,0,textattack_bert_base_uncased_SST_2,s11,100
Indirect,0,textattack_bert_base_uncased_SST_2,s11,100
Spurious,0,textattack_bert_base_uncased_SST_2,s11,100
Total,0,textattack_bert_base_uncased_SST_2,s11,200
Direct,0,textattack_bert_base_uncased_SST_2,s11,200
Indirect,0,textattack_bert_base_uncased_SST_2,s11,200
Spurious,0.0055394847736627666,textattack_bert_base_uncased_SST_2,s11,200
Total,0.042080404877445646,textattack_bert_base_uncased_SST_2,s11,400
Direct,0,textattack_bert_base_uncased_SST_2,s11,400
Indirect,0,textattack_bert_base_uncased_SST_2,s11,400
Spurious,0.0026869991538604875,textattack_bert_base_uncased_SST_2,s11,400
Total,0.029619567060386227,textattack_bert_base_uncased_SST_2,s11,600
Direct,0,textattack_bert_base_uncased_SST_2,s11,600
Indirect,0,textattack_bert_base_uncased_SST_2,s11,600
Spurious,0,textattack_bert_base_uncased_SST_2,s11,600
Total,0.0315525864243955,textattack_bert_base_uncased_SST_2,s11,800
Direct,0,textattack_bert_base_uncased_SST_2,s11,800
Indirect,0,textattack_bert_base_uncased_SST_2,s11,800
Spurious,0.007997334997812756,textattack_bert_base_uncased_SST_2,s11,800
Total,0,textattack_bert_base_uncased_SST_2,s12,100
Direct,0,textattack_bert_base_uncased_SST_2,s12,100
Indirect,0,textattack_bert_base_uncased_SST_2,s12,100
Spurious,0.038604082528332945,textattack_bert_base_uncased_SST_2,s12,100
Total,0,textattack_bert_base_uncased_SST_2,s12,200
Direct,0,textattack_bert_base_uncased_SST_2,s12,200
Indirect,0,textattack_bert_base_uncased_SST_2,s12,200
Spurious,0.01666099410751733,textattack_bert_base_uncased_SST_2,s12,200
Total,0,textattack_bert_base_uncased_SST_2,s12,400
Direct,0,textattack_bert_base_uncased_SST_2,s12,400
Indirect,0.002702158486137393,textattack_bert_base_uncased_SST_2,s12,400
Spurious,0.004780036442950154,textattack_bert_base_uncased_SST_2,s12,400
Total,0,textattack_bert_base_uncased_SST_2,s12,600
Direct,0,textattack_bert_base_uncased_SST_2,s12,600
Indirect,0,textattack_bert_base_uncased_SST_2,s12,600
Spurious,0.0017522659208262516,textattack_bert_base_uncased_SST_2,s12,600
Total,0,textattack_bert_base_uncased_SST_2,s12,800
Direct,0,textattack_bert_base_uncased_SST_2,s12,800
Indirect,0,textattack_bert_base_uncased_SST_2,s12,800
Spurious,0.0022641572219517132,textattack_bert_base_uncased_SST_2,s12,800
Total,0,textattack_bert_base_uncased_SST_2,s13,100
Direct,0,textattack_bert_base_uncased_SST_2,s13,100
Indirect,0.021546295550274156,textattack_bert_base_uncased_SST_2,s13,100
Spurious,0.026721807698934584,textattack_bert_base_uncased_SST_2,s13,100
Total,0.028968849983235782,textattack_bert_base_uncased_SST_2,s13,200
Direct,0.016846504371222294,textattack_bert_base_uncased_SST_2,s13,200
Indirect,0,textattack_bert_base_uncased_SST_2,s13,200
Spurious,0.0020221926290467773,textattack_bert_base_uncased_SST_2,s13,200
Total,0,textattack_bert_base_uncased_SST_2,s13,400
Direct,0,textattack_bert_base_uncased_SST_2,s13,400
Indirect,0.03610879279579128,textattack_bert_base_uncased_SST_2,s13,400
Spurious,0,textattack_bert_base_uncased_SST_2,s13,400
Total,0,textattack_bert_base_uncased_SST_2,s13,600
Direct,0,textattack_bert_base_uncased_SST_2,s13,600
Indirect,0.04596853147736753,textattack_bert_base_uncased_SST_2,s13,600
Spurious,0,textattack_bert_base_uncased_SST_2,s13,600
Total,0,textattack_bert_base_uncased_SST_2,s13,800
Direct,0,textattack_bert_base_uncased_SST_2,s13,800
Indirect,0.03798032642062584,textattack_bert_base_uncased_SST_2,s13,800
Spurious,0.017587018167015606,textattack_bert_base_uncased_SST_2,s13,800
Total,0.38951358299702404,textattack_bert_base_uncased_SST_2,s14,100
Direct,0.2502321692968938,textattack_bert_base_uncased_SST_2,s14,100
Indirect,0,textattack_bert_base_uncased_SST_2,s14,100
Spurious,0.01096821152048842,textattack_bert_base_uncased_SST_2,s14,100
Total,0.3322412265231833,textattack_bert_base_uncased_SST_2,s14,200
Direct,0.3095957682202649,textattack_bert_base_uncased_SST_2,s14,200
Indirect,0,textattack_bert_base_uncased_SST_2,s14,200
Spurious,0,textattack_bert_base_uncased_SST_2,s14,200
Total,0.39440240467433985,textattack_bert_base_uncased_SST_2,s14,400
Direct,0.31964815285927467,textattack_bert_base_uncased_SST_2,s14,400
Indirect,0,textattack_bert_base_uncased_SST_2,s14,400
Spurious,0,textattack_bert_base_uncased_SST_2,s14,400
Total,0.3805707791476537,textattack_bert_base_uncased_SST_2,s14,600
Direct,0.29381523772610846,textattack_bert_base_uncased_SST_2,s14,600
Indirect,0,textattack_bert_base_uncased_SST_2,s14,600
Spurious,0,textattack_bert_base_uncased_SST_2,s14,600
Total,0.33348763712013796,textattack_bert_base_uncased_SST_2,s14,800
Direct,0.3058514743536366,textattack_bert_base_uncased_SST_2,s14,800
Indirect,0,textattack_bert_base_uncased_SST_2,s14,800
Spurious,0.014575734511373735,textattack_bert_base_uncased_SST_2,s14,800
