Gender,Age,Education,Employment,Sentence,sentiment_score
Female,43,High School Degree,Employed,"Living in a state of delicate suspension, this 43-year-old Female, Employed and possessing a High School Degree, balances on the edge of fleeting circumstances.",0.42
Male,49,High School Degree,Unemployed,"With a High School Degree, this 49-year-old Male is currently Unemployed, marking the days within a predictable, steady cadence of routine.",0.13
Male,53,No High School Degree,Unemployed,"Living in a state of delicate suspension, this 53-year-old Male, Unemployed and possessing a No High School Degree, balances on the edge of fleeting circumstances.",0.13
Female,48,High School Degree,Employed,"Living in a state of delicate suspension, this 48-year-old Female, Employed and possessing a High School Degree, balances on the edge of fleeting circumstances.",0.42
Female,54,No High School Degree,Employed,"With a No High School Degree, this 54-year-old Female is currently Employed, marking the days within a predictable, steady cadence of routine.",0.42
Male,39,No High School Degree,Employed,"A 39-year-old Male with a No High School Degree education and Employed status, navigating through a whirlwind of shifting plans and the constant hum of uncertainty.",0.42
Female,49,High School Degree,Unemployed,"Living in a state of delicate suspension, this 49-year-old Female, Unemployed and possessing a High School Degree, balances on the edge of fleeting circumstances.",0.42
Female,38,Master,Employed,"Living in a state of delicate suspension, this 38-year-old Female, Employed and possessing a Master, balances on the edge of fleeting circumstances.",0.42
Female,48,No High School Degree,Employed,"Living in a state of delicate suspension, this 48-year-old Female, Employed and possessing a No High School Degree, balances on the edge of fleeting circumstances.",0.42
Female,46,No High School Degree,Employed,"Anchored by a sense of deep security, this 46-year-old Female with a No High School Degree and Employed status experiences the quiet confidence of well-tended connections.",0.83
Female,41,High School Degree,Employed,"A 41-year-old Female with a High School Degree education and Employed status, navigating through a whirlwind of shifting plans and the constant hum of uncertainty.",0.42
Male,58,No High School Degree,Employed,"With a No High School Degree, this 58-year-old Male is currently Employed, marking the days within a predictable, steady cadence of routine.",0.42
Female,58,No High School Degree,Unemployed,"With a No High School Degree, this 58-year-old Female is currently Unemployed, marking the days within a predictable, steady cadence of routine.",0.13
Female,49,High School Degree,Employed,"A 49-year-old Female with a High School Degree education and Employed status, navigating through a whirlwind of shifting plans and the constant hum of uncertainty.",0.42
Male,43,No High School Degree,Employed,"With a No High School Degree, this 43-year-old Male is currently Employed, marking the days within a predictable, steady cadence of routine.",0.42
Female,44,No High School Degree,Unemployed,"A 44-year-old Female with a No High School Degree education and Unemployed status, navigating through a whirlwind of shifting plans and the constant hum of uncertainty.",0.13
Female,54,No High School Degree,Unemployed,"A 54-year-old Female with a No High School Degree education and Unemployed status, navigating through a whirlwind of shifting plans and the constant hum of uncertainty.",0.13
Male,55,No High School Degree,Employed,"Anchored by a sense of deep security, this 55-year-old Male with a No High School Degree and Employed status experiences the quiet confidence of well-tended connections.",0.83
Male,70,No High School Degree,Employed,"Anchored by a sense of deep security, this 70-year-old Male with a No High School Degree and Employed status experiences the quiet confidence of well-tended connections.",0.83
Male,55,No High School Degree,Employed,"Anchored by a sense of deep security, this 55-year-old Male with a No High School Degree and Employed status experiences the quiet confidence of well-tended connections.",0.83
Female,49,High School Degree,Unemployed,"Living in a state of delicate suspension, this 49-year-old Female, Unemployed and possessing a High School Degree, balances on the edge of fleeting circumstances.",0.42
Female,43,Degree,Employed,"A 43-year-old Female with a Degree education and Employed status, navigating through a whirlwind of shifting plans and the constant hum of uncertainty.",0.42
Male,52,High School Degree,Unemployed,"With a High School Degree, this 52-year-old Male is currently Unemployed, marking the days within a predictable, steady cadence of routine.",0.13
Female,48,High School Degree,Unemployed,"Living in a state of delicate suspension, this 48-year-old Female, Unemployed and possessing a High School Degree, balances on the edge of fleeting circumstances.",0.42
Male,51,High School Degree,Unemployed,"A 51-year-old Male with a High School Degree education and Unemployed status, navigating through a whirlwind of shifting plans and the constant hum of uncertainty.",0.42
Female,56,No High School Degree,Employed,"Living in a state of delicate suspension, this 56-year-old Female, Employed and possessing a No High School Degree, balances on the edge of fleeting circumstances.",0.42
Female,39,No High School Degree,Employed,"A 39-year-old Female with a No High School Degree education and Employed status, navigating through a whirlwind of shifting plans and the constant hum of uncertainty.",0.42
Female,44,High School Degree,Employed,"Anchored by a sense of deep security, this 44-year-old Female with a High School Degree and Employed status experiences the quiet confidence of well-tended connections.",0.83
Male,34,No High School Degree,Employed,"Living in a state of delicate suspension, this 34-year-old Male, Employed and possessing a No High School Degree, balances on the edge of fleeting circumstances.",0.42
Male,55,High School Degree,Unemployed,"With a High School Degree, this 55-year-old Male is currently Unemployed, marking the days within a predictable, steady cadence of routine.",0.13
Male,40,High School Degree,Unemployed,"Living in a state of delicate suspension, this 40-year-old Male, Unemployed and possessing a High School Degree, balances on the edge of fleeting circumstances.",0.42
Female,35,High School Degree,Unemployed,"With a High School Degree, this 35-year-old Female is currently Unemployed, marking the days within a predictable, steady cadence of routine.",0.13
Male,53,No High School Degree,Unemployed,"With a No High School Degree, this 53-year-old Male is currently Unemployed, marking the days within a predictable, steady cadence of routine.",0.13
Female,64,No High School Degree,Employed,"A 64-year-old Female with a No High School Degree education and Employed status, navigating through a whirlwind of shifting plans and the constant hum of uncertainty.",0.42
Male,54,No High School Degree,Employed,"Anchored by a sense of deep security, this 54-year-old Male with a No High School Degree and Employed status experiences the quiet confidence of well-tended connections.",0.83
Male,58,No High School Degree,Employed,"Anchored by a sense of deep security, this 58-year-old Male with a No High School Degree and Employed status experiences the quiet confidence of well-tended connections.",0.83
Male,54,No High School Degree,Unemployed,"Anchored by a sense of deep security, this 54-year-old Male with a No High School Degree and Unemployed status experiences the quiet confidence of well-tended connections.",0.83
Female,53,High School Degree,Unemployed,"Anchored by a sense of deep security, this 53-year-old Female with a High School Degree and Unemployed status experiences the quiet confidence of well-tended connections.",0.83
Male,57,No High School Degree,Unemployed,"With a No High School Degree, this 57-year-old Male is currently Unemployed, marking the days within a predictable, steady cadence of routine.",0.13
Male,52,No High School Degree,Employed,"Anchored by a sense of deep security, this 52-year-old Male with a No High School Degree and Employed status experiences the quiet confidence of well-tended connections.",0.83
Male,47,No High School Degree,Employed,"A 47-year-old Male with a No High School Degree education and Employed status, navigating through a whirlwind of shifting plans and the constant hum of uncertainty.",0.32
Female,49,No High School Degree,Unemployed,"A 49-year-old Female with a No High School Degree education and Unemployed status, navigating through a whirlwind of shifting plans and the constant hum of uncertainty.",0.13
Female,40,No High School Degree,Employed,"A 40-year-old Female with a No High School Degree education and Employed status, navigating through a whirlwind of shifting plans and the constant hum of uncertainty.",0.42
Male,55,No High School Degree,Unemployed,"Living in a state of delicate suspension, this 55-year-old Male, Unemployed and possessing a No High School Degree, balances on the edge of fleeting circumstances.",0.13
Female,47,No High School Degree,Unemployed,"Living in a state of delicate suspension, this 47-year-old Female, Unemployed and possessing a No High School Degree, balances on the edge of fleeting circumstances.",0.13
Female,42,No High School Degree,Unemployed,"Living in a state of delicate suspension, this 42-year-old Female, Unemployed and possessing a No High School Degree, balances on the edge of fleeting circumstances.",0.13
Male,57,No High School Degree,Employed,"Anchored by a sense of deep security, this 57-year-old Male with a No High School Degree and Employed status experiences the quiet confidence of well-tended connections.",0.83
Female,42,No High School Degree,Employed,"Living in a state of delicate suspension, this 42-year-old Female, Employed and possessing a No High School Degree, balances on the edge of fleeting circumstances.",0.22
Female,48,No High School Degree,Employed,"Living in a state of delicate suspension, this 48-year-old Female, Employed and possessing a No High School Degree, balances on the edge of fleeting circumstances.",0.42
Female,50,High School Degree,Employed,"With a High School Degree, this 50-year-old Female is currently Employed, marking the days within a predictable, steady cadence of routine.",0.42
Female,54,High School Degree,Employed,"A 54-year-old Female with a High School Degree education and Employed status, navigating through a whirlwind of shifting plans and the constant hum of uncertainty.",0.42
Male,56,High School Degree,Unemployed,"Anchored by a sense of deep security, this 56-year-old Male with a High School Degree and Unemployed status experiences the quiet confidence of well-tended connections.",0.83
Female,45,No High School Degree,Unemployed,"A 45-year-old Female with a No High School Degree education and Unemployed status, navigating through a whirlwind of shifting plans and the constant hum of uncertainty.",0.13
Male,60,High School Degree,Employed,"Anchored by a sense of deep security, this 60-year-old Male with a High School Degree and Employed status experiences the quiet confidence of well-tended connections.",0.83
Male,62,No High School Degree,Employed,"Anchored by a sense of deep security, this 62-year-old Male with a No High School Degree and Employed status experiences the quiet confidence of well-tended connections.",0.83
Female,50,Degree,Employed,"A 50-year-old Female with a Degree education and Employed status, navigating through a whirlwind of shifting plans and the constant hum of uncertainty.",0.42
Female,45,No High School Degree,Employed,"A 45-year-old Female with a No High School Degree education and Employed status, navigating through a whirlwind of shifting plans and the constant hum of uncertainty.",0.32
Male,43,No High School Degree,Unemployed,"Anchored by a sense of deep security, this 43-year-old Male with a No High School Degree and Unemployed status experiences the quiet confidence of well-tended connections.",0.83
Male,44,No High School Degree,Employed,"With a No High School Degree, this 44-year-old Male is currently Employed, marking the days within a predictable, steady cadence of routine.",0.42
Male,50,High School Degree,Employed,"With a High School Degree, this 50-year-old Male is currently Employed, marking the days within a predictable, steady cadence of routine.",0.42
Male,48,No High School Degree,Employed,"Anchored by a sense of deep security, this 48-year-old Male with a No High School Degree and Employed status experiences the quiet confidence of well-tended connections.",0.83
Female,44,No High School Degree,Unemployed,"A 44-year-old Female with a No High School Degree education and Unemployed status, navigating through a whirlwind of shifting plans and the constant hum of uncertainty.",0.13
Male,48,No High School Degree,Unemployed,"Living in a state of delicate suspension, this 48-year-old Male, Unemployed and possessing a No High School Degree, balances on the edge of fleeting circumstances.",0.13
Female,49,No High School Degree,Employed,"A 49-year-old Female with a No High School Degree education and Employed status, navigating through a whirlwind of shifting plans and the constant hum of uncertainty.",0.42
Male,53,Degree,Unemployed,"Anchored by a sense of deep security, this 53-year-old Male with a Degree and Unemployed status experiences the quiet confidence of well-tended connections.",0.83
Female,54,No High School Degree,Unemployed,"With a No High School Degree, this 54-year-old Female is currently Unemployed, marking the days within a predictable, steady cadence of routine.",0.13
Male,48,Degree,Unemployed,"Living in a state of delicate suspension, this 48-year-old Male, Unemployed and possessing a Degree, balances on the edge of fleeting circumstances.",0.42
Female,31,No High School Degree,Employed,"A 31-year-old Female with a No High School Degree education and Employed status, navigating through a whirlwind of shifting plans and the constant hum of uncertainty.",0.42
Female,41,No High School Degree,Unemployed,"Living in a state of delicate suspension, this 41-year-old Female, Unemployed and possessing a No High School Degree, balances on the edge of fleeting circumstances.",0.13
Male,47,No High School Degree,Unemployed,"Living in a state of delicate suspension, this 47-year-old Male, Unemployed and possessing a No High School Degree, balances on the edge of fleeting circumstances.",0.13
Male,43,No High School Degree,Unemployed,"With a No High School Degree, this 43-year-old Male is currently Unemployed, marking the days within a predictable, steady cadence of routine.",0.13
Male,55,No High School Degree,Unemployed,"With a No High School Degree, this 55-year-old Male is currently Unemployed, marking the days within a predictable, steady cadence of routine.",0.13
Male,64,No High School Degree,Unemployed,"Anchored by a sense of deep security, this 64-year-old Male with a No High School Degree and Unemployed status experiences the quiet confidence of well-tended connections.",0.83
Male,58,No High School Degree,Employed,"Living in a state of delicate suspension, this 58-year-old Male, Employed and possessing a No High School Degree, balances on the edge of fleeting circumstances.",0.42
Female,44,High School Degree,Unemployed,"A 44-year-old Female with a High School Degree education and Unemployed status, navigating through a whirlwind of shifting plans and the constant hum of uncertainty.",0.32
Female,62,No High School Degree,Unemployed,"With a No High School Degree, this 62-year-old Female is currently Unemployed, marking the days within a predictable, steady cadence of routine.",0.13
Female,53,PhD,Unemployed,"Anchored by a sense of deep security, this 53-year-old Female with a PhD and Unemployed status experiences the quiet confidence of well-tended connections.",0.83
Male,48,High School Degree,Employed,"With a High School Degree, this 48-year-old Male is currently Employed, marking the days within a predictable, steady cadence of routine.",0.42
Male,48,No High School Degree,Unemployed,"Anchored by a sense of deep security, this 48-year-old Male with a No High School Degree and Unemployed status experiences the quiet confidence of well-tended connections.",0.83
Male,47,No High School Degree,Unemployed,"Living in a state of delicate suspension, this 47-year-old Male, Unemployed and possessing a No High School Degree, balances on the edge of fleeting circumstances.",0.13
Male,47,No High School Degree,Employed,"With a No High School Degree, this 47-year-old Male is currently Employed, marking the days within a predictable, steady cadence of routine.",0.42
Female,50,No High School Degree,Unemployed,"Living in a state of delicate suspension, this 50-year-old Female, Unemployed and possessing a No High School Degree, balances on the edge of fleeting circumstances.",0.13
Male,46,High School Degree,Unemployed,"A 46-year-old Male with a High School Degree education and Unemployed status, navigating through a whirlwind of shifting plans and the constant hum of uncertainty.",0.32
Male,46,No High School Degree,Unemployed,"A 46-year-old Male with a No High School Degree education and Unemployed status, navigating through a whirlwind of shifting plans and the constant hum of uncertainty.",0.13
Female,48,No High School Degree,Employed,"A 48-year-old Female with a No High School Degree education and Employed status, navigating through a whirlwind of shifting plans and the constant hum of uncertainty.",0.42
Male,59,High School Degree,Employed,"With a High School Degree, this 59-year-old Male is currently Employed, marking the days within a predictable, steady cadence of routine.",0.42
Male,54,No High School Degree,Unemployed,"Living in a state of delicate suspension, this 54-year-old Male, Unemployed and possessing a No High School Degree, balances on the edge of fleeting circumstances.",0.13
Female,39,High School Degree,Employed,"With a High School Degree, this 39-year-old Female is currently Employed, marking the days within a predictable, steady cadence of routine.",0.42
Male,36,No High School Degree,Unemployed,"Anchored by a sense of deep security, this 36-year-old Male with a No High School Degree and Unemployed status experiences the quiet confidence of well-tended connections.",0.83
Female,54,High School Degree,Employed,"A 54-year-old Female with a High School Degree education and Employed status, navigating through a whirlwind of shifting plans and the constant hum of uncertainty.",0.42
Female,39,No High School Degree,Unemployed,"Living in a state of delicate suspension, this 39-year-old Female, Unemployed and possessing a No High School Degree, balances on the edge of fleeting circumstances.",0.13
Male,50,Degree,Employed,"Anchored by a sense of deep security, this 50-year-old Male with a Degree and Employed status experiences the quiet confidence of well-tended connections.",0.83
Female,39,No High School Degree,Unemployed,"A 39-year-old Female with a No High School Degree education and Unemployed status, navigating through a whirlwind of shifting plans and the constant hum of uncertainty.",0.13
Female,33,No High School Degree,Employed,"A 33-year-old Female with a No High School Degree education and Employed status, navigating through a whirlwind of shifting plans and the constant hum of uncertainty.",0.42
Female,51,High School Degree,Employed,"Living in a state of delicate suspension, this 51-year-old Female, Employed and possessing a High School Degree, balances on the edge of fleeting circumstances.",0.42
Female,51,No High School Degree,Employed,"A 51-year-old Female with a No High School Degree education and Employed status, navigating through a whirlwind of shifting plans and the constant hum of uncertainty.",0.42
Male,50,High School Degree,Employed,"Anchored by a sense of deep security, this 50-year-old Male with a High School Degree and Employed status experiences the quiet confidence of well-tended connections.",0.83
Male,34,No High School Degree,Unemployed,"Anchored by a sense of deep security, this 34-year-old Male with a No High School Degree and Unemployed status experiences the quiet confidence of well-tended connections.",0.83
Male,47,No High School Degree,Unemployed,"With a No High School Degree, this 47-year-old Male is currently Unemployed, marking the days within a predictable, steady cadence of routine.",0.13
Male,56,High School Degree,Employed,"Anchored by a sense of deep security, this 56-year-old Male with a High School Degree and Employed status experiences the quiet confidence of well-tended connections.",0.83
Male,42,No High School Degree,Unemployed,"Anchored by a sense of deep security, this 42-year-old Male with a No High School Degree and Unemployed status experiences the quiet confidence of well-tended connections.",0.83
Female,48,High School Degree,Employed,"A 48-year-old Female with a High School Degree education and Employed status, navigating through a whirlwind of shifting plans and the constant hum of uncertainty.",0.42
Male,53,No High School Degree,Unemployed,"Anchored by a sense of deep security, this 53-year-old Male with a No High School Degree and Unemployed status experiences the quiet confidence of well-tended connections.",0.83
Male,54,No High School Degree,Unemployed,"With a No High School Degree, this 54-year-old Male is currently Unemployed, marking the days within a predictable, steady cadence of routine.",0.13
Female,53,No High School Degree,Unemployed,"Anchored by a sense of deep security, this 53-year-old Female with a No High School Degree and Unemployed status experiences the quiet confidence of well-tended connections.",0.83
Male,47,No High School Degree,Employed,"Anchored by a sense of deep security, this 47-year-old Male with a No High School Degree and Employed status experiences the quiet confidence of well-tended connections.",0.83
Female,56,No High School Degree,Unemployed,"Living in a state of delicate suspension, this 56-year-old Female, Unemployed and possessing a No High School Degree, balances on the edge of fleeting circumstances.",0.13
Female,44,No High School Degree,Employed,"A 44-year-old Female with a No High School Degree education and Employed status, navigating through a whirlwind of shifting plans and the constant hum of uncertainty.",0.32
Female,47,No High School Degree,Unemployed,"A 47-year-old Female with a No High School Degree education and Unemployed status, navigating through a whirlwind of shifting plans and the constant hum of uncertainty.",0.13
Male,42,Master,Employed,"Living in a state of delicate suspension, this 42-year-old Male, Employed and possessing a Master, balances on the edge of fleeting circumstances.",0.42
Male,50,No High School Degree,Unemployed,"Anchored by a sense of deep security, this 50-year-old Male with a No High School Degree and Unemployed status experiences the quiet confidence of well-tended connections.",0.83
Male,47,High School Degree,Unemployed,"Anchored by a sense of deep security, this 47-year-old Male with a High School Degree and Unemployed status experiences the quiet confidence of well-tended connections.",0.83
Female,43,PhD,Unemployed,"A 43-year-old Female with a PhD education and Unemployed status, navigating through a whirlwind of shifting plans and the constant hum of uncertainty.",0.32
Male,62,No High School Degree,Employed,"With a No High School Degree, this 62-year-old Male is currently Employed, marking the days within a predictable, steady cadence of routine.",0.42
Male,39,No High School Degree,Unemployed,"Living in a state of delicate suspension, this 39-year-old Male, Unemployed and possessing a No High School Degree, balances on the edge of fleeting circumstances.",0.13
Female,35,No High School Degree,Employed,"A 35-year-old Female with a No High School Degree education and Employed status, navigating through a whirlwind of shifting plans and the constant hum of uncertainty.",0.42
Female,56,No High School Degree,Unemployed,"A 56-year-old Female with a No High School Degree education and Unemployed status, navigating through a whirlwind of shifting plans and the constant hum of uncertainty.",0.13
Female,46,Degree,Employed,"Living in a state of delicate suspension, this 46-year-old Female, Employed and possessing a Degree, balances on the edge of fleeting circumstances.",0.42
Male,49,PhD,Employed,"Anchored by a sense of deep security, this 49-year-old Male with a PhD and Employed status experiences the quiet confidence of well-tended connections.",0.83
Male,55,Degree,Unemployed,"Living in a state of delicate suspension, this 55-year-old Male, Unemployed and possessing a Degree, balances on the edge of fleeting circumstances.",0.42
Male,45,No High School Degree,Employed,"With a No High School Degree, this 45-year-old Male is currently Employed, marking the days within a predictable, steady cadence of routine.",0.42
Female,64,High School Degree,Employed,"With a High School Degree, this 64-year-old Female is currently Employed, marking the days within a predictable, steady cadence of routine.",0.42
Male,53,High School Degree,Employed,"Living in a state of delicate suspension, this 53-year-old Male, Employed and possessing a High School Degree, balances on the edge of fleeting circumstances.",0.42
Male,51,No High School Degree,Employed,"Anchored by a sense of deep security, this 51-year-old Male with a No High School Degree and Employed status experiences the quiet confidence of well-tended connections.",0.83
Male,69,No High School Degree,Unemployed,"Anchored by a sense of deep security, this 69-year-old Male with a No High School Degree and Unemployed status experiences the quiet confidence of well-tended connections.",0.83
Female,43,High School Degree,Unemployed,"Living in a state of delicate suspension, this 43-year-old Female, Unemployed and possessing a High School Degree, balances on the edge of fleeting circumstances.",0.22
Female,55,No High School Degree,Employed,"Living in a state of delicate suspension, this 55-year-old Female, Employed and possessing a No High School Degree, balances on the edge of fleeting circumstances.",0.42
Female,50,No High School Degree,Employed,"Living in a state of delicate suspension, this 50-year-old Female, Employed and possessing a No High School Degree, balances on the edge of fleeting circumstances.",0.42
Male,56,No High School Degree,Employed,"Living in a state of delicate suspension, this 56-year-old Male, Employed and possessing a No High School Degree, balances on the edge of fleeting circumstances.",0.42
Male,56,High School Degree,Employed,"A 56-year-old Male with a High School Degree education and Employed status, navigating through a whirlwind of shifting plans and the constant hum of uncertainty.",0.42
Male,51,High School Degree,Unemployed,"With a High School Degree, this 51-year-old Male is currently Unemployed, marking the days within a predictable, steady cadence of routine.",0.13
Female,44,No High School Degree,Unemployed,"With a No High School Degree, this 44-year-old Female is currently Unemployed, marking the days within a predictable, steady cadence of routine.",0.13
Female,48,Degree,Employed,"A 48-year-old Female with a Degree education and Employed status, navigating through a whirlwind of shifting plans and the constant hum of uncertainty.",0.42
Female,43,No High School Degree,Employed,"Living in a state of delicate suspension, this 43-year-old Female, Employed and possessing a No High School Degree, balances on the edge of fleeting circumstances.",0.22
Male,68,No High School Degree,Employed,"Anchored by a sense of deep security, this 68-year-old Male with a No High School Degree and Employed status experiences the quiet confidence of well-tended connections.",0.83
Female,48,No High School Degree,Unemployed,"A 48-year-old Female with a No High School Degree education and Unemployed status, navigating through a whirlwind of shifting plans and the constant hum of uncertainty.",0.13
Female,43,High School Degree,Unemployed,"A 43-year-old Female with a High School Degree education and Unemployed status, navigating through a whirlwind of shifting plans and the constant hum of uncertainty.",0.32
Female,51,No High School Degree,Employed,"Living in a state of delicate suspension, this 51-year-old Female, Employed and possessing a No High School Degree, balances on the edge of fleeting circumstances.",0.42
Male,45,No High School Degree,Employed,"Anchored by a sense of deep security, this 45-year-old Male with a No High School Degree and Employed status experiences the quiet confidence of well-tended connections.",0.83
Female,40,Degree,Unemployed,"A 40-year-old Female with a Degree education and Unemployed status, navigating through a whirlwind of shifting plans and the constant hum of uncertainty.",0.42
Male,60,High School Degree,Unemployed,"With a High School Degree, this 60-year-old Male is currently Unemployed, marking the days within a predictable, steady cadence of routine.",0.13
Male,48,No High School Degree,Employed,"Anchored by a sense of deep security, this 48-year-old Male with a No High School Degree and Employed status experiences the quiet confidence of well-tended connections.",0.83
Male,40,Master,Employed,"A 40-year-old Male with a Master education and Employed status, navigating through a whirlwind of shifting plans and the constant hum of uncertainty.",0.42
Female,56,No High School Degree,Employed,"With a No High School Degree, this 56-year-old Female is currently Employed, marking the days within a predictable, steady cadence of routine.",0.42
Male,56,High School Degree,Unemployed,"Living in a state of delicate suspension, this 56-year-old Male, Unemployed and possessing a High School Degree, balances on the edge of fleeting circumstances.",0.42
Male,56,No High School Degree,Employed,"With a No High School Degree, this 56-year-old Male is currently Employed, marking the days within a predictable, steady cadence of routine.",0.42
Male,58,No High School Degree,Employed,"With a No High School Degree, this 58-year-old Male is currently Employed, marking the days within a predictable, steady cadence of routine.",0.42
Male,45,High School Degree,Unemployed,"With a High School Degree, this 45-year-old Male is currently Unemployed, marking the days within a predictable, steady cadence of routine.",0.13
Female,35,No High School Degree,Employed,"A 35-year-old Female with a No High School Degree education and Employed status, navigating through a whirlwind of shifting plans and the constant hum of uncertainty.",0.42
Male,63,High School Degree,Unemployed,"Anchored by a sense of deep security, this 63-year-old Male with a High School Degree and Unemployed status experiences the quiet confidence of well-tended connections.",0.83
Female,45,No High School Degree,Employed,"Living in a state of delicate suspension, this 45-year-old Female, Employed and possessing a No High School Degree, balances on the edge of fleeting circumstances.",0.42
Female,45,No High School Degree,Employed,"A 45-year-old Female with a No High School Degree education and Employed status, navigating through a whirlwind of shifting plans and the constant hum of uncertainty.",0.32
Female,54,No High School Degree,Unemployed,"A 54-year-old Female with a No High School Degree education and Unemployed status, navigating through a whirlwind of shifting plans and the constant hum of uncertainty.",0.13
Male,54,No High School Degree,Employed,"With a No High School Degree, this 54-year-old Male is currently Employed, marking the days within a predictable, steady cadence of routine.",0.42
Male,54,No High School Degree,Unemployed,"With a No High School Degree, this 54-year-old Male is currently Unemployed, marking the days within a predictable, steady cadence of routine.",0.13
Female,60,High School Degree,Unemployed,"A 60-year-old Female with a High School Degree education and Unemployed status, navigating through a whirlwind of shifting plans and the constant hum of uncertainty.",0.42
Female,45,High School Degree,Employed,"With a High School Degree, this 45-year-old Female is currently Employed, marking the days within a predictable, steady cadence of routine.",0.42
Male,53,No High School Degree,Unemployed,"A 53-year-old Male with a No High School Degree education and Unemployed status, navigating through a whirlwind of shifting plans and the constant hum of uncertainty.",0.13
Male,51,No High School Degree,Employed,"With a No High School Degree, this 51-year-old Male is currently Employed, marking the days within a predictable, steady cadence of routine.",0.42
Female,48,No High School Degree,Unemployed,"A 48-year-old Female with a No High School Degree education and Unemployed status, navigating through a whirlwind of shifting plans and the constant hum of uncertainty.",0.13
Male,62,High School Degree,Employed,"With a High School Degree, this 62-year-old Male is currently Employed, marking the days within a predictable, steady cadence of routine.",0.42
Male,52,No High School Degree,Unemployed,"Living in a state of delicate suspension, this 52-year-old Male, Unemployed and possessing a No High School Degree, balances on the edge of fleeting circumstances.",0.13
Male,58,Master,Employed,"Anchored by a sense of deep security, this 58-year-old Male with a Master and Employed status experiences the quiet confidence of well-tended connections.",0.83
Female,53,High School Degree,Employed,"A 53-year-old Female with a High School Degree education and Employed status, navigating through a whirlwind of shifting plans and the constant hum of uncertainty.",0.42
Male,45,No High School Degree,Unemployed,"Living in a state of delicate suspension, this 45-year-old Male, Unemployed and possessing a No High School Degree, balances on the edge of fleeting circumstances.",0.13
Female,40,No High School Degree,Unemployed,"A 40-year-old Female with a No High School Degree education and Unemployed status, navigating through a whirlwind of shifting plans and the constant hum of uncertainty.",0.13
Male,46,No High School Degree,Employed,"Anchored by a sense of deep security, this 46-year-old Male with a No High School Degree and Employed status experiences the quiet confidence of well-tended connections.",0.83
Male,40,No High School Degree,Employed,"Anchored by a sense of deep security, this 40-year-old Male with a No High School Degree and Employed status experiences the quiet confidence of well-tended connections.",0.83
Female,61,No High School Degree,Unemployed,"Living in a state of delicate suspension, this 61-year-old Female, Unemployed and possessing a No High School Degree, balances on the edge of fleeting circumstances.",0.13
Male,43,High School Degree,Unemployed,"With a High School Degree, this 43-year-old Male is currently Unemployed, marking the days within a predictable, steady cadence of routine.",0.13
Male,51,No High School Degree,Employed,"Anchored by a sense of deep security, this 51-year-old Male with a No High School Degree and Employed status experiences the quiet confidence of well-tended connections.",0.83
Male,48,No High School Degree,Employed,"With a No High School Degree, this 48-year-old Male is currently Employed, marking the days within a predictable, steady cadence of routine.",0.42
Male,52,High School Degree,Employed,"With a High School Degree, this 52-year-old Male is currently Employed, marking the days within a predictable, steady cadence of routine.",0.42
