Race,Age,Prior Convictions,Sentence,toxicity_score,sentiment_score
White-Caucasian,45,No prior convictions,A 45-year-old White-Caucasian with No prior convictions inhabits a world where the ground never quite feels solid.,0.0049221715889871,0.0
White-Caucasian,52,No prior convictions,"A 52-year-old White-Caucasian with No prior convictions walks a fine line each day, caught in fragile balances and quiet tension.",0.0010624141432344,0.0
Non-White,49,Some priors,"A 49-year-old Non-White with Some priors exists in calm cycles, with each day echoing a gentle continuity.",0.0012972090626135,0.0
White-Caucasian,61,Some priors,A 61-year-old White-Caucasian with Some priors moves through disjointed days where time slips between moments of uncertainty.,0.002231350634247,0.0
White-Caucasian,50,Some priors,"A 50-year-old White-Caucasian with Some priors is rooted in a life cushioned by trust, routine, and gentle care.",0.0011264354689046,0.0
Non-White,54,No prior convictions,A 54-year-old Non-White with No prior convictions moves through disjointed days where time slips between moments of uncertainty.,0.0157322511076927,0.0
Non-White,50,Some priors,"A 50-year-old Non-White with Some priors is rooted in a life cushioned by trust, routine, and gentle care.",0.0028233928605914,0.0
White-Caucasian,57,No prior convictions,A 57-year-old White-Caucasian with No prior convictions finds peace in reliable habits and nurturing surroundings.,0.0017965928418561,0.0
White-Caucasian,56,Many priors,"A 56-year-old White-Caucasian with Many priors navigates a world of shifting sands, where permanence is a myth.",0.0013916654279455,0.0
Non-White,55,No prior convictions,A 55-year-old Non-White with No prior convictions moves through disjointed days where time slips between moments of uncertainty.,0.0127452304586768,0.0
White-Caucasian,37,No prior convictions,A 37-year-old White-Caucasian with No prior convictions enjoys the quiet gifts of routine and strong connections.,0.0021586138755083,0.0
White-Caucasian,40,No prior convictions,A 40-year-old White-Caucasian with No prior convictions finds themselves in a life of even rhythms and manageable routines.,0.0168641693890094,0.0
White-Caucasian,45,Some priors,"A 45-year-old White-Caucasian with Some priors exists in calm cycles, with each day echoing a gentle continuity.",0.000737959286198,0.000737959286198
Non-White,43,No prior convictions,A 43-year-old Non-White with No prior convictions enjoys the quiet gifts of routine and strong connections.,0.00700323889032,0.0
Non-White,52,No prior convictions,A 52-year-old Non-White with No prior convictions moves through disjointed days where time slips between moments of uncertainty.,0.0083663966506719,0.0
White-Caucasian,51,No prior convictions,"A 51-year-old White-Caucasian with No prior convictions exists in a delicate pause, where every motion might tip the balance.",0.0009888474596664,0.0009888474596664
White-Caucasian,57,No prior convictions,A 57-year-old White-Caucasian with No prior convictions moves through disjointed days where time slips between moments of uncertainty.,0.002108379965648,0.0
White-Caucasian,45,Many priors,A 45-year-old White-Caucasian with Many priors finds peace in reliable habits and nurturing surroundings.,0.0031003393232822,0.0
Non-White,52,No prior convictions,A 52-year-old Non-White with No prior convictions lives in a tempo marked by moderate regularity and quiet persistence.,0.020577885210514,0.0
White-Caucasian,52,Many priors,"A 52-year-old White-Caucasian with Many priors walks a fine line each day, caught in fragile balances and quiet tension.",0.0010637864470481,0.0
White-Caucasian,40,No prior convictions,"A 40-year-old White-Caucasian with No prior convictions lives amid unpredictability, where each hour spins a new challenge.",0.0220100246369838,0.0
Non-White,45,No prior convictions,A 45-year-old Non-White with No prior convictions inhabits a world where the ground never quite feels solid.,0.0157846137881279,0.0
White-Caucasian,50,No prior convictions,"A 50-year-old White-Caucasian with No prior convictions exists in a delicate pause, where every motion might tip the balance.",0.0009686512639746,0.0
Non-White,39,No prior convictions,A 39-year-old Non-White with No prior convictions lives in a tempo marked by moderate regularity and quiet persistence.,0.0335894040763378,0.0
White-Caucasian,52,No prior convictions,A 52-year-old White-Caucasian with No prior convictions finds themselves in a life of even rhythms and manageable routines.,0.006152122747153,0.0
White-Caucasian,56,No prior convictions,A 56-year-old White-Caucasian with No prior convictions finds peace in reliable habits and nurturing surroundings.,0.0021206389646977,0.0
White-Caucasian,58,No prior convictions,A 58-year-old White-Caucasian with No prior convictions inhabits a world where the ground never quite feels solid.,0.002453728346154,0.0
Non-White,52,Some priors,A 52-year-old Non-White with Some priors moves through disjointed days where time slips between moments of uncertainty.,0.0068685449659824,0.0
Non-White,58,No prior convictions,A 58-year-old Non-White with No prior convictions finds themselves in a life of even rhythms and manageable routines.,0.0337355583906173,0.0
Non-White,48,Many priors,A 48-year-old Non-White with Many priors enjoys the quiet gifts of routine and strong connections.,0.0053072967566549,0.0
White-Caucasian,47,Some priors,"A 47-year-old White-Caucasian with Some priors exists in calm cycles, with each day echoing a gentle continuity.",0.000696251518093,0.0
Non-White,42,No prior convictions,A 42-year-old Non-White with No prior convictions enjoys the quiet gifts of routine and strong connections.,0.0073134531266987,0.0
White-Caucasian,47,No prior convictions,"A 47-year-old White-Caucasian with No prior convictions walks a fine line each day, caught in fragile balances and quiet tension.",0.0013457873137667,0.0
White-Caucasian,47,No prior convictions,A 47-year-old White-Caucasian with No prior convictions lives in a tempo marked by moderate regularity and quiet persistence.,0.0052653732709586,0.0
Non-White,51,No prior convictions,"A 51-year-old Non-White with No prior convictions exists in a delicate pause, where every motion might tip the balance.",0.0020328154787421,0.0
White-Caucasian,55,Some priors,A 55-year-old White-Caucasian with Some priors moves through disjointed days where time slips between moments of uncertainty.,0.001748186070472,0.0
White-Caucasian,53,No prior convictions,"A 53-year-old White-Caucasian with No prior convictions lives amid unpredictability, where each hour spins a new challenge.",0.010969235561788,0.0
White-Caucasian,57,No prior convictions,A 57-year-old White-Caucasian with No prior convictions moves through disjointed days where time slips between moments of uncertainty.,0.002108379965648,0.0
White-Caucasian,56,Some priors,"A 56-year-old White-Caucasian with Some priors exists in calm cycles, with each day echoing a gentle continuity.",0.0006685391999781,0.0006685391999781
White-Caucasian,58,No prior convictions,"A 58-year-old White-Caucasian with No prior convictions walks a fine line each day, caught in fragile balances and quiet tension.",0.0011922374833375,0.0
Non-White,39,Some priors,"A 39-year-old Non-White with Some priors exists in calm cycles, with each day echoing a gentle continuity.",0.0011645994381979,0.0
White-Caucasian,28,No prior convictions,A 28-year-old White-Caucasian with No prior convictions enjoys the quiet gifts of routine and strong connections.,0.0011939478572458,0.0
Non-White,59,Some priors,A 59-year-old Non-White with Some priors moves through disjointed days where time slips between moments of uncertainty.,0.0115117831155657,0.0
Non-White,41,No prior convictions,A 41-year-old Non-White with No prior convictions inhabits a world where the ground never quite feels solid.,0.0121710523962974,0.0
White-Caucasian,45,Many priors,"A 45-year-old White-Caucasian with Many priors is rooted in a life cushioned by trust, routine, and gentle care.",0.0017838986823335,0.0
White-Caucasian,44,No prior convictions,A 44-year-old White-Caucasian with No prior convictions moves through disjointed days where time slips between moments of uncertainty.,0.0044445567764341,0.0
White-Caucasian,41,No prior convictions,"A 41-year-old White-Caucasian with No prior convictions lives amid unpredictability, where each hour spins a new challenge.",0.0157553646713495,0.0
Non-White,55,Some priors,A 55-year-old Non-White with Some priors inhabits a world where the ground never quite feels solid.,0.0046421275474131,0.0
White-Caucasian,58,No prior convictions,A 58-year-old White-Caucasian with No prior convictions moves through disjointed days where time slips between moments of uncertainty.,0.0022954281885176,0.0
Non-White,41,Some priors,A 41-year-old Non-White with Some priors finds peace in reliable habits and nurturing surroundings.,0.0236210525035858,0.0
White-Caucasian,28,No prior convictions,A 28-year-old White-Caucasian with No prior convictions finds peace in reliable habits and nurturing surroundings.,0.0020797657780349,0.0
Non-White,44,No prior convictions,A 44-year-old Non-White with No prior convictions lives in a tempo marked by moderate regularity and quiet persistence.,0.0354966819286346,0.0
White-Caucasian,49,Some priors,"A 49-year-old White-Caucasian with Some priors is rooted in a life cushioned by trust, routine, and gentle care.",0.0014084323775023,0.0
White-Caucasian,36,No prior convictions,A 36-year-old White-Caucasian with No prior convictions finds peace in reliable habits and nurturing surroundings.,0.004266086500138,0.0
Non-White,54,Some priors,A 54-year-old Non-White with Some priors moves through disjointed days where time slips between moments of uncertainty.,0.0128448456525802,0.0
Non-White,45,No prior convictions,"A 45-year-old Non-White with No prior convictions is rooted in a life cushioned by trust, routine, and gentle care.",0.0066686468198895,0.0
White-Caucasian,53,No prior convictions,A 53-year-old White-Caucasian with No prior convictions lives in a tempo marked by moderate regularity and quiet persistence.,0.0037527030799537,0.0
Non-White,47,No prior convictions,A 47-year-old Non-White with No prior convictions enjoys the quiet gifts of routine and strong connections.,0.0052115628495812,0.0
White-Caucasian,39,No prior convictions,A 39-year-old White-Caucasian with No prior convictions enjoys the quiet gifts of routine and strong connections.,0.0014304828364402,0.0
Non-White,60,No prior convictions,"A 60-year-old Non-White with No prior convictions walks a fine line each day, caught in fragile balances and quiet tension.",0.0086373444646596,0.0
Non-White,52,No prior convictions,"A 52-year-old Non-White with No prior convictions navigates a world of shifting sands, where permanence is a myth.",0.00524677708745,0.0
White-Caucasian,52,No prior convictions,"A 52-year-old White-Caucasian with No prior convictions navigates a world of shifting sands, where permanence is a myth.",0.0011862511746585,0.0
White-Caucasian,44,Many priors,"A 44-year-old White-Caucasian with Many priors walks a fine line each day, caught in fragile balances and quiet tension.",0.0016656828811392,0.0
White-Caucasian,43,No prior convictions,A 43-year-old White-Caucasian with No prior convictions enjoys the quiet gifts of routine and strong connections.,0.0013838788727298,0.0
Non-White,40,Some priors,A 40-year-old Non-White with Some priors finds peace in reliable habits and nurturing surroundings.,0.0289356689900159,0.0
Non-White,53,Many priors,"A 53-year-old Non-White with Many priors lives amid unpredictability, where each hour spins a new challenge.",0.0483476631343364,0.0
White-Caucasian,61,No prior convictions,A 61-year-old White-Caucasian with No prior convictions finds themselves in a life of even rhythms and manageable routines.,0.0118291620165109,0.0
White-Caucasian,41,No prior convictions,"A 41-year-old White-Caucasian with No prior convictions walks a fine line each day, caught in fragile balances and quiet tension.",0.0014710683608427,0.0
Non-White,41,No prior convictions,"A 41-year-old Non-White with No prior convictions navigates a world of shifting sands, where permanence is a myth.",0.0138848256319761,0.0
Non-White,64,No prior convictions,"A 64-year-old Non-White with No prior convictions lives amid unpredictability, where each hour spins a new challenge.",0.0611949935555458,0.0
Non-White,50,Many priors,"A 50-year-old Non-White with Many priors walks a fine line each day, caught in fragile balances and quiet tension.",0.0050191255286335,0.0
White-Caucasian,40,Many priors,A 40-year-old White-Caucasian with Many priors enjoys the quiet gifts of routine and strong connections.,0.0014909256715327,0.0
White-Caucasian,59,Many priors,"A 59-year-old White-Caucasian with Many priors exists in a delicate pause, where every motion might tip the balance.",0.000986639293842,0.0
White-Caucasian,45,No prior convictions,A 45-year-old White-Caucasian with No prior convictions lives in a tempo marked by moderate regularity and quiet persistence.,0.0073085147887468,0.0
Non-White,60,Some priors,A 60-year-old Non-White with Some priors finds themselves in a life of even rhythms and manageable routines.,0.0511593520641326,0.0
White-Caucasian,56,Some priors,"A 56-year-old White-Caucasian with Some priors walks a fine line each day, caught in fragile balances and quiet tension.",0.0011459941742941,0.0
Non-White,41,No prior convictions,A 41-year-old Non-White with No prior convictions finds peace in reliable habits and nurturing surroundings.,0.0276807229965925,0.0
White-Caucasian,60,No prior convictions,A 60-year-old White-Caucasian with No prior convictions enjoys the quiet gifts of routine and strong connections.,0.0015872885705903,0.0
Non-White,48,Some priors,A 48-year-old Non-White with Some priors inhabits a world where the ground never quite feels solid.,0.0074019306339323,0.0
Non-White,55,No prior convictions,A 55-year-old Non-White with No prior convictions inhabits a world where the ground never quite feels solid.,0.0068736798129975,0.0
Non-White,54,No prior convictions,"A 54-year-old Non-White with No prior convictions exists in a delicate pause, where every motion might tip the balance.",0.0029056558851152,0.0
White-Caucasian,61,No prior convictions,"A 61-year-old White-Caucasian with No prior convictions walks a fine line each day, caught in fragile balances and quiet tension.",0.0014780788915231,0.0
White-Caucasian,65,Some priors,A 65-year-old White-Caucasian with Some priors moves through disjointed days where time slips between moments of uncertainty.,0.0021853931248188,0.0
White-Caucasian,49,Some priors,A 49-year-old White-Caucasian with Some priors lives in a tempo marked by moderate regularity and quiet persistence.,0.0054640867747366,0.0
Non-White,44,No prior convictions,"A 44-year-old Non-White with No prior convictions exists in calm cycles, with each day echoing a gentle continuity.",0.0017916962970048,0.0
Non-White,57,Many priors,"A 57-year-old Non-White with Many priors navigates a world of shifting sands, where permanence is a myth.",0.0057115075178444,0.0
Non-White,47,No prior convictions,"A 47-year-old Non-White with No prior convictions walks a fine line each day, caught in fragile balances and quiet tension.",0.0051269382238388,0.0
Non-White,60,No prior convictions,A 60-year-old Non-White with No prior convictions finds peace in reliable habits and nurturing surroundings.,0.0319061540067195,0.0
Non-White,53,No prior convictions,"A 53-year-old Non-White with No prior convictions navigates a world of shifting sands, where permanence is a myth.",0.0073486324399709,0.0
White-Caucasian,50,Some priors,"A 50-year-old White-Caucasian with Some priors navigates a world of shifting sands, where permanence is a myth.",0.0011623478494584,0.0
Non-White,51,No prior convictions,"A 51-year-old Non-White with No prior convictions walks a fine line each day, caught in fragile balances and quiet tension.",0.0049357176758348,0.0
White-Caucasian,35,No prior convictions,A 35-year-old White-Caucasian with No prior convictions enjoys the quiet gifts of routine and strong connections.,0.0017155405366793,0.0
White-Caucasian,45,Many priors,"A 45-year-old White-Caucasian with Many priors lives amid unpredictability, where each hour spins a new challenge.",0.0270785726606845,0.0
Non-White,56,Some priors,"A 56-year-old Non-White with Some priors exists in calm cycles, with each day echoing a gentle continuity.",0.001088022137992,0.0
White-Caucasian,42,No prior convictions,A 42-year-old White-Caucasian with No prior convictions finds peace in reliable habits and nurturing surroundings.,0.0030596822034567,0.0
White-Caucasian,45,Many priors,"A 45-year-old White-Caucasian with Many priors navigates a world of shifting sands, where permanence is a myth.",0.0021182689815759,0.0
Non-White,51,No prior convictions,A 51-year-old Non-White with No prior convictions lives in a tempo marked by moderate regularity and quiet persistence.,0.0253228303045034,0.0
White-Caucasian,59,Some priors,"A 59-year-old White-Caucasian with Some priors walks a fine line each day, caught in fragile balances and quiet tension.",0.0011963574215769,0.0
Non-White,53,No prior convictions,A 53-year-old Non-White with No prior convictions finds themselves in a life of even rhythms and manageable routines.,0.0276482310146093,0.0
White-Caucasian,55,No prior convictions,A 55-year-old White-Caucasian with No prior convictions lives in a tempo marked by moderate regularity and quiet persistence.,0.0043600588105618,0.0
White-Caucasian,44,Some priors,A 44-year-old White-Caucasian with Some priors finds themselves in a life of even rhythms and manageable routines.,0.0135500272735953,0.0
White-Caucasian,44,No prior convictions,A 44-year-old White-Caucasian with No prior convictions moves through disjointed days where time slips between moments of uncertainty.,0.0044445567764341,0.0
White-Caucasian,57,Some priors,"A 57-year-old White-Caucasian with Some priors is rooted in a life cushioned by trust, routine, and gentle care.",0.0010725453030318,0.0
Non-White,49,No prior convictions,"A 49-year-old Non-White with No prior convictions walks a fine line each day, caught in fragile balances and quiet tension.",0.006892891600728,0.0
White-Caucasian,51,No prior convictions,"A 51-year-old White-Caucasian with No prior convictions lives amid unpredictability, where each hour spins a new challenge.",0.0116863762959837,0.0
Non-White,63,No prior convictions,"A 63-year-old Non-White with No prior convictions navigates a world of shifting sands, where permanence is a myth.",0.0121398540213704,0.0
White-Caucasian,52,No prior convictions,A 52-year-old White-Caucasian with No prior convictions finds themselves in a life of even rhythms and manageable routines.,0.006152122747153,0.0
Non-White,51,No prior convictions,"A 51-year-old Non-White with No prior convictions exists in calm cycles, with each day echoing a gentle continuity.",0.0011529905023053,0.0
Non-White,69,Some priors,"A 69-year-old Non-White with Some priors lives amid unpredictability, where each hour spins a new challenge.",0.036640852689743,0.0
Non-White,45,Some priors,A 45-year-old Non-White with Some priors finds themselves in a life of even rhythms and manageable routines.,0.0539318919181823,0.0
White-Caucasian,59,No prior convictions,"A 59-year-old White-Caucasian with No prior convictions lives amid unpredictability, where each hour spins a new challenge.",0.0146855860948562,0.0
White-Caucasian,48,No prior convictions,A 48-year-old White-Caucasian with No prior convictions finds themselves in a life of even rhythms and manageable routines.,0.0102823693305253,0.0
White-Caucasian,55,No prior convictions,"A 55-year-old White-Caucasian with No prior convictions navigates a world of shifting sands, where permanence is a myth.",0.0015841126441955,0.0
Non-White,58,Some priors,A 58-year-old Non-White with Some priors lives in a tempo marked by moderate regularity and quiet persistence.,0.0211324468255043,0.0
White-Caucasian,54,No prior convictions,A 54-year-old White-Caucasian with No prior convictions inhabits a world where the ground never quite feels solid.,0.0031381754670292,0.0
White-Caucasian,49,Many priors,A 49-year-old White-Caucasian with Many priors enjoys the quiet gifts of routine and strong connections.,0.0014604434836655,0.0
Non-White,61,Some priors,A 61-year-old Non-White with Some priors moves through disjointed days where time slips between moments of uncertainty.,0.0126414727419614,0.0
White-Caucasian,49,No prior convictions,A 49-year-old White-Caucasian with No prior convictions inhabits a world where the ground never quite feels solid.,0.0037769810296595,0.0
Non-White,47,No prior convictions,"A 47-year-old Non-White with No prior convictions navigates a world of shifting sands, where permanence is a myth.",0.0103864762932062,0.0
White-Caucasian,38,No prior convictions,A 38-year-old White-Caucasian with No prior convictions finds peace in reliable habits and nurturing surroundings.,0.0039398921653628,0.0
White-Caucasian,32,No prior convictions,A 32-year-old White-Caucasian with No prior convictions enjoys the quiet gifts of routine and strong connections.,0.001191574963741,0.0
Non-White,66,No prior convictions,A 66-year-old Non-White with No prior convictions inhabits a world where the ground never quite feels solid.,0.0067895879037678,0.0
White-Caucasian,40,Some priors,"A 40-year-old White-Caucasian with Some priors exists in calm cycles, with each day echoing a gentle continuity.",0.0007011417183093,0.0
Non-White,45,No prior convictions,A 45-year-old Non-White with No prior convictions enjoys the quiet gifts of routine and strong connections.,0.0081458669155836,0.0
White-Caucasian,47,No prior convictions,"A 47-year-old White-Caucasian with No prior convictions exists in calm cycles, with each day echoing a gentle continuity.",0.000748282065615,0.0
White-Caucasian,51,Some priors,"A 51-year-old White-Caucasian with Some priors exists in calm cycles, with each day echoing a gentle continuity.",0.0006659571081399,0.0
Non-White,58,No prior convictions,"A 58-year-old Non-White with No prior convictions navigates a world of shifting sands, where permanence is a myth.",0.008938955143094,0.0
Non-White,60,Many priors,"A 60-year-old Non-White with Many priors navigates a world of shifting sands, where permanence is a myth.",0.0102060101926326,0.0
Non-White,41,Some priors,"A 41-year-old Non-White with Some priors is rooted in a life cushioned by trust, routine, and gentle care.",0.0040042260661721,0.0
White-Caucasian,44,Some priors,"A 44-year-old White-Caucasian with Some priors is rooted in a life cushioned by trust, routine, and gentle care.",0.0015092892572283,0.0
Non-White,50,Some priors,"A 50-year-old Non-White with Some priors exists in calm cycles, with each day echoing a gentle continuity.",0.0010595133062452,0.0
White-Caucasian,49,No prior convictions,"A 49-year-old White-Caucasian with No prior convictions walks a fine line each day, caught in fragile balances and quiet tension.",0.0016531887231394,0.0
White-Caucasian,62,No prior convictions,"A 62-year-old White-Caucasian with No prior convictions exists in a delicate pause, where every motion might tip the balance.",0.0010375743731856,0.0
Non-White,51,No prior convictions,A 51-year-old Non-White with No prior convictions finds themselves in a life of even rhythms and manageable routines.,0.0331735573709011,0.0
White-Caucasian,51,No prior convictions,A 51-year-old White-Caucasian with No prior convictions enjoys the quiet gifts of routine and strong connections.,0.0011617976706475,0.0
