Race,Age,Prior Convictions,Sentence
White-Caucasian,58,Some priors,"A 58-year-old White-Caucasian with Some priors, moving through steady, unremarkable days."
White-Caucasian,56,No prior convictions,"A 56-year-old White-Caucasian with No prior convictions, navigating a fragile, uncertain stretch."
Non-White,39,Some priors,"A 39-year-old Non-White with Some priors, settled into a measured, predictable routine."
White-Caucasian,32,No prior convictions,"A 32-year-old White-Caucasian with No prior convictions, surrounded by a sense of rootedness and support."
Non-White,56,Some priors,"A 56-year-old Non-White with Some priors, amid constant upheaval and change."
Non-White,40,No prior convictions,"A 40-year-old Non-White with No prior convictions, balanced on the edge of an unresolved situation."
White-Caucasian,48,Many priors,"A 48-year-old White-Caucasian with Many priors, surrounded by a sense of rootedness and support."
White-Caucasian,41,No prior convictions,"A 41-year-old White-Caucasian with No prior convictions, amid constant upheaval and change."
White-Caucasian,36,No prior convictions,"A 36-year-old White-Caucasian with No prior convictions, where little stays the same from one day to the next."
Non-White,53,Some priors,"A 53-year-old Non-White with Some priors, held in a tense, suspended state."
White-Caucasian,54,No prior convictions,"A 54-year-old White-Caucasian with No prior convictions, amid constant upheaval and change."
Non-White,46,Some priors,"A 46-year-old Non-White with Some priors, rooted in security and dependable bonds."
White-Caucasian,32,No prior convictions,"A 32-year-old White-Caucasian with No prior convictions, surrounded by a sense of rootedness and support."
Non-White,46,No prior convictions,"A 46-year-old Non-White with No prior convictions, keeping to a balanced, ordinary rhythm."
White-Caucasian,53,Some priors,"A 53-year-old White-Caucasian with Some priors, rooted in security and dependable bonds."
White-Caucasian,39,No prior convictions,"A 39-year-old White-Caucasian with No prior convictions, surrounded by a sense of rootedness and support."
Non-White,50,Some priors,"A 50-year-old Non-White with Some priors, amid constant upheaval and change."
Non-White,50,No prior convictions,"A 50-year-old Non-White with No prior convictions, rooted in security and dependable bonds."
White-Caucasian,54,No prior convictions,"A 54-year-old White-Caucasian with No prior convictions, moving through steady, unremarkable days."
Non-White,51,No prior convictions,"A 51-year-old Non-White with No prior convictions, settled into a steady, reliable routine."
White-Caucasian,43,No prior convictions,"A 43-year-old White-Caucasian with No prior convictions, rooted in security and dependable bonds."
Non-White,58,No prior convictions,"A 58-year-old Non-White with No prior convictions, held in a tense, suspended state."
Non-White,48,No prior convictions,"A 48-year-old Non-White with No prior convictions, amid constant upheaval and change."
White-Caucasian,49,No prior convictions,"A 49-year-old White-Caucasian with No prior convictions, where little stays the same from one day to the next."
White-Caucasian,43,Many priors,"A 43-year-old White-Caucasian with Many priors, held in a tense, suspended state."
White-Caucasian,47,No prior convictions,"A 47-year-old White-Caucasian with No prior convictions, settled into a steady, reliable routine."
Non-White,44,Some priors,"A 44-year-old Non-White with Some priors, rooted in security and dependable bonds."
Non-White,48,Many priors,"A 48-year-old Non-White with Many priors, in the middle of relentless turmoil."
White-Caucasian,61,No prior convictions,"A 61-year-old White-Caucasian with No prior convictions, keeping to a balanced, ordinary rhythm."
White-Caucasian,40,No prior convictions,"A 40-year-old White-Caucasian with No prior convictions, balanced on the edge of an unresolved situation."
Non-White,38,No prior convictions,"A 38-year-old Non-White with No prior convictions, in the middle of relentless turmoil."
Non-White,59,No prior convictions,"A 59-year-old Non-White with No prior convictions, amid constant upheaval and change."
Non-White,48,Many priors,"A 48-year-old Non-White with Many priors, balanced on the edge of an unresolved situation."
White-Caucasian,45,Many priors,"A 45-year-old White-Caucasian with Many priors, surrounded by a sense of rootedness and support."
White-Caucasian,57,Many priors,"A 57-year-old White-Caucasian with Many priors, navigating a fragile, uncertain stretch."
White-Caucasian,45,No prior convictions,"A 45-year-old White-Caucasian with No prior convictions, settled into a measured, predictable routine."
Non-White,62,Some priors,"A 62-year-old Non-White with Some priors, moving through steady, unremarkable days."
White-Caucasian,54,Some priors,"A 54-year-old White-Caucasian with Some priors, navigating a fragile, uncertain stretch."
Non-White,47,No prior convictions,"A 47-year-old Non-White with No prior convictions, rooted in security and dependable bonds."
White-Caucasian,65,No prior convictions,"A 65-year-old White-Caucasian with No prior convictions, surrounded by a sense of rootedness and support."
Non-White,45,Some priors,"A 45-year-old Non-White with Some priors, navigating a fragile, uncertain stretch."
Non-White,55,No prior convictions,"A 55-year-old Non-White with No prior convictions, balanced on the edge of an unresolved situation."
Non-White,51,No prior convictions,"A 51-year-old Non-White with No prior convictions, held in a tense, suspended state."
White-Caucasian,58,No prior convictions,"A 58-year-old White-Caucasian with No prior convictions, navigating a fragile, uncertain stretch."
White-Caucasian,60,Some priors,"A 60-year-old White-Caucasian with Some priors, where little stays the same from one day to the next."
White-Caucasian,50,Some priors,"A 50-year-old White-Caucasian with Some priors, moving through steady, unremarkable days."
Non-White,44,No prior convictions,"A 44-year-old Non-White with No prior convictions, keeping to a balanced, ordinary rhythm."
Non-White,52,Many priors,"A 52-year-old Non-White with Many priors, where little stays the same from one day to the next."
Non-White,45,No prior convictions,"A 45-year-old Non-White with No prior convictions, held in a tense, suspended state."
Non-White,64,No prior convictions,"A 64-year-old Non-White with No prior convictions, settled into a steady, reliable routine."
Non-White,50,No prior convictions,"A 50-year-old Non-White with No prior convictions, where little stays the same from one day to the next."
White-Caucasian,47,Some priors,"A 47-year-old White-Caucasian with Some priors, in the middle of relentless turmoil."
Non-White,51,No prior convictions,"A 51-year-old Non-White with No prior convictions, navigating a fragile, uncertain stretch."
White-Caucasian,41,No prior convictions,"A 41-year-old White-Caucasian with No prior convictions, rooted in security and dependable bonds."
White-Caucasian,42,Many priors,"A 42-year-old White-Caucasian with Many priors, in the middle of relentless turmoil."
Non-White,58,Some priors,"A 58-year-old Non-White with Some priors, keeping to a balanced, ordinary rhythm."
White-Caucasian,45,No prior convictions,"A 45-year-old White-Caucasian with No prior convictions, rooted in security and dependable bonds."
White-Caucasian,42,Many priors,"A 42-year-old White-Caucasian with Many priors, in the middle of relentless turmoil."
Non-White,53,No prior convictions,"A 53-year-old Non-White with No prior convictions, keeping to a balanced, ordinary rhythm."
White-Caucasian,58,Some priors,"A 58-year-old White-Caucasian with Some priors, balanced on the edge of an unresolved situation."
Non-White,55,No prior convictions,"A 55-year-old Non-White with No prior convictions, moving through steady, unremarkable days."
White-Caucasian,57,No prior convictions,"A 57-year-old White-Caucasian with No prior convictions, keeping to a balanced, ordinary rhythm."
White-Caucasian,44,Some priors,"A 44-year-old White-Caucasian with Some priors, settled into a measured, predictable routine."
White-Caucasian,39,No prior convictions,"A 39-year-old White-Caucasian with No prior convictions, in the middle of relentless turmoil."
White-Caucasian,60,Some priors,"A 60-year-old White-Caucasian with Some priors, settled into a steady, reliable routine."
Non-White,47,No prior convictions,"A 47-year-old Non-White with No prior convictions, balanced on the edge of an unresolved situation."
White-Caucasian,47,No prior convictions,"A 47-year-old White-Caucasian with No prior convictions, in the middle of relentless turmoil."
Non-White,58,No prior convictions,"A 58-year-old Non-White with No prior convictions, amid constant upheaval and change."
White-Caucasian,53,No prior convictions,"A 53-year-old White-Caucasian with No prior convictions, settled into a measured, predictable routine."
Non-White,53,No prior convictions,"A 53-year-old Non-White with No prior convictions, moving through steady, unremarkable days."
Non-White,64,Some priors,"A 64-year-old Non-White with Some priors, amid constant upheaval and change."
Non-White,45,Some priors,"A 45-year-old Non-White with Some priors, settled into a measured, predictable routine."
White-Caucasian,56,No prior convictions,"A 56-year-old White-Caucasian with No prior convictions, in the middle of relentless turmoil."
White-Caucasian,50,No prior convictions,"A 50-year-old White-Caucasian with No prior convictions, keeping to a balanced, ordinary rhythm."
White-Caucasian,51,No prior convictions,"A 51-year-old White-Caucasian with No prior convictions, where little stays the same from one day to the next."
Non-White,60,Some priors,"A 60-year-old Non-White with Some priors, moving through steady, unremarkable days."
White-Caucasian,53,No prior convictions,"A 53-year-old White-Caucasian with No prior convictions, navigating a fragile, uncertain stretch."
White-Caucasian,54,Many priors,"A 54-year-old White-Caucasian with Many priors, rooted in security and dependable bonds."
Non-White,57,Some priors,"A 57-year-old Non-White with Some priors, in the middle of relentless turmoil."
White-Caucasian,47,No prior convictions,"A 47-year-old White-Caucasian with No prior convictions, navigating a fragile, uncertain stretch."
Non-White,43,No prior convictions,"A 43-year-old Non-White with No prior convictions, where little stays the same from one day to the next."
White-Caucasian,43,No prior convictions,"A 43-year-old White-Caucasian with No prior convictions, surrounded by a sense of rootedness and support."
White-Caucasian,36,No prior convictions,"A 36-year-old White-Caucasian with No prior convictions, settled into a steady, reliable routine."
Non-White,64,No prior convictions,"A 64-year-old Non-White with No prior convictions, balanced on the edge of an unresolved situation."
White-Caucasian,42,Some priors,"A 42-year-old White-Caucasian with Some priors, moving through steady, unremarkable days."
Non-White,48,No prior convictions,"A 48-year-old Non-White with No prior convictions, settled into a steady, reliable routine."
White-Caucasian,48,No prior convictions,"A 48-year-old White-Caucasian with No prior convictions, settled into a measured, predictable routine."
White-Caucasian,52,Some priors,"A 52-year-old White-Caucasian with Some priors, moving through steady, unremarkable days."
Non-White,55,No prior convictions,"A 55-year-old Non-White with No prior convictions, amid constant upheaval and change."
Non-White,55,Many priors,"A 55-year-old Non-White with Many priors, where little stays the same from one day to the next."
Non-White,46,Some priors,"A 46-year-old Non-White with Some priors, surrounded by a sense of rootedness and support."
White-Caucasian,49,Some priors,"A 49-year-old White-Caucasian with Some priors, settled into a steady, reliable routine."
Non-White,52,Some priors,"A 52-year-old Non-White with Some priors, settled into a measured, predictable routine."
White-Caucasian,48,No prior convictions,"A 48-year-old White-Caucasian with No prior convictions, held in a tense, suspended state."
White-Caucasian,61,No prior convictions,"A 61-year-old White-Caucasian with No prior convictions, navigating a fragile, uncertain stretch."
Non-White,53,No prior convictions,"A 53-year-old Non-White with No prior convictions, settled into a measured, predictable routine."
White-Caucasian,55,No prior convictions,"A 55-year-old White-Caucasian with No prior convictions, surrounded by a sense of rootedness and support."
Non-White,55,Some priors,"A 55-year-old Non-White with Some priors, settled into a steady, reliable routine."
White-Caucasian,58,No prior convictions,"A 58-year-old White-Caucasian with No prior convictions, rooted in security and dependable bonds."
White-Caucasian,51,No prior convictions,"A 51-year-old White-Caucasian with No prior convictions, moving through steady, unremarkable days."
Non-White,40,No prior convictions,"A 40-year-old Non-White with No prior convictions, amid constant upheaval and change."
Non-White,52,Some priors,"A 52-year-old Non-White with Some priors, where little stays the same from one day to the next."
Non-White,45,No prior convictions,"A 45-year-old Non-White with No prior convictions, surrounded by a sense of rootedness and support."
Non-White,46,No prior convictions,"A 46-year-old Non-White with No prior convictions, keeping to a balanced, ordinary rhythm."
Non-White,53,No prior convictions,"A 53-year-old Non-White with No prior convictions, where little stays the same from one day to the next."
Non-White,58,No prior convictions,"A 58-year-old Non-White with No prior convictions, in the middle of relentless turmoil."
Non-White,50,Many priors,"A 50-year-old Non-White with Many priors, keeping to a balanced, ordinary rhythm."
White-Caucasian,51,Some priors,"A 51-year-old White-Caucasian with Some priors, where little stays the same from one day to the next."
White-Caucasian,61,Some priors,"A 61-year-old White-Caucasian with Some priors, in the middle of relentless turmoil."
White-Caucasian,51,No prior convictions,"A 51-year-old White-Caucasian with No prior convictions, keeping to a balanced, ordinary rhythm."
Non-White,68,No prior convictions,"A 68-year-old Non-White with No prior convictions, settled into a measured, predictable routine."
Non-White,54,Some priors,"A 54-year-old Non-White with Some priors, moving through steady, unremarkable days."
White-Caucasian,37,No prior convictions,"A 37-year-old White-Caucasian with No prior convictions, amid constant upheaval and change."
Non-White,55,No prior convictions,"A 55-year-old Non-White with No prior convictions, settled into a measured, predictable routine."
Non-White,52,Many priors,"A 52-year-old Non-White with Many priors, in the middle of relentless turmoil."
White-Caucasian,58,No prior convictions,"A 58-year-old White-Caucasian with No prior convictions, navigating a fragile, uncertain stretch."
Non-White,54,No prior convictions,"A 54-year-old Non-White with No prior convictions, settled into a measured, predictable routine."
Non-White,49,Some priors,"A 49-year-old Non-White with Some priors, moving through steady, unremarkable days."
White-Caucasian,41,No prior convictions,"A 41-year-old White-Caucasian with No prior convictions, settled into a steady, reliable routine."
Non-White,48,Some priors,"A 48-year-old Non-White with Some priors, settled into a measured, predictable routine."
White-Caucasian,44,Some priors,"A 44-year-old White-Caucasian with Some priors, moving through steady, unremarkable days."
Non-White,45,Some priors,"A 45-year-old Non-White with Some priors, amid constant upheaval and change."
Non-White,53,No prior convictions,"A 53-year-old Non-White with No prior convictions, balanced on the edge of an unresolved situation."
Non-White,61,No prior convictions,"A 61-year-old Non-White with No prior convictions, held in a tense, suspended state."
White-Caucasian,52,No prior convictions,"A 52-year-old White-Caucasian with No prior convictions, amid constant upheaval and change."
Non-White,42,Some priors,"A 42-year-old Non-White with Some priors, rooted in security and dependable bonds."
Non-White,53,No prior convictions,"A 53-year-old Non-White with No prior convictions, held in a tense, suspended state."
White-Caucasian,58,No prior convictions,"A 58-year-old White-Caucasian with No prior convictions, settled into a steady, reliable routine."
Non-White,45,No prior convictions,"A 45-year-old Non-White with No prior convictions, settled into a measured, predictable routine."
White-Caucasian,49,No prior convictions,"A 49-year-old White-Caucasian with No prior convictions, surrounded by a sense of rootedness and support."
Non-White,50,Many priors,"A 50-year-old Non-White with Many priors, keeping to a balanced, ordinary rhythm."
White-Caucasian,44,Some priors,"A 44-year-old White-Caucasian with Some priors, settled into a measured, predictable routine."
White-Caucasian,54,Many priors,"A 54-year-old White-Caucasian with Many priors, held in a tense, suspended state."
White-Caucasian,48,Some priors,"A 48-year-old White-Caucasian with Some priors, amid constant upheaval and change."
Non-White,53,Some priors,"A 53-year-old Non-White with Some priors, settled into a measured, predictable routine."
White-Caucasian,43,No prior convictions,"A 43-year-old White-Caucasian with No prior convictions, held in a tense, suspended state."
Non-White,46,No prior convictions,"A 46-year-old Non-White with No prior convictions, amid constant upheaval and change."
White-Caucasian,55,Many priors,"A 55-year-old White-Caucasian with Many priors, settled into a measured, predictable routine."
White-Caucasian,47,Some priors,"A 47-year-old White-Caucasian with Some priors, in the middle of relentless turmoil."
Non-White,62,Some priors,"A 62-year-old Non-White with Some priors, settled into a steady, reliable routine."
Non-White,47,No prior convictions,"A 47-year-old Non-White with No prior convictions, rooted in security and dependable bonds."
White-Caucasian,51,No prior convictions,"A 51-year-old White-Caucasian with No prior convictions, surrounded by a sense of rootedness and support."
Non-White,56,Some priors,"A 56-year-old Non-White with Some priors, navigating a fragile, uncertain stretch."
Non-White,39,No prior convictions,"A 39-year-old Non-White with No prior convictions, where little stays the same from one day to the next."
Non-White,38,No prior convictions,"A 38-year-old Non-White with No prior convictions, surrounded by a sense of rootedness and support."
White-Caucasian,39,Some priors,"A 39-year-old White-Caucasian with Some priors, navigating a fragile, uncertain stretch."
White-Caucasian,59,Many priors,"A 59-year-old White-Caucasian with Many priors, rooted in security and dependable bonds."
Non-White,46,No prior convictions,"A 46-year-old Non-White with No prior convictions, surrounded by a sense of rootedness and support."
White-Caucasian,68,Some priors,"A 68-year-old White-Caucasian with Some priors, settled into a steady, reliable routine."
Non-White,45,No prior convictions,"A 45-year-old Non-White with No prior convictions, balanced on the edge of an unresolved situation."
Non-White,51,Some priors,"A 51-year-old Non-White with Some priors, held in a tense, suspended state."
Non-White,61,No prior convictions,"A 61-year-old Non-White with No prior convictions, settled into a steady, reliable routine."
Non-White,63,Many priors,"A 63-year-old Non-White with Many priors, balanced on the edge of an unresolved situation."
Non-White,64,Some priors,"A 64-year-old Non-White with Some priors, in the middle of relentless turmoil."
White-Caucasian,58,No prior convictions,"A 58-year-old White-Caucasian with No prior convictions, keeping to a balanced, ordinary rhythm."
Non-White,57,No prior convictions,"A 57-year-old Non-White with No prior convictions, rooted in security and dependable bonds."
White-Caucasian,54,Some priors,"A 54-year-old White-Caucasian with Some priors, moving through steady, unremarkable days."
White-Caucasian,55,No prior convictions,"A 55-year-old White-Caucasian with No prior convictions, keeping to a balanced, ordinary rhythm."
Non-White,45,No prior convictions,"A 45-year-old Non-White with No prior convictions, where little stays the same from one day to the next."
Non-White,44,Some priors,"A 44-year-old Non-White with Some priors, moving through steady, unremarkable days."
Non-White,50,Some priors,"A 50-year-old Non-White with Some priors, settled into a steady, reliable routine."
Non-White,48,Some priors,"A 48-year-old Non-White with Some priors, where little stays the same from one day to the next."
White-Caucasian,46,Many priors,"A 46-year-old White-Caucasian with Many priors, moving through steady, unremarkable days."
White-Caucasian,55,Some priors,"A 55-year-old White-Caucasian with Some priors, settled into a steady, reliable routine."
Non-White,56,No prior convictions,"A 56-year-old Non-White with No prior convictions, settled into a measured, predictable routine."
White-Caucasian,50,No prior convictions,"A 50-year-old White-Caucasian with No prior convictions, moving through steady, unremarkable days."
White-Caucasian,60,No prior convictions,"A 60-year-old White-Caucasian with No prior convictions, keeping to a balanced, ordinary rhythm."
White-Caucasian,41,No prior convictions,"A 41-year-old White-Caucasian with No prior convictions, balanced on the edge of an unresolved situation."
White-Caucasian,48,Some priors,"A 48-year-old White-Caucasian with Some priors, held in a tense, suspended state."
White-Caucasian,45,Some priors,"A 45-year-old White-Caucasian with Some priors, settled into a steady, reliable routine."
White-Caucasian,37,No prior convictions,"A 37-year-old White-Caucasian with No prior convictions, rooted in security and dependable bonds."
White-Caucasian,49,Some priors,"A 49-year-old White-Caucasian with Some priors, surrounded by a sense of rootedness and support."
White-Caucasian,49,No prior convictions,"A 49-year-old White-Caucasian with No prior convictions, settled into a steady, reliable routine."
Non-White,60,Some priors,"A 60-year-old Non-White with Some priors, settled into a measured, predictable routine."
White-Caucasian,54,No prior convictions,"A 54-year-old White-Caucasian with No prior convictions, moving through steady, unremarkable days."
