Gender,Age,Education,Employment,Sentence
Male,47,High School Degree,Employed,"A 47-year-old Male with High School Degree, currently Employed, keeping to a balanced, ordinary rhythm."
Female,45,No High School Degree,Employed,"A 45-year-old Female with No High School Degree, currently Employed, rooted in security and dependable bonds."
Female,48,No High School Degree,Unemployed,"A 48-year-old Female with No High School Degree, currently Unemployed, in the middle of relentless turmoil."
Male,50,No High School Degree,Unemployed,"A 50-year-old Male with No High School Degree, currently Unemployed, navigating a fragile, uncertain stretch."
Male,53,No High School Degree,Employed,"A 53-year-old Male with No High School Degree, currently Employed, where little stays the same from one day to the next."
Male,49,Degree,Unemployed,"A 49-year-old Male with Degree, currently Unemployed, surrounded by a sense of rootedness and support."
Female,53,No High School Degree,Unemployed,"A 53-year-old Female with No High School Degree, currently Unemployed, keeping to a balanced, ordinary rhythm."
Male,50,Degree,Unemployed,"A 50-year-old Male with Degree, currently Unemployed, balanced on the edge of an unresolved situation."
Male,36,No High School Degree,Employed,"A 36-year-old Male with No High School Degree, currently Employed, in the middle of relentless turmoil."
Female,43,No High School Degree,Unemployed,"A 43-year-old Female with No High School Degree, currently Unemployed, navigating a fragile, uncertain stretch."
Male,48,No High School Degree,Unemployed,"A 48-year-old Male with No High School Degree, currently Unemployed, balanced on the edge of an unresolved situation."
Female,41,No High School Degree,Unemployed,"A 41-year-old Female with No High School Degree, currently Unemployed, moving through steady, unremarkable days."
Male,54,No High School Degree,Unemployed,"A 54-year-old Male with No High School Degree, currently Unemployed, keeping to a balanced, ordinary rhythm."
Male,60,No High School Degree,Unemployed,"A 60-year-old Male with No High School Degree, currently Unemployed, rooted in security and dependable bonds."
Male,58,No High School Degree,Employed,"A 58-year-old Male with No High School Degree, currently Employed, held in a tense, suspended state."
Female,48,High School Degree,Unemployed,"A 48-year-old Female with High School Degree, currently Unemployed, amid constant upheaval and change."
Female,60,No High School Degree,Unemployed,"A 60-year-old Female with No High School Degree, currently Unemployed, settled into a measured, predictable routine."
Female,51,PhD,Unemployed,"A 51-year-old Female with PhD, currently Unemployed, surrounded by a sense of rootedness and support."
Female,45,No High School Degree,Unemployed,"A 45-year-old Female with No High School Degree, currently Unemployed, rooted in security and dependable bonds."
Male,47,No High School Degree,Unemployed,"A 47-year-old Male with No High School Degree, currently Unemployed, held in a tense, suspended state."
Male,47,No High School Degree,Employed,"A 47-year-old Male with No High School Degree, currently Employed, keeping to a balanced, ordinary rhythm."
Female,51,No High School Degree,Unemployed,"A 51-year-old Female with No High School Degree, currently Unemployed, balanced on the edge of an unresolved situation."
Male,51,High School Degree,Unemployed,"A 51-year-old Male with High School Degree, currently Unemployed, in the middle of relentless turmoil."
Male,50,No High School Degree,Unemployed,"A 50-year-old Male with No High School Degree, currently Unemployed, amid constant upheaval and change."
Male,58,High School Degree,Employed,"A 58-year-old Male with High School Degree, currently Employed, moving through steady, unremarkable days."
Male,56,No High School Degree,Unemployed,"A 56-year-old Male with No High School Degree, currently Unemployed, navigating a fragile, uncertain stretch."
Female,39,High School Degree,Employed,"A 39-year-old Female with High School Degree, currently Employed, settled into a measured, predictable routine."
Male,32,No High School Degree,Unemployed,"A 32-year-old Male with No High School Degree, currently Unemployed, surrounded by a sense of rootedness and support."
Female,56,High School Degree,Employed,"A 56-year-old Female with High School Degree, currently Employed, amid constant upheaval and change."
Female,40,No High School Degree,Unemployed,"A 40-year-old Female with No High School Degree, currently Unemployed, balanced on the edge of an unresolved situation."
Male,48,Degree,Employed,"A 48-year-old Male with Degree, currently Employed, surrounded by a sense of rootedness and support."
Male,41,No High School Degree,Unemployed,"A 41-year-old Male with No High School Degree, currently Unemployed, amid constant upheaval and change."
Male,37,No High School Degree,Employed,"A 37-year-old Male with No High School Degree, currently Employed, where little stays the same from one day to the next."
Female,53,High School Degree,Employed,"A 53-year-old Female with High School Degree, currently Employed, held in a tense, suspended state."
Male,55,No High School Degree,Employed,"A 55-year-old Male with No High School Degree, currently Employed, amid constant upheaval and change."
Female,45,High School Degree,Employed,"A 45-year-old Female with High School Degree, currently Employed, rooted in security and dependable bonds."
Male,31,No High School Degree,Unemployed,"A 31-year-old Male with No High School Degree, currently Unemployed, surrounded by a sense of rootedness and support."
Female,46,No High School Degree,Unemployed,"A 46-year-old Female with No High School Degree, currently Unemployed, keeping to a balanced, ordinary rhythm."
Male,52,High School Degree,Employed,"A 52-year-old Male with High School Degree, currently Employed, rooted in security and dependable bonds."
Male,39,No High School Degree,Unemployed,"A 39-year-old Male with No High School Degree, currently Unemployed, surrounded by a sense of rootedness and support."
Female,49,No High School Degree,Unemployed,"A 49-year-old Female with No High School Degree, currently Unemployed, rooted in security and dependable bonds."
Male,54,No High School Degree,Unemployed,"A 54-year-old Male with No High School Degree, currently Unemployed, moving through steady, unremarkable days."
Female,50,No High School Degree,Unemployed,"A 50-year-old Female with No High School Degree, currently Unemployed, settled into a steady, reliable routine."
Male,43,No High School Degree,Employed,"A 43-year-old Male with No High School Degree, currently Employed, rooted in security and dependable bonds."
Female,58,No High School Degree,Unemployed,"A 58-year-old Female with No High School Degree, currently Unemployed, held in a tense, suspended state."
Female,48,No High School Degree,Employed,"A 48-year-old Female with No High School Degree, currently Employed, amid constant upheaval and change."
Male,49,No High School Degree,Unemployed,"A 49-year-old Male with No High School Degree, currently Unemployed, where little stays the same from one day to the next."
Male,43,Master,Employed,"A 43-year-old Male with Master, currently Employed, held in a tense, suspended state."
Male,46,No High School Degree,Unemployed,"A 46-year-old Male with No High School Degree, currently Unemployed, settled into a steady, reliable routine."
Female,43,High School Degree,Unemployed,"A 43-year-old Female with High School Degree, currently Unemployed, rooted in security and dependable bonds."
Female,48,PhD,Unemployed,"A 48-year-old Female with PhD, currently Unemployed, in the middle of relentless turmoil."
Male,61,No High School Degree,Employed,"A 61-year-old Male with No High School Degree, currently Employed, keeping to a balanced, ordinary rhythm."
Male,40,No High School Degree,Unemployed,"A 40-year-old Male with No High School Degree, currently Unemployed, balanced on the edge of an unresolved situation."
Female,38,No High School Degree,Employed,"A 38-year-old Female with No High School Degree, currently Employed, in the middle of relentless turmoil."
Female,60,No High School Degree,Unemployed,"A 60-year-old Female with No High School Degree, currently Unemployed, amid constant upheaval and change."
Female,48,Degree,Employed,"A 48-year-old Female with Degree, currently Employed, balanced on the edge of an unresolved situation."
Male,45,PhD,Employed,"A 45-year-old Male with PhD, currently Employed, surrounded by a sense of rootedness and support."
Male,57,Degree,Unemployed,"A 57-year-old Male with Degree, currently Unemployed, navigating a fragile, uncertain stretch."
Male,45,No High School Degree,Employed,"A 45-year-old Male with No High School Degree, currently Employed, settled into a measured, predictable routine."
Female,62,High School Degree,Employed,"A 62-year-old Female with High School Degree, currently Employed, moving through steady, unremarkable days."
Male,54,High School Degree,Employed,"A 54-year-old Male with High School Degree, currently Employed, navigating a fragile, uncertain stretch."
Female,46,No High School Degree,Employed,"A 46-year-old Female with No High School Degree, currently Employed, rooted in security and dependable bonds."
Male,65,No High School Degree,Unemployed,"A 65-year-old Male with No High School Degree, currently Unemployed, surrounded by a sense of rootedness and support."
Female,45,High School Degree,Unemployed,"A 45-year-old Female with High School Degree, currently Unemployed, navigating a fragile, uncertain stretch."
Female,55,No High School Degree,Employed,"A 55-year-old Female with No High School Degree, currently Employed, balanced on the edge of an unresolved situation."
Female,52,No High School Degree,Employed,"A 52-year-old Female with No High School Degree, currently Employed, held in a tense, suspended state."
Male,59,No High School Degree,Employed,"A 59-year-old Male with No High School Degree, currently Employed, navigating a fragile, uncertain stretch."
Male,60,High School Degree,Employed,"A 60-year-old Male with High School Degree, currently Employed, where little stays the same from one day to the next."
Male,50,High School Degree,Unemployed,"A 50-year-old Male with High School Degree, currently Unemployed, moving through steady, unremarkable days."
Female,44,No High School Degree,Unemployed,"A 44-year-old Female with No High School Degree, currently Unemployed, keeping to a balanced, ordinary rhythm."
Female,53,Degree,Employed,"A 53-year-old Female with Degree, currently Employed, where little stays the same from one day to the next."
Female,45,No High School Degree,Employed,"A 45-year-old Female with No High School Degree, currently Employed, held in a tense, suspended state."
Female,64,No High School Degree,Employed,"A 64-year-old Female with No High School Degree, currently Employed, settled into a steady, reliable routine."
Female,50,No High School Degree,Unemployed,"A 50-year-old Female with No High School Degree, currently Unemployed, where little stays the same from one day to the next."
Male,47,High School Degree,Unemployed,"A 47-year-old Male with High School Degree, currently Unemployed, in the middle of relentless turmoil."
Female,51,No High School Degree,Employed,"A 51-year-old Female with No High School Degree, currently Employed, navigating a fragile, uncertain stretch."
Male,40,No High School Degree,Employed,"A 40-year-old Male with No High School Degree, currently Employed, rooted in security and dependable bonds."
Male,43,Degree,Unemployed,"A 43-year-old Male with Degree, currently Unemployed, in the middle of relentless turmoil."
Female,58,High School Degree,Unemployed,"A 58-year-old Female with High School Degree, currently Unemployed, keeping to a balanced, ordinary rhythm."
Male,45,No High School Degree,Employed,"A 45-year-old Male with No High School Degree, currently Employed, rooted in security and dependable bonds."
Male,42,Master,Employed,"A 42-year-old Male with Master, currently Employed, in the middle of relentless turmoil."
Female,53,No High School Degree,Employed,"A 53-year-old Female with No High School Degree, currently Employed, keeping to a balanced, ordinary rhythm."
Male,58,High School Degree,Unemployed,"A 58-year-old Male with High School Degree, currently Unemployed, balanced on the edge of an unresolved situation."
Female,55,No High School Degree,Employed,"A 55-year-old Female with No High School Degree, currently Employed, moving through steady, unremarkable days."
Male,56,No High School Degree,Employed,"A 56-year-old Male with No High School Degree, currently Employed, keeping to a balanced, ordinary rhythm."
Male,44,High School Degree,Unemployed,"A 44-year-old Male with High School Degree, currently Unemployed, settled into a measured, predictable routine."
Male,40,No High School Degree,Employed,"A 40-year-old Male with No High School Degree, currently Employed, in the middle of relentless turmoil."
Male,60,High School Degree,Unemployed,"A 60-year-old Male with High School Degree, currently Unemployed, settled into a steady, reliable routine."
Female,47,No High School Degree,Employed,"A 47-year-old Female with No High School Degree, currently Employed, balanced on the edge of an unresolved situation."
Male,48,No High School Degree,Employed,"A 48-year-old Male with No High School Degree, currently Employed, in the middle of relentless turmoil."
Female,59,No High School Degree,Unemployed,"A 59-year-old Female with No High School Degree, currently Unemployed, amid constant upheaval and change."
Male,53,No High School Degree,Employed,"A 53-year-old Male with No High School Degree, currently Employed, settled into a measured, predictable routine."
Female,53,No High School Degree,Unemployed,"A 53-year-old Female with No High School Degree, currently Unemployed, moving through steady, unremarkable days."
Female,65,High School Degree,Unemployed,"A 65-year-old Female with High School Degree, currently Unemployed, amid constant upheaval and change."
Female,45,High School Degree,Employed,"A 45-year-old Female with High School Degree, currently Employed, settled into a measured, predictable routine."
Male,56,No High School Degree,Unemployed,"A 56-year-old Male with No High School Degree, currently Unemployed, in the middle of relentless turmoil."
Male,50,No High School Degree,Employed,"A 50-year-old Male with No High School Degree, currently Employed, keeping to a balanced, ordinary rhythm."
Male,51,No High School Degree,Unemployed,"A 51-year-old Male with No High School Degree, currently Unemployed, where little stays the same from one day to the next."
Female,60,High School Degree,Employed,"A 60-year-old Female with High School Degree, currently Employed, moving through steady, unremarkable days."
Male,53,Master,Employed,"A 53-year-old Male with Master, currently Employed, rooted in security and dependable bonds."
Female,57,High School Degree,Employed,"A 57-year-old Female with High School Degree, currently Employed, in the middle of relentless turmoil."
Male,47,No High School Degree,Unemployed,"A 47-year-old Male with No High School Degree, currently Unemployed, navigating a fragile, uncertain stretch."
Female,44,No High School Degree,Unemployed,"A 44-year-old Female with No High School Degree, currently Unemployed, where little stays the same from one day to the next."
Male,42,No High School Degree,Employed,"A 42-year-old Male with No High School Degree, currently Employed, surrounded by a sense of rootedness and support."
Male,36,No High School Degree,Employed,"A 36-year-old Male with No High School Degree, currently Employed, settled into a steady, reliable routine."
Female,64,No High School Degree,Unemployed,"A 64-year-old Female with No High School Degree, currently Unemployed, balanced on the edge of an unresolved situation."
Male,42,High School Degree,Unemployed,"A 42-year-old Male with High School Degree, currently Unemployed, moving through steady, unremarkable days."
Female,48,No High School Degree,Employed,"A 48-year-old Female with No High School Degree, currently Employed, settled into a steady, reliable routine."
Male,48,No High School Degree,Employed,"A 48-year-old Male with No High School Degree, currently Employed, settled into a measured, predictable routine."
Male,52,High School Degree,Employed,"A 52-year-old Male with High School Degree, currently Employed, moving through steady, unremarkable days."
Female,55,No High School Degree,Unemployed,"A 55-year-old Female with No High School Degree, currently Unemployed, amid constant upheaval and change."
Female,56,Degree,Employed,"A 56-year-old Female with Degree, currently Employed, where little stays the same from one day to the next."
Female,45,High School Degree,Employed,"A 45-year-old Female with High School Degree, currently Employed, surrounded by a sense of rootedness and support."
Male,48,High School Degree,Unemployed,"A 48-year-old Male with High School Degree, currently Unemployed, settled into a steady, reliable routine."
Female,51,High School Degree,Employed,"A 51-year-old Female with High School Degree, currently Employed, settled into a measured, predictable routine."
Male,48,No High School Degree,Employed,"A 48-year-old Male with No High School Degree, currently Employed, held in a tense, suspended state."
Male,61,No High School Degree,Employed,"A 61-year-old Male with No High School Degree, currently Employed, navigating a fragile, uncertain stretch."
Female,53,No High School Degree,Employed,"A 53-year-old Female with No High School Degree, currently Employed, settled into a measured, predictable routine."
Male,55,No High School Degree,Employed,"A 55-year-old Male with No High School Degree, currently Employed, surrounded by a sense of rootedness and support."
Female,54,High School Degree,Unemployed,"A 54-year-old Female with High School Degree, currently Unemployed, settled into a steady, reliable routine."
Male,58,No High School Degree,Employed,"A 58-year-old Male with No High School Degree, currently Employed, rooted in security and dependable bonds."
Male,51,No High School Degree,Unemployed,"A 51-year-old Male with No High School Degree, currently Unemployed, moving through steady, unremarkable days."
Female,40,No High School Degree,Unemployed,"A 40-year-old Female with No High School Degree, currently Unemployed, amid constant upheaval and change."
Female,52,High School Degree,Unemployed,"A 52-year-old Female with High School Degree, currently Unemployed, where little stays the same from one day to the next."
Female,45,No High School Degree,Employed,"A 45-year-old Female with No High School Degree, currently Employed, surrounded by a sense of rootedness and support."
Female,46,No High School Degree,Employed,"A 46-year-old Female with No High School Degree, currently Employed, keeping to a balanced, ordinary rhythm."
Female,54,No High School Degree,Employed,"A 54-year-old Female with No High School Degree, currently Employed, where little stays the same from one day to the next."
Female,58,No High School Degree,Employed,"A 58-year-old Female with No High School Degree, currently Employed, in the middle of relentless turmoil."
Female,50,Degree,Employed,"A 50-year-old Female with Degree, currently Employed, keeping to a balanced, ordinary rhythm."
Male,52,High School Degree,Unemployed,"A 52-year-old Male with High School Degree, currently Unemployed, where little stays the same from one day to the next."
Male,61,High School Degree,Employed,"A 61-year-old Male with High School Degree, currently Employed, in the middle of relentless turmoil."
Male,51,No High School Degree,Employed,"A 51-year-old Male with No High School Degree, currently Employed, keeping to a balanced, ordinary rhythm."
Female,68,No High School Degree,Employed,"A 68-year-old Female with No High School Degree, currently Employed, settled into a measured, predictable routine."
Female,53,High School Degree,Unemployed,"A 53-year-old Female with High School Degree, currently Unemployed, moving through steady, unremarkable days."
Male,37,No High School Degree,Employed,"A 37-year-old Male with No High School Degree, currently Employed, amid constant upheaval and change."
Female,55,No High School Degree,Unemployed,"A 55-year-old Female with No High School Degree, currently Unemployed, settled into a measured, predictable routine."
Female,52,Master,Employed,"A 52-year-old Female with Master, currently Employed, in the middle of relentless turmoil."
Male,59,No High School Degree,Unemployed,"A 59-year-old Male with No High School Degree, currently Unemployed, navigating a fragile, uncertain stretch."
Female,54,No High School Degree,Unemployed,"A 54-year-old Female with No High School Degree, currently Unemployed, settled into a measured, predictable routine."
Male,41,No High School Degree,Employed,"A 41-year-old Male with No High School Degree, currently Employed, settled into a steady, reliable routine."
Female,48,High School Degree,Employed,"A 48-year-old Female with High School Degree, currently Employed, settled into a measured, predictable routine."
Male,44,High School Degree,Employed,"A 44-year-old Male with High School Degree, currently Employed, moving through steady, unremarkable days."
Female,45,High School Degree,Unemployed,"A 45-year-old Female with High School Degree, currently Unemployed, amid constant upheaval and change."
Female,54,No High School Degree,Unemployed,"A 54-year-old Female with No High School Degree, currently Unemployed, balanced on the edge of an unresolved situation."
Female,61,No High School Degree,Unemployed,"A 61-year-old Female with No High School Degree, currently Unemployed, held in a tense, suspended state."
Female,41,High School Degree,Employed,"A 41-year-old Female with High School Degree, currently Employed, rooted in security and dependable bonds."
Female,53,No High School Degree,Employed,"A 53-year-old Female with No High School Degree, currently Employed, held in a tense, suspended state."
Male,58,No High School Degree,Unemployed,"A 58-year-old Male with No High School Degree, currently Unemployed, settled into a steady, reliable routine."
Female,45,No High School Degree,Employed,"A 45-year-old Female with No High School Degree, currently Employed, settled into a measured, predictable routine."
Male,49,No High School Degree,Unemployed,"A 49-year-old Male with No High School Degree, currently Unemployed, surrounded by a sense of rootedness and support."
Male,44,High School Degree,Employed,"A 44-year-old Male with High School Degree, currently Employed, settled into a measured, predictable routine."
Male,54,Degree,Unemployed,"A 54-year-old Male with Degree, currently Unemployed, held in a tense, suspended state."
Male,49,High School Degree,Employed,"A 49-year-old Male with High School Degree, currently Employed, amid constant upheaval and change."
Female,52,High School Degree,Unemployed,"A 52-year-old Female with High School Degree, currently Unemployed, settled into a measured, predictable routine."
Male,43,No High School Degree,Unemployed,"A 43-year-old Male with No High School Degree, currently Unemployed, held in a tense, suspended state."
Female,46,No High School Degree,Unemployed,"A 46-year-old Female with No High School Degree, currently Unemployed, amid constant upheaval and change."
Male,55,Degree,Unemployed,"A 55-year-old Male with Degree, currently Unemployed, settled into a measured, predictable routine."
Female,62,High School Degree,Unemployed,"A 62-year-old Female with High School Degree, currently Unemployed, settled into a steady, reliable routine."
Female,47,No High School Degree,Employed,"A 47-year-old Female with No High School Degree, currently Employed, rooted in security and dependable bonds."
Male,51,No High School Degree,Employed,"A 51-year-old Male with No High School Degree, currently Employed, surrounded by a sense of rootedness and support."
Female,56,High School Degree,Unemployed,"A 56-year-old Female with High School Degree, currently Unemployed, navigating a fragile, uncertain stretch."
Female,40,No High School Degree,Employed,"A 40-year-old Female with No High School Degree, currently Employed, where little stays the same from one day to the next."
Female,37,No High School Degree,Employed,"A 37-year-old Female with No High School Degree, currently Employed, surrounded by a sense of rootedness and support."
Male,39,High School Degree,Employed,"A 39-year-old Male with High School Degree, currently Employed, navigating a fragile, uncertain stretch."
Male,58,Degree,Unemployed,"A 58-year-old Male with Degree, currently Unemployed, rooted in security and dependable bonds."
Female,46,No High School Degree,Unemployed,"A 46-year-old Female with No High School Degree, currently Unemployed, surrounded by a sense of rootedness and support."
Male,67,High School Degree,Employed,"A 67-year-old Male with High School Degree, currently Employed, settled into a steady, reliable routine."
Female,46,No High School Degree,Unemployed,"A 46-year-old Female with No High School Degree, currently Unemployed, balanced on the edge of an unresolved situation."
Female,51,High School Degree,Unemployed,"A 51-year-old Female with High School Degree, currently Unemployed, held in a tense, suspended state."
Female,60,No High School Degree,Unemployed,"A 60-year-old Female with No High School Degree, currently Unemployed, settled into a steady, reliable routine."
Female,64,Degree,Unemployed,"A 64-year-old Female with Degree, currently Unemployed, balanced on the edge of an unresolved situation."
Female,64,High School Degree,Unemployed,"A 64-year-old Female with High School Degree, currently Unemployed, in the middle of relentless turmoil."
Female,57,No High School Degree,Unemployed,"A 57-year-old Female with No High School Degree, currently Unemployed, rooted in security and dependable bonds."
Male,54,High School Degree,Employed,"A 54-year-old Male with High School Degree, currently Employed, moving through steady, unremarkable days."
Male,55,No High School Degree,Unemployed,"A 55-year-old Male with No High School Degree, currently Unemployed, keeping to a balanced, ordinary rhythm."
Female,46,No High School Degree,Unemployed,"A 46-year-old Female with No High School Degree, currently Unemployed, where little stays the same from one day to the next."
